   PIQUANT 0.0.0-main  ps__0567_0717304816_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.473942, 0, 6.39476e-07, 9.81455e-25, 1.41421, -6.39476e-07, 0, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 7.85537e-11, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 9.81455e-25, 1.02853e-09, 9.81455e-25, 1.41412e-08, 6.24228e-07, 9.81455e-25, 9.81455e-25, 9.81455e-25
0.481827, 0, 8.63179e-07, 3.55026e-10, 1.41421, -8.63179e-07, 3.55026e-10, 3.557e-10, 3.56e-10, 9.62273e-10, 3.65735e-10, 3.57418e-10, 3.96727e-10, 9.59661e-10, 4.06086e-10, 1.18247e-09, 2.1364e-09, 6.08354e-10, 2.31686e-09, 4.13277e-10, 3.57685e-10, 1.9387e-09, 3.56679e-10, 2.17967e-08, 8.33839e-07, 3.55026e-10, 3.55026e-10, 4.63837e-10
0.489712, 0, 1.15845e-06, 8.9325e-10, 1.41421, -1.15845e-06, 8.9325e-10, 8.94963e-10, 8.95727e-10, 2.43751e-09, 9.20483e-10, 8.99333e-10, 9.99298e-10, 2.43087e-09, 1.0231e-09, 2.92417e-09, 5.42338e-09, 1.53748e-09, 5.88229e-09, 1.04139e-09, 9.00011e-10, 3.32011e-09, 8.98546e-10, 3.32362e-08, 1.1077e-06, 8.9325e-10, 8.9325e-10, 1.16996e-09
0.497597, 0, 1.55318e-06, 2.05603e-09, 1.41421, -1.55318e-06, 2.05603e-09, 2.06e-09, 2.06177e-09, 5.63438e-09, 2.11914e-09, 2.07013e-09, 2.30177e-09, 5.61898e-09, 2.35691e-09, 6.67291e-09, 1.25532e-08, 3.54883e-09, 1.36166e-08, 2.39929e-09, 2.0717e-09, 5.75702e-09, 2.06982e-09, 5.05753e-08, 1.46401e-06, 2.05603e-09, 2.05603e-09, 2.69723e-09
0.505482, 0, 2.08511e-06, 4.51922e-09, 1.41421, -2.08511e-06, 4.51922e-09, 4.52798e-09, 4.53189e-09, 1.24198e-08, 4.65854e-09, 4.55034e-09, 5.06177e-09, 1.23858e-08, 5.18353e-09, 1.45735e-08, 2.76958e-08, 7.81515e-09, 3.00437e-08, 5.2771e-09, 4.55381e-09, 1.01342e-08, 4.55189e-09, 7.68792e-08, 1.92568e-06, 4.51922e-09, 4.51922e-09, 5.9349e-09
0.513368, 0, 2.81368e-06, 9.63536e-09, 1.41421, -2.81368e-06, 9.63536e-09, 9.6541e-09, 9.66246e-09, 2.65315e-08, 9.93332e-09, 9.70192e-09, 1.07957e-08, 2.64589e-08, 1.10561e-08, 3.2868e-08, 5.92008e-08, 1.6684e-08, 6.42218e-08, 1.12562e-08, 9.70933e-09, 1.81079e-08, 9.70874e-09, 1.16989e-07, 2.52192e-06, 9.63536e-09, 9.63536e-09, 1.26629e-08
0.521253, 0, 3.83205e-06, 2.0049e-08, 1.41421, -3.83205e-06, 2.0049e-08, 2.00881e-08, 2.01055e-08, 5.52869e-08, 2.06704e-08, 2.01878e-08, 2.24688e-08, 5.51353e-08, 2.30119e-08, 7.23578e-08, 1.2342e-07, 3.47493e-08, 1.33892e-07, 2.34292e-08, 2.02033e-08, 3.27607e-08, 2.02078e-08, 1.78199e-07, 3.29039e-06, 2.0049e-08, 2.0049e-08, 2.63632e-08
0.529138, 0, 5.332e-06, 4.08213e-08, 1.41421, -5.332e-06, 4.08213e-08, 4.0901e-08, 4.09366e-08, 1.12707e-07, 4.2089e-08, 4.11045e-08, 4.57578e-08, 1.12398e-07, 4.68657e-08, 1.921e-07, 2.51699e-07, 7.08101e-08, 2.73061e-07, 4.77171e-08, 4.1136e-08, 5.97816e-08, 4.11557e-08, 2.72269e-07, 4.28059e-06, 4.08213e-08, 4.08213e-08, 5.37022e-08
0.537023, 0, 7.58186e-06, 8.14266e-08, 1.41421, -7.58186e-06, 8.14266e-08, 8.15859e-08, 8.1657e-08, 2.2507e-07, 8.39597e-08, 8.19924e-08, 9.12909e-08, 2.24452e-07, 9.35047e-08, 4.41431e-07, 5.02808e-07, 1.41351e-07, 5.45495e-07, 9.52058e-08, 8.20555e-08, 1.09538e-07, 8.21138e-08, 4.17849e-07, 5.55901e-06, 8.14266e-08, 8.14266e-08, 1.07166e-07
0.544908, 0, 1.108e-05, 1.59217e-07, 1.41421, -1.108e-05, 1.59217e-07, 1.59529e-07, 1.59669e-07, 4.40571e-07, 1.64179e-07, 1.60326e-07, 1.78538e-07, 4.39361e-07, 1.82875e-07, 9.51463e-07, 9.84576e-07, 2.76591e-07, 1.06819e-06, 1.86207e-07, 1.60449e-07, 2.00654e-07, 1.60599e-07, 6.44862e-07, 7.21768e-06, 1.59217e-07, 1.59217e-07, 2.09632e-07
