   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_50.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.223655, 0, 3.40373e-19, 0, 1.41421, -3.40373e-19, 0, 0, 0, 0, 0, 0, 0, 0, 1.27098e-21, 0, 1.15563e-24, 6.76291e-23, 0, 3.39033e-19, 0, 0
0.231972, 0, 9.98073e-19, 0, 1.41421, -9.98073e-19, 0, 0, 0, 0, 0, 0, 0, 0, 3.72685e-21, 0, 3.40357e-24, 2.04566e-22, 0, 9.94138e-19, 0, 0
0.24029, 0, 2.86122e-18, 0, 1.41421, -2.86122e-18, 0, 0, 0, 0, 0, 0, 0, 0, 1.06839e-20, 0, 9.8029e-24, 6.04131e-22, 0, 2.84992e-18, 0, 0
0.248608, 0, 8.02746e-18, 0, 1.41421, -8.02746e-18, 0, 0, 0, 0, 0, 0, 0, 0, 2.99745e-20, 0, 2.76401e-23, 1.74411e-21, 0, 7.99571e-18, 0, 0
0.256926, 0, 2.20614e-17, 0, 1.41421, -2.20614e-17, 0, 0, 0, 0, 0, 0, 0, 0, 8.23766e-20, 0, 7.63639e-23, 4.92761e-21, 0, 2.1974e-17, 0, 0
0.265243, 0, 5.94367e-17, 0, 1.41421, -5.94367e-17, 0, 0, 0, 0, 0, 0, 0, 0, 2.21934e-19, 0, 2.06894e-22, 1.36372e-20, 0, 5.92009e-17, 0, 0
0.273561, 0, 1.57087e-16, 0, 1.41421, -1.57087e-16, 0, 0, 0, 0, 0, 0, 0, 0, 5.8655e-19, 0, 5.50075e-22, 3.69993e-20, 0, 1.56463e-16, 0, 0
0.281879, 0, 4.07514e-16, 0, 1.41421, -4.07514e-16, 0, 0, 0, 0, 0, 0, 0, 0, 1.52161e-18, 0, 1.43607e-21, 9.84802e-20, 0, 4.05892e-16, 0, 0
0.290197, 0, 1.03823e-15, 0, 1.41421, -1.03823e-15, 0, 0, 0, 0, 0, 0, 0, 0, 3.87662e-18, 0, 3.68347e-21, 2.57323e-19, 0, 1.0341e-15, 0, 0
0.298514, 0, 2.59891e-15, 0, 1.41421, -2.59891e-15, 0, 0, 0, 0, 0, 0, 0, 0, 9.70387e-18, 0, 9.28685e-21, 6.60402e-19, 0, 2.58854e-15, 0, 0
0.306832, 0, 6.39452e-15, 0, 1.41421, -6.39452e-15, 0, 0, 0, 0, 0, 0, 0, 0, 2.38756e-17, 0, 2.30247e-20, 1.66552e-18, 0, 6.36896e-15, 0, 0
0.31515, 0, 1.54702e-14, 0, 1.41421, -1.54702e-14, 0, 0, 0, 0, 0, 0, 0, 0, 5.7761e-17, 0, 5.61569e-20, 4.12943e-18, 0, 1.54082e-14, 0, 0
0.323467, 0, 3.68124e-14, 0, 1.41421, -3.68124e-14, 0, 0, 0, 0, 0, 0, 0, 0, 1.37444e-16, 0, 1.34787e-19, 1.00694e-17, 0, 3.66647e-14, 0, 0
0.331785, 0, 8.61826e-14, 0, 1.41421, -8.61826e-14, 0, 0, 0, 0, 0, 0, 0, 0, 3.21767e-16, 0, 3.18468e-19, 2.41565e-17, 0, 8.58364e-14, 0, 0
0.340103, 0, 1.98556e-13, 0, 1.41421, -1.98556e-13, 0, 0, 0, 0, 0, 0, 0, 0, 7.41298e-16, 0, 7.40961e-19, 5.7033e-17, 0, 1.97757e-13, 0, 0
0.348421, 0, 4.50271e-13, 0, 1.41421, -4.50271e-13, 0, 0, 0, 0, 0, 0, 0, 0, 1.68102e-15, 0, 1.6981e-18, 1.32556e-16, 0, 4.48455e-13, 0, 0
