   PIQUANT 0.0.0-main  ps__0246_0688790088_000rfs_shot_61.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.620743, 0, 0.0336704, 0.0264015, 1.41421, -0.0336704, 0.0264015, 0.0264023, 0.0264026, 0.0264071, 0.0264902, 0.0267637, 0.0264276, 0.0264047, 0.0264019, 0.0264177, 0.0266171, 0.0264015, 0.030194, 0.0264015, 0.0291574
0.628765, 0, 0.0465892, 0.0367109, 1.41421, -0.0465892, 0.0367109, 0.0367121, 0.0367125, 0.0367187, 0.0368331, 0.0372092, 0.0367422, 0.0367154, 0.0367115, 0.036732, 0.036983, 0.036711, 0.0418363, 0.0367109, 0.0405032
0.636787, 0, 0.06373, 0.0503858, 1.41421, -0.06373, 0.0503858, 0.0503874, 0.050388, 0.0503964, 0.0505517, 0.0510626, 0.0504231, 0.0503919, 0.0503866, 0.0504131, 0.0507282, 0.0503858, 0.0573066, 0.0503858, 0.0555383
0.644809, 0, 0.0861817, 0.0682742, 1.41421, -0.0861817, 0.0682742, 0.0682764, 0.0682771, 0.0682884, 0.0684967, 0.0691819, 0.0683186, 0.0682824, 0.0682752, 0.0683095, 0.0687037, 0.0682742, 0.0776004, 0.0682742, 0.0751876
0.652831, 0, 0.115217, 0.0913538, 1.41421, -0.115217, 0.0913538, 0.0913567, 0.0913577, 0.0913726, 0.0916485, 0.0925561, 0.0914065, 0.0913646, 0.0913551, 0.0913991, 0.0918907, 0.0913538, 0.103884, 0.0913538, 0.100517
0.660853, 0, 0.152299, 0.120728, 1.41421, -0.152299, 0.120728, 0.120732, 0.120733, 0.120753, 0.121114, 0.122302, 0.120791, 0.120742, 0.12073, 0.120786, 0.121396, 0.120728, 0.137502, 0.120728, 0.132728
0.668876, 0, 0.199076, 0.157613, 1.41421, -0.199076, 0.157613, 0.157618, 0.15762, 0.157645, 0.158112, 0.159648, 0.157687, 0.157631, 0.157615, 0.157687, 0.158441, 0.157613, 0.179973, 0.157613, 0.173143
0.676898, 0.976333, 0.257371, 0.203315, 1.72521, 0.718961, 0.203315, 0.203321, 0.203323, 0.203355, 0.203952, 0.205915, 0.203401, 0.203338, 0.203318, 0.203409, 0.204334, 0.203315, 0.232983, 0.203315, 0.223183
0.68492, 0.0236674, 0.329165, 0.259196, 1.42256, -0.305498, 0.259196, 0.259203, 0.259206, 0.259247, 0.260001, 0.26248, 0.259297, 0.259225, 0.259199, 0.259315, 0.260444, 0.259196, 0.298368, 0.259196, 0.284331
0.692942, 0, 0.416565, 0.326634, 1.41421, -0.416565, 0.326634, 0.326644, 0.326647, 0.326698, 0.32764, 0.330737, 0.326753, 0.326671, 0.326639, 0.326785, 0.328151, 0.326634, 0.378089, 0.326634, 0.358085
