   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.459667, 0, 2.98806e-07, 1.8148e-27, 1.41421, -2.98806e-07, 0, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 1.8148e-27, 2.5773e-09, 1.8148e-27, 1.8148e-27, 5.6534e-11, 1.8148e-27, 1.8148e-27, 2.96172e-07, 1.8148e-27, 1.8148e-27, 1.8148e-27
0.46754, 0, 4.18989e-07, 7.49773e-27, 1.41421, -4.18989e-07, 0, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 7.49773e-27, 3.63935e-09, 7.49773e-27, 7.49773e-27, 9.09993e-11, 7.49773e-27, 7.49773e-27, 4.15259e-07, 7.49773e-27, 7.49773e-27, 7.49773e-27
0.475413, 0, 5.83527e-07, 2.95555e-26, 1.41421, -5.83527e-07, 0, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 2.95555e-26, 5.10871e-09, 2.95555e-26, 2.95555e-26, 1.46105e-10, 2.95555e-26, 2.95555e-26, 5.78272e-07, 2.95555e-26, 2.95555e-26, 2.95555e-26
0.483286, 0, 8.07239e-07, 1.11324e-25, 1.41421, -8.07239e-07, 0, 1.11324e-25, 1.11324e-25, 1.11324e-25, 1.11324e-25, 1.11324e-25, 1.11324e-25, 1.11324e-25, 9.6948e-12, 1.11324e-25, 1.11324e-25, 1.11324e-25, 7.12998e-09, 1.11324e-25, 1.11324e-25, 2.33857e-10, 1.11324e-25, 1.11324e-25, 7.99866e-07, 1.11324e-25, 1.11324e-25, 1.11324e-25
0.491158, 0, 1.11077e-06, 6.02681e-25, 1.41421, -1.11077e-06, 0, 2.5315e-14, 1.13492e-13, 3.07919e-10, 3.93511e-12, 8.3576e-12, 3.03573e-11, 2.82025e-11, 2.20219e-10, 6.64918e-11, 2.02932e-12, 6.68952e-10, 9.89507e-09, 5.92406e-12, 1.43889e-12, 3.73064e-10, 1.91523e-15, 1.32672e-15, 1.09914e-06, 6.02681e-25, 6.02681e-25, 2.45047e-11
0.499031, 0, 1.51965e-06, 2.07912e-10, 1.41421, -1.51965e-06, 2.07912e-10, 2.07999e-10, 2.08302e-10, 1.26497e-09, 2.21421e-10, 2.36603e-10, 3.12126e-10, 3.04729e-10, 9.27344e-10, 4.36173e-10, 2.14879e-10, 2.50437e-09, 1.38645e-08, 2.28249e-10, 2.12852e-10, 8.00397e-10, 2.07931e-10, 2.07917e-10, 1.50074e-06, 2.07912e-10, 2.07912e-10, 2.92035e-10
0.506904, 0, 2.06826e-06, 7.10057e-10, 1.41421, -2.06826e-06, 7.10057e-10, 7.1029e-10, 7.11099e-10, 3.53661e-09, 7.4618e-10, 7.86776e-10, 9.88723e-10, 9.68942e-10, 2.60266e-09, 1.32042e-09, 7.28686e-10, 6.85071e-09, 1.94563e-08, 7.64437e-10, 7.23266e-10, 1.64669e-09, 7.10139e-10, 7.1007e-10, 2.03614e-06, 7.10057e-10, 7.10057e-10, 9.34999e-10
0.514777, 0, 2.80326e-06, 1.89207e-09, 1.41421, -2.80326e-06, 1.89207e-09, 1.89263e-09, 1.89461e-09, 8.79013e-09, 1.98022e-09, 2.07929e-09, 2.57214e-09, 2.52386e-09, 6.47147e-09, 3.38163e-09, 1.93753e-09, 1.68781e-08, 2.74882e-08, 2.02478e-09, 1.9243e-09, 3.36524e-09, 1.89231e-09, 1.89209e-09, 2.74588e-06, 1.89207e-09, 1.89207e-09, 2.44103e-09
0.52265, 0, 3.78898e-06, 4.60516e-09, 1.41421, -3.78898e-06, 4.60516e-09, 4.60648e-09, 4.61107e-09, 2.06425e-08, 4.81011e-09, 5.04045e-09, 6.18626e-09, 6.07402e-09, 1.5189e-08, 8.06824e-09, 4.71085e-09, 3.94461e-08, 3.93716e-08, 4.9137e-09, 4.6801e-09, 6.90952e-09, 4.60578e-09, 4.60523e-09, 3.68152e-06, 4.60516e-09, 4.60516e-09, 5.88144e-09
0.530523, 0, 5.11804e-06, 1.06831e-08, 1.41421, -5.11804e-06, 1.06831e-08, 1.0686e-08, 1.06964e-08, 4.67457e-08, 1.11439e-08, 1.16619e-08, 1.42384e-08, 1.39861e-08, 3.43635e-08, 1.84704e-08, 1.09207e-08, 8.90289e-08, 5.76619e-08, 1.13769e-08, 1.08516e-08, 1.42665e-08, 1.06846e-08, 1.06832e-08, 4.90932e-06, 1.06831e-08, 1.06831e-08, 1.3553e-08
