   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.599183, 0, 7.1212e-05, 5.01081e-06, 1.41421, -7.1212e-05, 5.01081e-06, 5.0121e-06, 2.52817e-05, 5.57399e-06, 5.42537e-06, 8.73263e-06, 1.13876e-05, 2.73319e-05, 5.58469e-06, 5.01292e-06, 5.11307e-06, 5.01081e-06, 5.01085e-06, 1.6264e-05, 5.01081e-06, 5.01081e-06, 5.61078e-06
0.607074, 0, 0.00012127, 8.84108e-06, 1.41421, -0.00012127, 8.84108e-06, 8.84337e-06, 4.46446e-05, 9.8358e-06, 9.5733e-06, 1.60445e-05, 2.01041e-05, 4.82658e-05, 9.57572e-06, 8.84482e-06, 9.0217e-06, 8.84108e-06, 8.84116e-06, 2.38676e-05, 8.84108e-06, 8.84108e-06, 9.90078e-06
0.614965, 0, 0.000205067, 1.52823e-05, 1.41421, -0.000205067, 1.52823e-05, 1.52862e-05, 7.72392e-05, 1.70036e-05, 1.65494e-05, 2.89872e-05, 3.47725e-05, 8.35056e-05, 1.62193e-05, 1.52888e-05, 1.55949e-05, 1.52823e-05, 1.52824e-05, 3.56097e-05, 1.52823e-05, 1.52823e-05, 1.71161e-05
0.622856, 0, 0.000343107, 2.58833e-05, 1.41421, -0.000343107, 2.58833e-05, 2.589e-05, 0.000130941, 2.88021e-05, 2.80318e-05, 5.15078e-05, 5.89322e-05, 0.000141567, 2.70743e-05, 2.58943e-05, 2.64133e-05, 2.58833e-05, 2.58835e-05, 5.37754e-05, 2.58833e-05, 2.58833e-05, 2.89928e-05
0.630748, 0, 0.000566615, 4.29599e-05, 1.41421, -0.000566615, 4.29599e-05, 4.29711e-05, 0.000217548, 4.78105e-05, 4.65305e-05, 9.00337e-05, 9.78812e-05, 0.000235206, 4.44693e-05, 4.29782e-05, 4.38407e-05, 4.29599e-05, 4.29603e-05, 8.17781e-05, 4.29599e-05, 4.29599e-05, 4.81273e-05
0.638639, 0, 0.000922072, 6.98855e-05, 1.41421, -0.000922072, 6.98855e-05, 6.99037e-05, 0.000354273, 7.77866e-05, 7.57016e-05, 0.000154832, 0.000159347, 0.000383036, 7.17929e-05, 6.99152e-05, 7.13203e-05, 6.98855e-05, 6.98862e-05, 0.000124602, 6.98855e-05, 6.98855e-05, 7.83028e-05
0.64653, 0, 0.00147709, 0.000111445, 1.41421, -0.00147709, 0.000111445, 0.000111474, 0.000565584, 0.000124062, 0.000120732, 0.000261988, 0.000254306, 0.000611516, 0.000113849, 0.000111492, 0.000113736, 0.000111445, 0.000111446, 0.000189357, 0.000111445, 0.000111445, 0.000124886
0.654421, 0, 0.00232778, 0.000174242, 1.41421, -0.00232778, 0.000174242, 0.000174287, 0.000885336, 0.000193998, 0.000188785, 0.000436204, 0.000397936, 0.000957257, 0.000177266, 0.000174316, 0.00017783, 0.000174242, 0.000174244, 0.000285938, 0.000174242, 0.000174242, 0.000195289
0.662313, 0, 0.00360759, 0.000267141, 1.41421, -0.00360759, 0.000267141, 0.000267211, 0.00135909, 0.000297478, 0.000289473, 0.000714646, 0.000610641, 0.00146953, 0.000270935, 0.000267255, 0.000272651, 0.000267141, 0.000267144, 0.00042777, 0.000267141, 0.000267141, 0.000299461
0.670204, 0, 0.00549749, 0.000401701, 1.41421, -0.00549749, 0.000401701, 0.000401806, 0.00204642, 0.000447396, 0.000435337, 0.00115206, 0.00091909, 0.00221277, 0.000406451, 0.000401873, 0.000410001, 0.000401701, 0.000401705, 0.000632605, 0.000401701, 0.000401701, 0.000450383
