   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_342.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.444495, 0, 3.44226e-08, 7.96473e-30, 1.41421, -3.44226e-08, 7.96473e-30, 0, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 7.96473e-30, 1.5464e-11, 7.96473e-30, 7.96473e-30, 2.09105e-12, 7.96473e-30, 7.96473e-30, 3.44051e-08, 7.96473e-30, 7.96473e-30, 7.96473e-30
0.452357, 0, 5.01968e-08, 3.72137e-29, 1.41421, -5.01968e-08, 3.72137e-29, 0, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 3.72137e-29, 2.2649e-11, 3.72137e-29, 3.72137e-29, 3.45224e-12, 3.72137e-29, 3.72137e-29, 5.01707e-08, 3.72137e-29, 3.72137e-29, 3.72137e-29
0.460219, 0, 7.26384e-08, 1.68445e-28, 1.41421, -7.26384e-08, 1.68445e-28, 0, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 1.68445e-28, 3.29411e-11, 1.68445e-28, 1.68445e-28, 5.69234e-12, 1.68445e-28, 1.68445e-28, 7.25998e-08, 1.68445e-28, 1.68445e-28, 1.68445e-28
0.468081, 0, 1.04316e-07, 7.31024e-28, 1.41421, -1.04316e-07, 7.31024e-28, 0, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 7.31024e-28, 4.75833e-11, 7.31024e-28, 7.31024e-28, 9.36929e-12, 7.31024e-28, 7.31024e-28, 1.04259e-07, 7.31024e-28, 7.31024e-28, 7.31024e-28
0.475943, 0, 1.48684e-07, 3.029e-27, 1.41421, -1.48684e-07, 3.029e-27, 0, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 3.029e-27, 6.82759e-11, 3.029e-27, 3.029e-27, 1.5385e-11, 3.029e-27, 3.029e-27, 1.486e-07, 3.029e-27, 3.029e-27, 3.029e-27
0.483805, 0, 2.10351e-07, 1.19917e-26, 1.41421, -2.10351e-07, 1.19917e-26, 0, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 1.19917e-26, 9.73298e-11, 1.19917e-26, 1.19917e-26, 2.51883e-11, 1.19917e-26, 1.19917e-26, 2.10229e-07, 1.19917e-26, 1.19917e-26, 1.19917e-26
0.491667, 0, 2.95419e-07, 4.54051e-26, 1.41421, -2.95419e-07, 4.54051e-26, 0, 4.54051e-26, 4.54051e-26, 4.54051e-26, 4.54051e-26, 4.54051e-26, 1.80737e-12, 4.54051e-26, 4.54051e-26, 4.54051e-26, 1.37866e-10, 4.54051e-26, 4.54051e-26, 4.10907e-11, 4.54051e-26, 4.54051e-26, 2.95238e-07, 4.54051e-26, 4.54051e-26, 4.54051e-26
0.499528, 0, 4.11887e-07, 1.64696e-25, 1.41421, -4.11887e-07, 1.64696e-25, 0, 1.64696e-25, 1.64696e-25, 1.64696e-25, 1.64696e-25, 1.64696e-25, 6.32382e-12, 1.64696e-25, 1.64696e-25, 1.64696e-25, 1.94072e-10, 1.64696e-25, 1.64696e-25, 6.67529e-11, 1.64696e-25, 1.64696e-25, 4.1162e-07, 1.64696e-25, 1.64696e-25, 1.64696e-25
0.50739, 0, 5.72488e-07, 5.78263e-25, 1.41421, -5.72488e-07, 9.21024e-12, 0, 8.98448e-16, 4.09412e-14, 7.39856e-10, 2.79508e-11, 4.29053e-11, 1.00468e-10, 4.07163e-10, 4.43548e-12, 8.91996e-10, 2.71541e-10, 1.32355e-12, 2.9218e-12, 1.07928e-10, 5.78263e-25, 1.99855e-15, 5.69853e-07, 5.78263e-25, 5.78263e-25, 2.65142e-11
0.515252, 0, 7.919e-07, 1.12594e-10, 1.41421, -7.919e-07, 1.44668e-10, 1.12594e-10, 1.12597e-10, 1.12736e-10, 2.68911e-09, 2.09932e-10, 2.6201e-10, 4.45265e-10, 1.53052e-09, 1.2804e-10, 3.21894e-09, 4.90275e-10, 1.17203e-10, 1.22769e-10, 2.86189e-10, 1.12594e-10, 1.12601e-10, 7.83513e-07, 1.12594e-10, 1.12594e-10, 2.04928e-10
0.523114, 0, 1.09206e-06, 3.92575e-10, 1.41421, -1.09206e-06, 4.79602e-10, 3.92575e-10, 3.92584e-10, 3.92962e-10, 7.38343e-09, 6.56681e-10, 7.97985e-10, 1.28022e-09, 4.23983e-09, 4.34486e-10, 8.82099e-09, 9.14829e-10, 4.05082e-10, 4.20183e-10, 6.7021e-10, 3.92575e-10, 3.92594e-10, 1.07001e-06, 3.92575e-10, 3.92575e-10, 6.43106e-10
0.530976, 0, 1.50565e-06, 1.06671e-09, 1.41421, -1.50565e-06, 1.28211e-09, 1.06671e-09, 1.06673e-09, 1.06767e-09, 1.83696e-08, 1.72039e-09, 2.07013e-09, 3.24414e-09, 1.0589e-08, 1.17044e-09, 2.19277e-08, 1.78475e-09, 1.09766e-09, 1.13504e-09, 1.50802e-09, 1.06671e-09, 1.06676e-09, 1.45193e-06, 1.06671e-09, 1.06671e-09, 1.68679e-09
0.538838, 0, 2.08356e-06, 2.64287e-09, 1.41421, -2.08356e-06, 3.15021e-09, 2.64287e-09, 2.64292e-09, 2.64512e-09, 4.33975e-08, 4.18253e-09, 5.00628e-09, 7.73943e-09, 2.50713e-08, 2.88719e-09, 5.1778e-08, 3.62454e-09, 2.71577e-09, 2.80381e-09, 3.33981e-09, 2.64287e-09, 2.64298e-09, 1.95812e-06, 2.64287e-09, 2.64287e-09, 4.10339e-09
0.5467, 0, 2.90996e-06, 6.22855e-09, 1.41421, -2.90996e-06, 7.3827e-09, 6.22855e-09, 6.22866e-09, 6.23368e-09, 9.89412e-08, 9.73112e-09, 1.16051e-08, 1.77608e-08, 5.72509e-08, 6.78437e-09, 1.18006e-07, 7.5632e-09, 6.39441e-09, 6.59469e-09, 7.32175e-09, 6.22855e-09, 6.2288e-09, 2.62603e-06, 6.22855e-09, 6.22855e-09, 9.55109e-09
0.554561, 0, 4.13115e-06, 1.41726e-08, 1.41421, -4.13115e-06, 1.67233e-08, 1.41726e-08, 1.41728e-08, 1.41839e-08, 2.19074e-07, 2.19135e-08, 2.60551e-08, 4.04167e-08, 1.26935e-07, 1.5401e-08, 2.61209e-07, 1.59772e-08, 1.45391e-08, 1.49818e-08, 1.58754e-08, 1.41726e-08, 1.41731e-08, 3.50476e-06, 1.41726e-08, 1.41726e-08, 2.15156e-08
