   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_186.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.459275, 0, 1.06002e-07, 2.79138e-28, 1.41421, -1.06002e-07, 0, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 2.79138e-28, 1.00054e-09, 2.79138e-28, 2.79138e-28, 1.43369e-11, 2.79138e-28, 1.04987e-07, 2.79138e-28, 2.79138e-28, 2.79138e-28
0.467146, 0, 1.52528e-07, 1.22151e-27, 1.41421, -1.52528e-07, 0, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.22151e-27, 1.44725e-09, 1.22151e-27, 1.22151e-27, 2.36218e-11, 1.22151e-27, 1.51057e-07, 1.22151e-27, 1.22151e-27, 1.22151e-27
0.475017, 0, 2.17842e-07, 5.09278e-27, 1.41421, -2.17842e-07, 0, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 5.09278e-27, 2.07946e-09, 5.09278e-27, 5.09278e-27, 3.8814e-11, 5.09278e-27, 2.15724e-07, 5.09278e-27, 5.09278e-27, 5.09278e-27
0.482888, 0, 3.0884e-07, 2.02563e-26, 1.41421, -3.0884e-07, 0, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.02563e-26, 2.96841e-09, 2.02563e-26, 2.02563e-26, 6.35666e-11, 2.02563e-26, 3.05808e-07, 2.02563e-26, 2.02563e-26, 2.02563e-26
0.490759, 0, 4.34675e-07, 7.69808e-26, 1.41421, -4.34675e-07, 0, 7.69808e-26, 7.69808e-26, 7.69808e-26, 7.69808e-26, 7.69808e-26, 7.69808e-26, 2.20921e-12, 7.69808e-26, 7.69808e-26, 4.21049e-09, 7.69808e-26, 7.69808e-26, 1.037e-10, 7.69808e-26, 4.30358e-07, 7.69808e-26, 7.69808e-26, 7.69808e-26
0.49863, 0, 6.07392e-07, 2.80067e-25, 1.41421, -6.07392e-07, 0, 2.80067e-25, 2.80067e-25, 2.80067e-25, 2.80067e-25, 2.80067e-25, 2.80067e-25, 7.65553e-12, 2.80067e-25, 2.80067e-25, 5.93525e-09, 2.80067e-25, 2.80067e-25, 1.68417e-10, 2.80067e-25, 6.01281e-07, 2.80067e-25, 2.80067e-25, 2.80067e-25
0.506501, 0, 8.42733e-07, 9.85367e-25, 1.41421, -8.42733e-07, 0, 9.85367e-25, 9.85367e-25, 9.85367e-25, 9.85367e-25, 9.85367e-25, 9.85367e-25, 2.06324e-11, 9.85367e-25, 9.85367e-25, 8.31584e-09, 9.85367e-25, 9.85367e-25, 2.72155e-10, 9.85367e-25, 8.34125e-07, 9.85367e-25, 9.85367e-25, 9.85367e-25
0.514372, 0, 1.16623e-06, 2.66928e-10, 1.41421, -1.16623e-06, 2.66928e-10, 2.66986e-10, 2.67078e-10, 9.42689e-10, 2.88329e-10, 2.82668e-10, 2.74336e-10, 4.21736e-10, 2.93846e-09, 1.42368e-09, 1.18494e-08, 2.69054e-10, 2.72093e-10, 7.04306e-10, 2.66934e-10, 1.14948e-06, 2.66928e-10, 2.66928e-10, 2.91518e-10
0.522243, 0, 1.60879e-06, 1.01177e-09, 1.41421, -1.60879e-06, 1.01177e-09, 1.012e-09, 1.01236e-09, 3.62701e-09, 1.0946e-09, 1.07269e-09, 1.04044e-09, 1.5342e-09, 1.13508e-08, 5.48847e-09, 1.70509e-08, 1.02e-09, 1.03176e-09, 1.71078e-09, 1.0118e-09, 1.57381e-06, 1.01177e-09, 1.01177e-09, 1.10694e-09
0.530113, 0, 2.2094e-06, 2.51865e-09, 1.41421, -2.2094e-06, 2.51865e-09, 2.51921e-09, 2.52011e-09, 9.05588e-09, 2.72568e-09, 2.67091e-09, 2.59031e-09, 3.79409e-09, 2.83628e-08, 1.37089e-08, 2.46025e-08, 2.53922e-09, 2.56862e-09, 3.62842e-09, 2.5187e-09, 2.14061e-06, 2.51865e-09, 2.51865e-09, 2.75653e-09
0.537984, 0, 3.03451e-06, 5.97981e-09, 1.41421, -3.03451e-06, 5.97981e-09, 5.98115e-09, 5.98327e-09, 2.15402e-08, 6.47259e-09, 6.34224e-09, 6.15039e-09, 8.9626e-09, 6.74958e-08, 3.26156e-08, 3.62164e-08, 6.02877e-09, 6.09875e-09, 7.73002e-09, 5.97994e-09, 2.89407e-06, 5.97981e-09, 5.97981e-09, 6.54603e-09
0.545855, 0, 4.18511e-06, 1.3729e-08, 1.41421, -4.18511e-06, 1.3729e-08, 1.37321e-08, 1.3737e-08, 4.95195e-08, 1.48625e-08, 1.45627e-08, 1.41214e-08, 2.09236e-08, 1.55222e-07, 7.49942e-08, 5.49e-08, 1.38417e-08, 1.40026e-08, 1.64703e-08, 1.37293e-08, 3.89139e-06, 1.3729e-08, 1.3729e-08, 1.50314e-08
0.553726, 0, 5.82725e-06, 3.06455e-08, 1.41421, -5.82725e-06, 3.06455e-08, 3.06524e-08, 3.06633e-08, 1.10651e-07, 3.31792e-08, 3.2509e-08, 3.15226e-08, 4.75119e-08, 3.46937e-07, 1.67597e-07, 8.64e-08, 3.08973e-08, 3.12571e-08, 3.49082e-08, 3.06462e-08, 5.20804e-06, 3.06455e-08, 3.06455e-08, 3.35568e-08
0.561597, 0, 8.2551e-06, 6.66544e-08, 1.41421, -8.2551e-06, 6.66544e-08, 6.66693e-08, 6.66931e-08, 2.40889e-07, 7.21721e-08, 7.07126e-08, 6.85644e-08, 1.13296e-07, 7.5547e-07, 3.64905e-07, 1.41752e-07, 6.72026e-08, 6.79861e-08, 7.32346e-08, 6.66558e-08, 6.94571e-06, 6.66544e-08, 6.66544e-08, 7.29945e-08
0.569468, 0, 1.19778e-05, 1.41403e-07, 1.41421, -1.19778e-05, 1.41403e-07, 1.41434e-07, 1.41485e-07, 5.11484e-07, 1.53123e-07, 1.50023e-07, 1.4546e-07, 2.54309e-07, 1.60447e-06, 7.74897e-07, 2.42016e-07, 1.42567e-07, 1.44231e-07, 1.51486e-07, 1.41406e-07, 9.24556e-06, 1.41403e-07, 1.41403e-07, 1.54869e-07
0.577339, 0, 1.79171e-05, 2.92736e-07, 1.41421, -1.79171e-05, 2.92736e-07, 2.92802e-07, 2.92907e-07, 1.05983e-06, 3.17029e-07, 3.10603e-07, 3.01145e-07, 5.50175e-07, 3.32534e-06, 1.60583e-06, 4.26827e-07, 2.9515e-07, 2.98599e-07, 3.08074e-07, 2.92742e-07, 1.23104e-05, 2.92736e-07, 2.92736e-07, 3.20649e-07
