   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_269.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.482024, 0, 3.38049e-07, 1.34107e-26, 1.41421, -3.38049e-07, 0, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 1.34107e-26, 2.40814e-09, 1.34107e-26, 1.34107e-26, 2.56002e-11, 1.34107e-26, 1.34107e-26, 3.35615e-07, 1.34107e-26, 1.34107e-26, 1.34107e-26
0.489893, 0, 4.78914e-07, 5.13514e-26, 1.41421, -4.78914e-07, 0, 5.13514e-26, 5.13514e-26, 5.13514e-26, 5.13514e-26, 5.13514e-26, 5.13514e-26, 1.76273e-12, 5.13514e-26, 5.13514e-26, 5.13514e-26, 3.4375e-09, 5.13514e-26, 5.13514e-26, 4.20098e-11, 5.13514e-26, 5.13514e-26, 4.75433e-07, 5.13514e-26, 5.13514e-26, 5.13514e-26
0.497763, 0, 6.73488e-07, 1.88229e-25, 1.41421, -6.73488e-07, 0, 1.88229e-25, 1.88229e-25, 1.88229e-25, 1.88229e-25, 1.88229e-25, 1.88229e-25, 6.19113e-12, 1.88229e-25, 1.88229e-25, 1.88229e-25, 4.87555e-09, 1.88229e-25, 1.88229e-25, 6.86407e-11, 1.88229e-25, 1.88229e-25, 6.68538e-07, 1.88229e-25, 1.88229e-25, 1.88229e-25
0.505632, 0, 9.40233e-07, 6.66188e-25, 1.41421, -9.40233e-07, 0, 6.66188e-25, 6.66188e-25, 6.66188e-25, 6.66188e-25, 6.66188e-25, 6.66188e-25, 1.69369e-11, 6.66188e-25, 6.66188e-25, 6.66188e-25, 6.87212e-09, 6.66188e-25, 6.66188e-25, 1.11607e-10, 6.66188e-25, 6.66188e-25, 9.33233e-07, 6.66188e-25, 6.66188e-25, 6.66188e-25
0.513501, 0, 1.30663e-06, 2.18069e-10, 1.41421, -1.30663e-06, 2.18069e-10, 2.18108e-10, 2.18127e-10, 6.92091e-10, 2.3356e-10, 2.20207e-10, 2.32309e-10, 3.43585e-10, 1.62535e-09, 2.22859e-10, 1.21588e-09, 9.84562e-09, 2.2072e-10, 2.21139e-10, 3.98562e-10, 2.18189e-10, 2.18072e-10, 1.29375e-06, 2.18069e-10, 2.18069e-10, 2.41731e-10
0.52137, 0, 1.80547e-06, 7.52883e-10, 1.41421, -1.80547e-06, 7.52883e-10, 7.53018e-10, 7.53084e-10, 2.40816e-09, 8.06975e-10, 7.60346e-10, 8.02606e-10, 1.14392e-09, 5.6671e-09, 7.69609e-10, 4.23724e-09, 1.41604e-08, 7.62137e-10, 7.63601e-10, 1.04311e-09, 7.55739e-10, 7.5289e-10, 1.7811e-06, 7.52883e-10, 7.52883e-10, 8.35509e-10
0.52924, 0, 2.48399e-06, 2.03396e-09, 1.41421, -2.48399e-06, 2.03396e-09, 2.03433e-09, 2.03451e-09, 6.53872e-09, 2.18117e-09, 2.05427e-09, 2.16928e-09, 3.05506e-09, 1.54078e-08, 2.07948e-09, 1.15165e-08, 2.05966e-08, 2.05914e-09, 2.06313e-09, 2.49773e-09, 2.04377e-09, 2.03398e-09, 2.43594e-06, 2.03396e-09, 2.03396e-09, 2.25882e-09
0.537109, 0, 3.40872e-06, 5.02489e-09, 1.41421, -3.40872e-06, 5.02489e-09, 5.0258e-09, 5.02625e-09, 1.62097e-08, 5.3904e-09, 5.07532e-09, 5.36087e-09, 7.50111e-09, 3.82307e-08, 5.13791e-09, 2.8569e-08, 3.05776e-08, 5.08742e-09, 5.09731e-09, 5.76109e-09, 5.05219e-09, 5.02494e-09, 3.31043e-06, 5.02489e-09, 5.02489e-09, 5.5832e-09
0.544978, 0, 4.67862e-06, 1.18349e-08, 1.41421, -4.67862e-06, 1.18349e-08, 1.1837e-08, 1.18381e-08, 3.82632e-08, 1.26985e-08, 1.1954e-08, 1.26287e-08, 1.75836e-08, 9.02958e-08, 1.21019e-08, 6.74665e-08, 4.68112e-08, 1.19826e-08, 1.2006e-08, 1.29955e-08, 1.1904e-08, 1.1835e-08, 4.47246e-06, 1.18349e-08, 1.18349e-08, 1.31541e-08
0.552847, 0, 6.44923e-06, 2.69465e-08, 1.41421, -6.44923e-06, 2.69465e-08, 2.69515e-08, 2.69539e-08, 8.72591e-08, 2.89175e-08, 2.72185e-08, 2.87583e-08, 4.0732e-08, 2.06004e-07, 2.7556e-08, 1.53904e-07, 7.45557e-08, 2.72838e-08, 2.73371e-08, 2.87633e-08, 2.71121e-08, 2.69468e-08, 6.01112e-06, 2.69465e-08, 2.69465e-08, 2.99572e-08
