   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_44.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.504987, 0, 2.23171e-06, 7.98131e-10, 1.41421, -2.23171e-06, 7.98131e-10, 7.98263e-10, 7.98197e-10, 3.30608e-09, 8.7166e-10, 8.01668e-10, 9.08305e-10, 1.61593e-09, 3.94007e-09, 8.13542e-10, 3.44137e-09, 1.47968e-08, 8.08875e-10, 8.10587e-10, 7.99716e-10, 1.81112e-09, 7.98134e-10, 2.20728e-06, 7.98131e-10, 7.98131e-10, 8.72573e-10
0.512879, 0, 3.00681e-06, 2.0743e-09, 1.41421, -3.00681e-06, 2.0743e-09, 2.07464e-09, 2.07447e-09, 8.58975e-09, 2.26532e-09, 2.08349e-09, 2.36053e-09, 4.12089e-09, 1.02368e-08, 2.11434e-09, 8.94122e-09, 2.10756e-08, 2.10221e-09, 2.10666e-09, 2.0795e-09, 3.63673e-09, 2.07431e-09, 2.96187e-06, 2.0743e-09, 2.0743e-09, 2.2677e-09
0.520772, 0, 4.03785e-06, 4.9111e-09, 1.41421, -4.03785e-06, 4.9111e-09, 4.91191e-09, 4.9115e-09, 2.03323e-08, 5.36322e-09, 4.93285e-09, 5.58855e-09, 9.65617e-09, 2.42306e-08, 5.00586e-09, 2.11642e-08, 3.05722e-08, 4.97716e-09, 4.98769e-09, 4.92494e-09, 7.30524e-09, 4.91112e-09, 3.95219e-06, 4.9111e-09, 4.9111e-09, 5.36884e-09
0.528664, 0, 5.4139e-06, 1.10674e-08, 1.41421, -5.4139e-06, 1.10674e-08, 1.10692e-08, 1.10683e-08, 4.58121e-08, 1.20861e-08, 1.11164e-08, 1.25937e-08, 2.15982e-08, 5.45953e-08, 1.12809e-08, 4.76864e-08, 4.55493e-08, 1.12162e-08, 1.124e-08, 1.11009e-08, 1.47104e-08, 1.10674e-08, 5.24616e-06, 1.10674e-08, 1.10674e-08, 1.20987e-08
0.536557, 0, 7.26707e-06, 2.41193e-08, 1.41421, -7.26707e-06, 2.41193e-08, 2.41233e-08, 2.41213e-08, 9.98299e-08, 2.6339e-08, 2.42261e-08, 2.74453e-08, 4.86883e-08, 1.18969e-07, 2.45846e-08, 1.03914e-07, 7.02255e-08, 2.44437e-08, 2.44954e-08, 2.4196e-08, 2.96302e-08, 2.41194e-08, 6.93138e-06, 2.41193e-08, 2.41193e-08, 2.63666e-08
0.544449, 0, 9.81823e-06, 5.12805e-08, 1.41421, -9.81823e-06, 5.12805e-08, 5.1289e-08, 5.12847e-08, 2.12242e-07, 5.59996e-08, 5.15076e-08, 5.83516e-08, 1.25241e-07, 2.52932e-07, 5.22696e-08, 2.20925e-07, 1.12629e-07, 5.19701e-08, 5.208e-08, 5.14513e-08, 5.95466e-08, 5.12807e-08, 9.12294e-06, 5.12805e-08, 5.12805e-08, 5.60583e-08
0.552341, 0, 1.33852e-05, 1.0606e-07, 1.41421, -1.33852e-05, 1.0606e-07, 1.06077e-07, 1.06069e-07, 4.38956e-07, 1.1582e-07, 1.06529e-07, 1.20684e-07, 2.83712e-07, 5.2311e-07, 1.08106e-07, 4.56914e-07, 1.87295e-07, 1.07486e-07, 1.07713e-07, 1.06424e-07, 1.18363e-07, 1.0606e-07, 1.1973e-05, 1.0606e-07, 1.0606e-07, 1.15941e-07
0.560234, 0, 1.85251e-05, 2.14544e-07, 1.41421, -1.85251e-05, 2.14544e-07, 2.14579e-07, 2.14562e-07, 8.87927e-07, 2.34286e-07, 2.15494e-07, 2.44126e-07, 6.13445e-07, 1.05815e-06, 2.18682e-07, 9.24251e-07, 3.21599e-07, 2.17429e-07, 2.17889e-07, 2.15301e-07, 2.32714e-07, 2.14545e-07, 1.56929e-05, 2.14544e-07, 2.14544e-07, 2.34532e-07
0.568126, 0, 2.61773e-05, 4.24619e-07, 1.41421, -2.61773e-05, 4.24619e-07, 4.24688e-07, 4.24653e-07, 1.75731e-06, 4.63691e-07, 4.26498e-07, 4.83164e-07, 1.28543e-06, 2.09421e-06, 4.32808e-07, 1.8292e-06, 5.65033e-07, 4.30328e-07, 4.31238e-07, 4.26158e-07, 4.51243e-07, 4.2462e-07, 2.05813e-05, 4.24619e-07, 4.24619e-07, 4.64176e-07
0.576018, 0, 3.79508e-05, 8.22436e-07, 1.41421, -3.79508e-05, 8.22436e-07, 8.22571e-07, 8.22503e-07, 3.40362e-06, 8.98112e-07, 8.26076e-07, 9.35827e-07, 2.6269e-06, 4.05613e-06, 8.38297e-07, 3.54286e-06, 1.00575e-06, 8.33494e-07, 8.35256e-07, 8.25499e-07, 8.61145e-07, 8.22439e-07, 2.70767e-05, 8.22436e-07, 8.22436e-07, 8.99052e-07
