   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.491646, 0, 9.58333e-07, 2.16609e-25, 1.41421, -9.58333e-07, 0, 2.16609e-25, 2.16609e-25, 2.16609e-25, 2.16609e-25, 2.16609e-25, 2.16609e-25, 2.16609e-25, 1.22656e-11, 2.16609e-25, 2.16609e-25, 1.91141e-09, 2.16609e-25, 2.16609e-25, 2.56157e-11, 2.16609e-25, 2.16609e-25, 9.56384e-07, 2.16609e-25, 2.16609e-25, 2.16609e-25
0.499513, 0, 1.32239e-06, 7.58591e-25, 1.41421, -1.32239e-06, 0, 9.79257e-15, 1.65803e-14, 3.89349e-10, 9.91045e-12, 1.23875e-12, 3.99824e-11, 2.30563e-12, 1.95516e-10, 2.43694e-10, 1.61603e-09, 2.66028e-09, 3.46016e-12, 1.71048e-12, 4.10915e-11, 7.75543e-14, 1.34877e-15, 1.31716e-06, 7.58591e-25, 7.58591e-25, 2.46262e-11
0.50738, 0, 1.81454e-06, 2.33607e-10, 1.41421, -1.81454e-06, 2.33607e-10, 2.33641e-10, 2.33664e-10, 1.5751e-09, 2.67753e-10, 2.37875e-10, 3.71365e-10, 2.41551e-10, 8.74564e-10, 1.07325e-09, 5.80158e-09, 3.91522e-09, 2.45529e-10, 2.395e-10, 2.99203e-10, 2.34429e-10, 2.33612e-10, 1.80211e-06, 2.33607e-10, 2.33607e-10, 3.18456e-10
0.515247, 0, 2.47804e-06, 7.98906e-10, 1.41421, -2.47804e-06, 7.98906e-10, 7.98997e-10, 7.99059e-10, 4.39849e-09, 8.9053e-10, 8.10358e-10, 1.16855e-09, 8.20222e-10, 2.49073e-09, 3.05189e-09, 1.57393e-08, 5.86569e-09, 8.30896e-10, 8.1472e-10, 9.03061e-10, 8.02343e-10, 7.98919e-10, 2.44961e-06, 7.98906e-10, 7.98906e-10, 1.02658e-09
0.523114, 0, 3.37321e-06, 2.13181e-09, 1.41421, -3.37321e-06, 2.13181e-09, 2.13203e-09, 2.13218e-09, 1.09436e-08, 2.3561e-09, 2.15984e-09, 3.03669e-09, 2.18399e-09, 6.23756e-09, 7.6471e-09, 3.87058e-08, 9.06693e-09, 2.21012e-09, 2.17052e-09, 2.29623e-09, 2.14193e-09, 2.13184e-09, 3.30921e-06, 2.13181e-09, 2.13181e-09, 2.68915e-09
0.530981, 0, 4.5862e-06, 5.19561e-09, 1.41421, -4.5862e-06, 5.19561e-09, 5.19613e-09, 5.19649e-09, 2.57341e-08, 5.71839e-09, 5.26096e-09, 7.30471e-09, 5.31723e-09, 1.47077e-08, 1.80507e-08, 9.04423e-08, 1.46371e-08, 5.37814e-09, 5.28584e-09, 5.45359e-09, 5.22177e-09, 5.19568e-09, 4.44393e-06, 5.19561e-09, 5.19561e-09, 6.49466e-09
0.538849, 0, 6.24676e-06, 1.20696e-08, 1.41421, -6.24676e-06, 1.20696e-08, 1.20708e-08, 1.20716e-08, 5.83412e-08, 1.32474e-08, 1.22168e-08, 1.68213e-08, 1.23436e-08, 3.33898e-08, 4.10311e-08, 2.04124e-07, 2.48552e-08, 1.24808e-08, 1.22729e-08, 1.24717e-08, 1.21327e-08, 1.20698e-08, 5.93501e-06, 1.20696e-08, 1.20696e-08, 1.49963e-08
0.546716, 0, 8.56141e-06, 2.71187e-08, 1.41421, -8.56141e-06, 2.71187e-08, 2.71212e-08, 2.7123e-08, 1.28487e-07, 2.96989e-08, 2.74412e-08, 3.75282e-08, 2.7719e-08, 7.53095e-08, 9.05653e-08, 4.47857e-07, 4.43421e-08, 2.80195e-08, 2.7564e-08, 2.77414e-08, 2.72643e-08, 2.7119e-08, 7.888e-06, 2.71187e-08, 2.71187e-08, 3.35302e-08
0.554583, 0, 1.187e-05, 5.927e-08, 1.41421, -1.187e-05, 5.927e-08, 5.92755e-08, 5.92792e-08, 2.7576e-07, 6.47805e-08, 5.99588e-08, 8.15015e-08, 6.0552e-08, 1.65659e-07, 1.94771e-07, 9.5783e-07, 8.23516e-08, 6.1194e-08, 6.02211e-08, 6.02276e-08, 5.95952e-08, 5.92708e-08, 1.04424e-05, 5.927e-08, 5.927e-08, 7.29629e-08
0.56245, 0, 1.67883e-05, 1.26309e-07, 1.41421, -1.67883e-05, 1.26309e-07, 1.2632e-07, 1.26328e-07, 5.77576e-07, 1.37795e-07, 1.27744e-07, 1.72649e-07, 1.28981e-07, 3.9107e-07, 4.08757e-07, 1.99933e-06, 1.57082e-07, 1.30319e-07, 1.28291e-07, 1.27771e-07, 1.27014e-07, 1.2631e-07, 1.37874e-05, 1.26309e-07, 1.26309e-07, 1.54851e-07
