   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_219.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, K_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.378989, 0, 3.64127e-09, 2.94816e-35, 1.41421, -3.64127e-09, 0, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 2.94816e-35, 1.67981e-11, 2.94816e-35, 2.94816e-35, 8.32431e-14, 2.94816e-35, 2.10798e-13, 2.94816e-35, 3.62418e-09, 2.94816e-35, 2.94816e-35, 2.94816e-35
0.386859, 0, 5.5767e-09, 2.16457e-34, 1.41421, -5.5767e-09, 0, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.16457e-34, 2.57552e-11, 2.16457e-34, 2.16457e-34, 1.36721e-13, 2.16457e-34, 3.46133e-13, 2.16457e-34, 5.55046e-09, 2.16457e-34, 2.16457e-34, 2.16457e-34
0.39473, 0, 8.47502e-09, 1.49323e-33, 1.41421, -8.47502e-09, 0, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 1.49323e-33, 3.91933e-11, 1.49323e-33, 1.49323e-33, 2.24248e-13, 1.49323e-33, 5.67065e-13, 1.49323e-33, 8.43503e-09, 1.49323e-33, 1.49323e-33, 1.49323e-33
0.4026, 0, 1.2781e-08, 9.07114e-33, 1.41421, -1.2781e-08, 0, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 9.07114e-33, 5.92024e-11, 9.07114e-33, 9.07114e-33, 3.67447e-13, 9.07114e-33, 9.27282e-13, 9.07114e-33, 1.27205e-08, 9.07114e-33, 9.07114e-33, 9.07114e-33
0.410471, 0, 1.91284e-08, 5.51882e-32, 1.41421, -1.91284e-08, 0, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 5.51882e-32, 8.87748e-11, 5.51882e-32, 5.51882e-32, 6.01665e-13, 5.51882e-32, 1.51402e-12, 5.51882e-32, 1.90375e-08, 5.51882e-32, 5.51882e-32, 5.51882e-32
0.418342, 0, 2.84119e-08, 3.01867e-31, 1.41421, -2.84119e-08, 0, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 3.01867e-31, 1.32163e-10, 3.01867e-31, 3.01867e-31, 9.84645e-13, 3.01867e-31, 2.46895e-12, 3.01867e-31, 2.82763e-08, 3.01867e-31, 3.01867e-31, 3.01867e-31
0.426212, 0, 4.18852e-08, 1.60418e-30, 1.41421, -4.18852e-08, 0, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.60418e-30, 1.95367e-10, 1.60418e-30, 1.60418e-30, 1.61061e-12, 1.60418e-30, 4.02191e-12, 1.60418e-30, 4.16842e-08, 1.60418e-30, 1.60418e-30, 1.60418e-30
0.434083, 0, 6.12894e-08, 8.10931e-30, 1.41421, -6.12894e-08, 0, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 8.10931e-30, 2.86791e-10, 8.10931e-30, 8.10931e-30, 2.63295e-12, 8.10931e-30, 6.54513e-12, 8.10931e-30, 6.09934e-08, 8.10931e-30, 8.10931e-30, 8.10931e-30
0.441953, 0, 8.90235e-08, 3.87409e-29, 1.41421, -8.90235e-08, 0, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 3.87409e-29, 4.18128e-10, 3.87409e-29, 3.87409e-29, 4.3008e-12, 3.87409e-29, 1.06401e-11, 3.87409e-29, 8.85905e-08, 3.87409e-29, 3.87409e-29, 3.87409e-29
0.449824, 0, 1.28366e-07, 1.77995e-28, 1.41421, -1.28366e-07, 0, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 1.77995e-28, 6.05534e-10, 1.77995e-28, 1.77995e-28, 7.01731e-12, 1.77995e-28, 1.72758e-11, 1.77995e-28, 1.27736e-07, 1.77995e-28, 1.77995e-28, 1.77995e-28
