   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_331.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.538511, 0, 3.59732e-06, 1.785e-08, 1.41421, -3.59732e-06, 1.785e-08, 1.78511e-08, 1.78562e-08, 3.6137e-08, 1.81907e-08, 1.78816e-08, 1.9222e-08, 2.59582e-08, 1.97065e-08, 1.10621e-07, 3.69865e-08, 1.78719e-08, 1.79325e-08, 2.03519e-08, 1.78501e-08, 3.45131e-06, 1.785e-08, 1.785e-08, 1.93361e-08
0.546375, 0, 4.93441e-06, 4.01595e-08, 1.41421, -4.93441e-06, 4.01595e-08, 4.01619e-08, 4.01734e-08, 8.13367e-08, 4.09267e-08, 4.02305e-08, 4.32488e-08, 5.94372e-08, 4.43397e-08, 2.49054e-07, 6.60731e-08, 4.02088e-08, 4.03452e-08, 4.40457e-08, 4.01596e-08, 4.62355e-06, 4.01595e-08, 4.01595e-08, 4.35057e-08
0.554239, 0, 6.8336e-06, 8.78778e-08, 1.41421, -6.8336e-06, 8.78778e-08, 8.78831e-08, 8.79081e-08, 1.78045e-07, 8.95576e-08, 8.80332e-08, 9.46425e-08, 1.32452e-07, 9.70314e-08, 5.45301e-07, 1.22785e-07, 8.79857e-08, 8.82844e-08, 9.38719e-08, 8.7878e-08, 6.17491e-06, 8.78778e-08, 8.78778e-08, 9.52051e-08
0.562103, 0, 9.6397e-06, 1.87495e-07, 1.41421, -9.6397e-06, 1.87495e-07, 1.87507e-07, 1.8756e-07, 3.79992e-07, 1.91082e-07, 1.87827e-07, 2.01937e-07, 3.11547e-07, 2.07037e-07, 1.16404e-06, 2.34275e-07, 1.87726e-07, 1.88363e-07, 1.96675e-07, 1.87496e-07, 8.23592e-06, 1.87495e-07, 1.87495e-07, 2.03138e-07
0.569967, 0, 1.39213e-05, 3.90489e-07, 1.41421, -1.39213e-05, 3.90489e-07, 3.90512e-07, 3.90624e-07, 7.91622e-07, 3.97962e-07, 3.9118e-07, 4.20583e-07, 6.88666e-07, 4.31211e-07, 2.42546e-06, 4.52857e-07, 3.90969e-07, 3.92298e-07, 4.04444e-07, 3.9049e-07, 1.09967e-05, 3.90489e-07, 3.90489e-07, 4.23086e-07
0.577831, 0, 2.07106e-05, 7.94284e-07, 1.41421, -2.07106e-05, 7.94284e-07, 7.94332e-07, 7.94558e-07, 1.61068e-06, 8.09494e-07, 7.95691e-07, 8.55533e-07, 1.46655e-06, 8.77163e-07, 4.93593e-06, 8.77016e-07, 7.95261e-07, 7.97965e-07, 8.15351e-07, 7.94285e-07, 1.47444e-05, 7.94284e-07, 7.94284e-07, 8.60627e-07
0.585695, 0, 3.18457e-05, 1.57847e-06, 1.41421, -3.18457e-05, 1.57847e-06, 1.57857e-06, 1.57902e-06, 3.20184e-06, 1.60872e-06, 1.58127e-06, 1.70026e-06, 3.03696e-06, 1.74327e-06, 9.81391e-06, 1.68767e-06, 1.58042e-06, 1.58579e-06, 1.61004e-06, 1.57848e-06, 1.99262e-05, 1.57847e-06, 1.57847e-06, 1.71039e-06
0.593559, 0, 5.0575e-05, 3.06543e-06, 1.41421, -5.0575e-05, 3.06543e-06, 3.06562e-06, 3.06649e-06, 6.21996e-06, 3.1242e-06, 3.07087e-06, 3.3021e-06, 6.14051e-06, 3.38567e-06, 1.90685e-05, 3.20886e-06, 3.06921e-06, 3.07966e-06, 3.11238e-06, 3.06544e-06, 2.72551e-05, 3.06543e-06, 3.06543e-06, 3.32178e-06
0.601423, 0, 8.2567e-05, 5.81863e-06, 1.41421, -8.2567e-05, 5.81863e-06, 5.81898e-06, 5.82065e-06, 1.18102e-05, 5.93026e-06, 5.82896e-06, 6.26814e-06, 1.21589e-05, 6.42688e-06, 3.62142e-05, 6.00614e-06, 5.8258e-06, 5.84565e-06, 5.88797e-06, 5.81864e-06, 3.78796e-05, 5.81863e-06, 5.81863e-06, 6.30553e-06
0.609286, 0, 0.000137571, 1.07969e-05, 1.41421, -0.000137571, 1.07969e-05, 1.07975e-05, 1.08006e-05, 2.19221e-05, 1.10041e-05, 1.0816e-05, 1.16315e-05, 2.36425e-05, 1.19263e-05, 6.72359e-05, 1.10409e-05, 1.08102e-05, 1.0847e-05, 1.08985e-05, 1.07969e-05, 5.36527e-05, 1.07969e-05, 1.07969e-05, 1.17009e-05
0.61715, 0, 0.000231982, 1.95881e-05, 1.41421, -0.000231982, 1.95881e-05, 1.95893e-05, 1.95949e-05, 3.97864e-05, 1.99644e-05, 1.96229e-05, 2.11035e-05, 4.5157e-05, 2.16386e-05, 0.000122055, 1.99043e-05, 1.96123e-05, 1.96792e-05, 1.97362e-05, 1.95882e-05, 7.75416e-05, 1.95881e-05, 1.95881e-05, 2.12295e-05
0.625014, 0, 0.000392838, 3.47516e-05, 1.41421, -0.000392838, 3.47516e-05, 3.47537e-05, 3.47636e-05, 7.06129e-05, 3.54197e-05, 3.48134e-05, 3.7442e-05, 8.47393e-05, 3.83922e-05, 0.000216678, 3.51597e-05, 3.47945e-05, 3.49133e-05, 3.49659e-05, 3.47517e-05, 0.000114245, 3.47516e-05, 3.47516e-05, 3.76658e-05
