   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_73.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.482866, 0, 2.9608e-07, 1.7697e-25, 1.41421, -2.9608e-07, 1.7697e-25, 0, 1.7697e-25, 1.7697e-25, 1.7697e-25, 1.7697e-25, 1.7697e-25, 1.7697e-25, 2.32325e-12, 1.7697e-25, 1.7697e-25, 1.7697e-25, 2.04104e-09, 1.7697e-25, 1.7697e-25, 9.03765e-11, 1.7697e-25, 7.44972e-10, 1.7697e-25, 2.93202e-07, 1.7697e-25, 1.7697e-25
0.490745, 0, 4.04901e-07, 2.10863e-10, 1.41421, -4.04901e-07, 2.31059e-10, 2.10863e-10, 2.10869e-10, 2.10888e-10, 2.10886e-10, 6.20122e-10, 2.21865e-10, 2.19484e-10, 2.30985e-10, 2.49459e-10, 2.13403e-10, 7.02532e-10, 3.01859e-09, 2.11095e-10, 2.12846e-10, 3.53544e-10, 2.10863e-10, 1.37519e-09, 2.10864e-10, 3.99782e-07, 2.10863e-10, 2.10863e-10
0.498624, 0, 5.51126e-07, 7.08763e-10, 1.41421, -5.51126e-07, 7.77042e-10, 7.08763e-10, 7.08786e-10, 7.08849e-10, 7.08843e-10, 2.0924e-09, 7.45959e-10, 7.37912e-10, 7.69889e-10, 8.39251e-10, 7.17352e-10, 2.37101e-09, 4.55072e-09, 7.09547e-10, 7.15468e-10, 9.3294e-10, 7.08763e-10, 2.51909e-09, 7.08768e-10, 5.41861e-07, 7.08763e-10, 7.08763e-10
0.506504, 0, 7.47647e-07, 1.85618e-09, 1.41421, -7.47647e-07, 2.03571e-09, 1.85618e-09, 1.85624e-09, 1.8564e-09, 1.85639e-09, 5.49431e-09, 1.95398e-09, 1.93282e-09, 2.01092e-09, 2.19928e-09, 1.87876e-09, 6.2269e-09, 7.08607e-09, 1.85824e-09, 1.87381e-09, 2.20662e-09, 1.85618e-09, 4.65524e-09, 1.85619e-09, 7.30364e-07, 1.85618e-09, 1.85618e-09
0.514383, 0, 1.01264e-06, 4.43839e-09, 1.41421, -1.01264e-06, 4.86894e-09, 4.43839e-09, 4.43853e-09, 4.43893e-09, 4.43889e-09, 1.31633e-08, 4.67294e-09, 4.62219e-09, 4.8018e-09, 5.26122e-09, 4.49255e-09, 1.49202e-08, 1.15214e-08, 4.44333e-09, 4.48067e-09, 4.98324e-09, 4.43839e-09, 8.73999e-09, 4.43841e-09, 9.79371e-07, 4.43839e-09, 4.43839e-09
0.522262, 0, 1.3731e-06, 1.01207e-08, 1.41421, -1.3731e-06, 1.11044e-08, 1.01207e-08, 1.01211e-08, 1.0122e-08, 1.01219e-08, 3.00543e-08, 1.06566e-08, 1.05407e-08, 1.09384e-08, 1.20006e-08, 1.02445e-08, 3.40682e-08, 1.96653e-08, 1.0132e-08, 1.02173e-08, 1.0963e-08, 1.01207e-08, 1.66884e-08, 1.01208e-08, 1.30739e-06, 1.01207e-08, 1.01207e-08
0.530142, 0, 1.87111e-06, 2.23441e-08, 1.41421, -1.87111e-06, 2.45187e-08, 2.23441e-08, 2.23448e-08, 2.23468e-08, 2.23466e-08, 6.6412e-08, 2.35287e-08, 2.32724e-08, 2.42688e-08, 2.65e-08, 2.26176e-08, 7.52857e-08, 3.51422e-08, 2.2369e-08, 2.25576e-08, 2.36381e-08, 2.23441e-08, 3.23118e-08, 2.23442e-08, 1.73915e-06, 2.23441e-08, 2.23441e-08
0.538021, 0, 2.57523e-06, 4.80504e-08, 1.41421, -2.57523e-06, 5.27318e-08, 4.80504e-08, 4.80519e-08, 4.80563e-08, 4.80558e-08, 1.42918e-07, 5.06007e-08, 5.00489e-08, 5.24604e-08, 5.69971e-08, 4.86393e-08, 1.6202e-07, 6.51274e-08, 4.81042e-08, 4.85101e-08, 5.0026e-08, 4.80504e-08, 6.30607e-08, 4.80507e-08, 2.30863e-06, 4.80504e-08, 4.80504e-08
0.5459, 0, 3.60444e-06, 1.00909e-07, 1.41421, -3.60444e-06, 1.10749e-07, 1.00909e-07, 1.00912e-07, 1.00921e-07, 1.00921e-07, 3.00319e-07, 1.0627e-07, 1.0511e-07, 1.13653e-07, 1.19715e-07, 1.02147e-07, 3.40473e-07, 1.23586e-07, 1.01022e-07, 1.01875e-07, 1.03906e-07, 1.00909e-07, 1.23345e-07, 1.0091e-07, 3.06406e-06, 1.00909e-07, 1.00909e-07
0.553779, 0, 5.16066e-06, 2.07191e-07, 1.41421, -5.16066e-06, 2.27412e-07, 2.07191e-07, 2.07197e-07, 2.07216e-07, 2.07214e-07, 6.16977e-07, 2.18207e-07, 2.15823e-07, 2.38026e-07, 2.45837e-07, 2.09734e-07, 6.99492e-07, 2.37159e-07, 2.07423e-07, 2.09176e-07, 2.11706e-07, 2.07191e-07, 2.40471e-07, 2.07192e-07, 4.07664e-06, 2.07191e-07, 2.07191e-07
