   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_63.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.466084, 0, 6.47869e-08, 3.4336e-27, 1.41421, -6.47869e-08, 0, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 3.4336e-27, 8.12022e-10, 3.4336e-27, 3.4336e-27, 2.4577e-11, 3.4336e-27, 3.4336e-27, 6.39503e-08, 3.4336e-27, 3.4336e-27, 3.4336e-27
0.473967, 0, 9.1171e-08, 1.36736e-26, 1.41421, -9.1171e-08, 0, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.36736e-26, 1.15036e-09, 1.36736e-26, 1.36736e-26, 3.97767e-11, 1.36736e-26, 1.36736e-26, 8.99808e-08, 1.36736e-26, 1.36736e-26, 1.36736e-26
0.481849, 0, 1.27414e-07, 5.20292e-26, 1.41421, -1.27414e-07, 0, 5.20292e-26, 5.20292e-26, 5.20292e-26, 5.20292e-26, 5.20292e-26, 5.20292e-26, 5.20292e-26, 6.80505e-13, 5.20292e-26, 5.20292e-26, 5.20292e-26, 1.61982e-09, 5.20292e-26, 5.20292e-26, 6.41709e-11, 5.20292e-26, 5.20292e-26, 1.25729e-07, 5.20292e-26, 5.20292e-26, 5.20292e-26
0.489732, 0, 1.76848e-07, 1.89493e-25, 1.41421, -1.76848e-07, 0, 1.89493e-25, 1.89493e-25, 1.89493e-25, 1.89493e-25, 1.89493e-25, 1.89493e-25, 1.89493e-25, 2.32826e-12, 1.89493e-25, 1.89493e-25, 1.89493e-25, 2.26738e-09, 1.89493e-25, 1.89493e-25, 1.03138e-10, 1.89493e-25, 1.89493e-25, 1.74475e-07, 1.89493e-25, 1.89493e-25, 1.89493e-25
0.497614, 0, 2.43807e-07, 6.66789e-25, 1.41421, -2.43807e-07, 0, 6.66789e-25, 6.66789e-25, 6.66789e-25, 6.66789e-25, 6.66789e-25, 6.66789e-25, 6.66789e-25, 6.19102e-12, 6.66789e-25, 6.66789e-25, 6.66789e-25, 3.15546e-09, 6.66789e-25, 6.66789e-25, 1.65061e-10, 6.66789e-25, 6.66789e-25, 2.4048e-07, 6.66789e-25, 6.66789e-25, 6.66789e-25
0.505497, 0, 3.36263e-07, 3.48415e-10, 1.41421, -3.36263e-07, 3.48415e-10, 3.48431e-10, 3.48489e-10, 1.10771e-09, 3.63513e-10, 4.68609e-10, 3.84955e-10, 3.56372e-10, 3.95397e-10, 3.71071e-10, 3.53312e-10, 1.3095e-09, 4.71508e-09, 3.54987e-10, 3.51796e-10, 6.11316e-10, 3.48525e-10, 3.48418e-10, 3.29634e-07, 3.48415e-10, 3.48415e-10, 3.63711e-10
0.513379, 0, 4.62347e-07, 1.18548e-09, 1.41421, -4.62347e-07, 1.18548e-09, 1.18554e-09, 1.18574e-09, 3.76922e-09, 1.23686e-09, 1.59448e-09, 1.30982e-09, 1.21256e-09, 1.32889e-09, 1.26258e-09, 1.20215e-09, 4.45586e-09, 7.19483e-09, 1.20785e-09, 1.19699e-09, 1.6021e-09, 1.18822e-09, 1.18549e-09, 4.49129e-07, 1.18548e-09, 1.18548e-09, 1.23753e-09
0.521262, 0, 6.35545e-07, 3.13449e-09, 1.41421, -6.35545e-07, 3.13449e-09, 3.13463e-09, 3.13516e-09, 9.97164e-09, 3.27045e-09, 4.21679e-09, 3.46352e-09, 3.20614e-09, 3.49951e-09, 3.3385e-09, 3.17859e-09, 1.17886e-08, 1.13595e-08, 3.19367e-09, 3.16494e-09, 3.79095e-09, 3.14359e-09, 3.13452e-09, 6.08703e-07, 3.13449e-09, 3.13449e-09, 3.27222e-09
0.529144, 0, 8.76731e-07, 7.55665e-09, 1.41421, -8.76731e-07, 7.55665e-09, 7.557e-09, 7.55826e-09, 2.40492e-08, 7.88461e-09, 1.01674e-08, 8.35034e-09, 7.72949e-09, 8.41821e-09, 8.04877e-09, 7.66302e-09, 2.84321e-08, 1.87542e-08, 7.69941e-09, 7.63009e-09, 8.58486e-09, 7.58126e-09, 7.55672e-09, 8.21197e-07, 7.55665e-09, 7.55665e-09, 7.88889e-09
0.537027, 0, 1.22033e-06, 1.73419e-08, 1.41421, -1.22033e-06, 1.73419e-08, 1.73427e-08, 1.73456e-08, 5.52076e-08, 1.80949e-08, 2.33359e-08, 1.91642e-08, 1.77387e-08, 1.92885e-08, 1.84718e-08, 1.75861e-08, 6.52705e-08, 3.2506e-08, 1.76697e-08, 1.75105e-08, 1.89422e-08, 1.74025e-08, 1.73421e-08, 1.10416e-06, 1.73419e-08, 1.73419e-08, 1.81047e-08
