   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_227.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.341622, 0, 9.94782e-10, 1.48124e-39, 1.41421, -9.94782e-10, 0, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 1.48124e-39, 5.09898e-12, 1.48124e-39, 1.48124e-39, 2.43322e-14, 1.48124e-39, 1.48124e-39, 9.89659e-10, 1.48124e-39, 1.48124e-39, 1.48124e-39
0.349489, 0, 1.55336e-09, 1.66694e-38, 1.41421, -1.55336e-09, 0, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 1.66694e-38, 7.96612e-12, 1.66694e-38, 1.66694e-38, 3.99207e-14, 1.66694e-38, 1.66694e-38, 1.54535e-09, 1.66694e-38, 1.66694e-38, 1.66694e-38
0.357357, 0, 2.40759e-09, 6.55633e-37, 1.41421, -2.40759e-09, 0, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 6.55633e-37, 1.23549e-11, 6.55633e-37, 6.55633e-37, 6.54111e-14, 6.55633e-37, 6.55633e-37, 2.39517e-09, 6.55633e-37, 6.55633e-37, 6.55633e-37
0.365224, 0, 3.70319e-09, 5.55987e-36, 1.41421, -3.70319e-09, 0, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 5.55987e-36, 1.9018e-11, 5.55987e-36, 5.55987e-36, 1.06711e-13, 5.55987e-36, 5.55987e-36, 3.68407e-09, 5.55987e-36, 5.55987e-36, 5.55987e-36
0.373091, 0, 5.65365e-09, 4.33e-35, 1.41421, -5.65365e-09, 0, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 4.33e-35, 2.90618e-11, 4.33e-35, 4.33e-35, 1.73726e-13, 4.33e-35, 4.33e-35, 5.62441e-09, 4.33e-35, 4.33e-35, 4.33e-35
0.380958, 0, 8.5676e-09, 3.11028e-34, 1.41421, -8.5676e-09, 0, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 3.11028e-34, 4.40904e-11, 3.11028e-34, 3.11028e-34, 2.82376e-13, 3.11028e-34, 3.11028e-34, 8.52323e-09, 3.11028e-34, 3.11028e-34, 3.11028e-34
0.388825, 0, 1.2888e-08, 2.13253e-33, 1.41421, -1.2888e-08, 0, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 2.13253e-33, 6.64143e-11, 2.13253e-33, 2.13253e-33, 4.58437e-13, 2.13253e-33, 2.13253e-33, 1.28212e-08, 2.13253e-33, 2.13253e-33, 2.13253e-33
0.396692, 0, 1.92457e-08, 1.20025e-32, 1.41421, -1.92457e-08, 0, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 1.20025e-32, 9.93378e-11, 1.20025e-32, 1.20025e-32, 7.43662e-13, 1.20025e-32, 1.20025e-32, 1.91456e-08, 1.20025e-32, 1.20025e-32, 1.20025e-32
0.404559, 0, 2.85313e-08, 6.93769e-32, 1.41421, -2.85313e-08, 0, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 6.93769e-32, 1.47551e-10, 6.93769e-32, 6.93769e-32, 1.20566e-12, 6.93769e-32, 6.93769e-32, 2.83825e-08, 6.93769e-32, 6.93769e-32, 6.93769e-32
0.412427, 0, 4.19926e-08, 3.56731e-31, 1.41421, -4.19926e-08, 0, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 3.56731e-31, 2.17666e-10, 3.56731e-31, 3.56731e-31, 1.95387e-12, 3.56731e-31, 3.56731e-31, 4.1773e-08, 3.56731e-31, 3.56731e-31, 3.56731e-31
