   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_860.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.524363, 0, 3.50511e-07, 5.29588e-11, 1.41421, -3.50511e-07, 5.29588e-11, 5.29942e-11, 6.67731e-11, 5.2982e-11, 6.69367e-11, 2.64104e-10, 9.51768e-10, 9.87585e-11, 7.9312e-11, 6.99575e-10, 3.05407e-09, 6.40047e-11, 5.34685e-11, 1.42527e-08, 5.87337e-11, 2.50046e-10, 3.31197e-07, 5.29588e-11, 9.5292e-11
0.532331, 0, 4.87e-07, 1.42046e-10, 1.41421, -4.87e-07, 1.42046e-10, 1.42141e-10, 1.79272e-10, 1.42108e-10, 1.79712e-10, 7.11032e-10, 2.56412e-09, 2.65465e-10, 2.13061e-10, 1.88452e-09, 4.31381e-09, 1.71812e-10, 1.43419e-10, 2.29939e-08, 1.62262e-10, 4.58475e-10, 4.54492e-07, 1.42046e-10, 2.56123e-10
0.540298, 0, 6.75222e-07, 3.49283e-10, 1.41421, -6.75222e-07, 3.49283e-10, 3.49518e-10, 4.40967e-10, 3.49437e-10, 4.42053e-10, 1.75064e-09, 6.31459e-09, 6.53252e-10, 5.24187e-10, 4.64081e-09, 6.11566e-09, 4.22594e-10, 3.52666e-10, 3.68768e-08, 4.05624e-10, 8.53783e-10, 6.19688e-07, 3.49283e-10, 6.30244e-10
0.548265, 0, 9.3645e-07, 8.19482e-10, 1.41421, -9.3645e-07, 8.19482e-10, 8.20034e-10, 1.03469e-09, 8.19843e-10, 1.03724e-09, 4.10887e-09, 1.48218e-08, 1.53299e-09, 1.23003e-09, 1.0893e-08, 8.74573e-09, 9.91563e-10, 8.27423e-10, 5.87984e-08, 9.61822e-10, 1.61781e-09, 8.39842e-07, 8.19482e-10, 1.47898e-09
0.556233, 0, 1.30333e-06, 1.85974e-09, 1.41421, -1.30333e-06, 1.85974e-09, 1.86099e-09, 2.34822e-09, 1.86056e-09, 2.354e-09, 9.32591e-09, 3.36419e-08, 3.47923e-09, 2.7916e-09, 2.47243e-08, 1.2695e-08, 2.25033e-09, 1.87777e-09, 9.32258e-08, 2.19977e-09, 3.11486e-09, 1.13198e-06, 1.85974e-09, 3.35665e-09
0.5642, 0, 1.82808e-06, 4.10418e-09, 1.41421, -1.82808e-06, 4.10418e-09, 4.10694e-09, 5.18232e-09, 4.10599e-09, 5.19508e-09, 2.0583e-08, 7.42517e-08, 7.67862e-09, 6.16091e-09, 5.45693e-08, 1.88357e-08, 4.96625e-09, 4.14396e-09, 1.47026e-07, 4.88565e-09, 6.05922e-09, 1.51858e-06, 4.10418e-09, 7.40807e-09
0.572167, 0, 2.5973e-06, 8.82724e-09, 1.41421, -2.5973e-06, 8.82724e-09, 8.83318e-09, 1.11465e-08, 8.83113e-09, 1.11739e-08, 4.42756e-08, 1.59724e-07, 1.65164e-08, 1.32516e-08, 1.17385e-07, 2.8748e-08, 1.06817e-08, 8.91281e-09, 2.30729e-07, 1.05688e-08, 1.18464e-08, 2.02998e-06, 8.82724e-09, 1.59344e-08
0.580134, 0, 3.75852e-06, 1.85224e-08, 1.41421, -3.75852e-06, 1.85224e-08, 1.85348e-08, 2.33898e-08, 1.85305e-08, 2.34474e-08, 9.29187e-08, 3.35214e-07, 3.46597e-08, 2.78078e-08, 2.46355e-07, 4.5317e-08, 2.24143e-08, 1.8702e-08, 3.60467e-07, 2.23001e-08, 2.31445e-08, 2.70823e-06, 1.85224e-08, 3.34383e-08
0.588102, 0, 5.56676e-06, 3.7936e-08, 1.41421, -5.56676e-06, 3.7936e-08, 3.79616e-08, 4.79072e-08, 3.79528e-08, 4.80252e-08, 1.9034e-07, 6.86692e-07, 7.09941e-08, 5.69577e-08, 5.0466e-07, 7.37869e-08, 4.59089e-08, 3.8304e-08, 5.61225e-07, 4.59272e-08, 4.49507e-08, 3.61365e-06, 3.7936e-08, 6.84919e-08
0.596069, 0, 8.46302e-06, 7.58608e-08, 1.41421, -8.46302e-06, 7.58608e-08, 7.59119e-08, 9.5804e-08, 7.58942e-08, 9.60401e-08, 3.80684e-07, 1.37344e-06, 1.4198e-07, 1.13906e-07, 1.00936e-06, 1.23582e-07, 9.18073e-08, 7.65967e-08, 8.70408e-07, 9.2362e-08, 8.64148e-08, 4.83563e-06, 7.58608e-08, 1.36976e-07
