   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_237.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.612217, 0, 0.00934786, 0.00720127, 1.41421, -0.00934786, 0.00724478, 0.00720127, 0.00720137, 0.0072016, 0.00720197, 0.00721978, 0.00720185, 0.00726756, 0.00720744, 0.00720323, 0.00720129, 0.00720546, 0.0072427, 0.00885168, 0.00720127, 0.00751363
0.620244, 0, 0.0140126, 0.0109927, 1.41421, -0.0140126, 0.0110592, 0.0109927, 0.0109929, 0.0109933, 0.0109938, 0.011021, 0.0109936, 0.011094, 0.0110004, 0.0109957, 0.0109928, 0.0109984, 0.0110475, 0.0132656, 0.0109927, 0.01147
0.628272, 0.988399, 0.0207729, 0.0165124, 1.7287, 0.967626, 0.0166123, 0.0165124, 0.0165126, 0.0165131, 0.016514, 0.0165549, 0.0165137, 0.0166646, 0.0165218, 0.0165169, 0.0165124, 0.01652, 0.0165846, 0.019663, 0.0165124, 0.0172299
0.6363, 0.0116014, 0.0304231, 0.0244112, 1.41831, -0.0188216, 0.0245591, 0.0244112, 0.0244115, 0.0244123, 0.0244136, 0.0244741, 0.0244132, 0.0246365, 0.0244228, 0.0244179, 0.0244113, 0.0244215, 0.0245062, 0.0287959, 0.0244112, 0.0254729
0.644328, 0, 0.0439871, 0.0355231, 1.41421, -0.0439871, 0.0357385, 0.0355231, 0.0355236, 0.0355247, 0.0355266, 0.0356147, 0.035526, 0.0358513, 0.0355373, 0.0355328, 0.0355232, 0.0355369, 0.0356477, 0.0416343, 0.0355231, 0.0370697
0.652356, 0, 0.0627572, 0.0508916, 1.41421, -0.0627572, 0.0512005, 0.0508916, 0.0508923, 0.0508939, 0.0508966, 0.051023, 0.0508957, 0.0513622, 0.050909, 0.0509055, 0.0508917, 0.0509101, 0.0510548, 0.0594027, 0.0508916, 0.0531097
0.660384, 0, 0.0883286, 0.0717908, 1.41421, -0.0883286, 0.072227, 0.0717908, 0.0717918, 0.0717941, 0.0717979, 0.0719763, 0.0717966, 0.0724555, 0.0718121, 0.0718104, 0.071791, 0.0718154, 0.0720038, 0.0836132, 0.0717908, 0.0749236
0.668411, 0, 0.122625, 0.0997362, 1.41421, -0.122625, 0.100343, 0.0997362, 0.0997375, 0.0997408, 0.099746, 0.0999942, 0.0997443, 0.100661, 0.0997622, 0.0997635, 0.0997365, 0.0997689, 0.100013, 0.11609, 0.0997362, 0.104094
0.676439, 0, 0.167916, 0.136482, 1.41421, -0.167916, 0.137314, 0.136482, 0.136484, 0.136489, 0.136496, 0.136836, 0.136493, 0.137749, 0.136514, 0.13652, 0.136483, 0.136526, 0.136841, 0.158987, 0.136482, 0.142454
0.684467, 0.971515, 0.226814, 0.184001, 1.72381, 0.744701, 0.185123, 0.184001, 0.184004, 0.18401, 0.184019, 0.184479, 0.184016, 0.185711, 0.18404, 0.184052, 0.184002, 0.184058, 0.184464, 0.214787, 0.184001, 0.192065
0.692495, 0.0284847, 0.302257, 0.244438, 1.42425, -0.273773, 0.245931, 0.244438, 0.244441, 0.244449, 0.244462, 0.245073, 0.244458, 0.246713, 0.244484, 0.244505, 0.244438, 0.244513, 0.24503, 0.286282, 0.244438, 0.25517
0.700523, 0, 0.397471, 0.320042, 1.41421, -0.397471, 0.322, 0.320042, 0.320047, 0.320057, 0.320074, 0.320875, 0.320069, 0.323025, 0.320098, 0.32013, 0.320043, 0.320141, 0.320795, 0.376545, 0.320042, 0.334121
