   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_581.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.479593, 0, 1.64388e-06, 6.41055e-11, 1.41421, -1.64388e-06, 1.27045e-10, 6.41055e-11, 6.41286e-11, 1.31529e-10, 6.60976e-10, 8.8215e-11, 5.05191e-10, 1.4412e-10, 8.77315e-11, 1.13434e-10, 3.72922e-10, 1.0609e-10, 5.45676e-10, 8.29177e-11, 6.47698e-11, 1.25489e-10, 6.55775e-11, 1.35329e-06, 6.41064e-11, 2.88402e-07, 6.41055e-11, 6.41055e-11, 6.4697e-11
0.487453, 0, 2.43231e-06, 2.06079e-10, 1.41421, -2.43231e-06, 3.65571e-10, 2.06079e-10, 2.06138e-10, 3.76934e-10, 1.71858e-09, 2.67174e-10, 1.32382e-09, 4.0884e-10, 2.65949e-10, 3.26762e-10, 9.88637e-10, 3.1247e-10, 1.42641e-09, 2.5375e-10, 2.07763e-10, 3.00315e-10, 2.11177e-10, 2.04412e-06, 2.06081e-10, 3.82738e-07, 2.06079e-10, 2.06079e-10, 2.07578e-10
0.495313, 0, 3.58965e-06, 5.15872e-10, 1.41421, -3.58965e-06, 8.84169e-10, 5.15872e-10, 5.16007e-10, 9.10409e-10, 4.00854e-09, 6.56952e-10, 3.09695e-09, 9.84086e-10, 6.54123e-10, 7.89327e-10, 2.32295e-09, 7.61549e-10, 3.33385e-09, 6.25954e-10, 5.19759e-10, 6.5987e-10, 5.29502e-10, 3.07182e-06, 5.15877e-10, 5.05344e-07, 5.15872e-10, 5.15872e-10, 5.19333e-10
0.503173, 0, 5.28261e-06, 1.18254e-09, 1.41421, -5.28261e-06, 1.99301e-09, 1.18254e-09, 1.18284e-09, 2.05076e-09, 8.86847e-09, 1.493e-09, 6.86242e-09, 2.21289e-09, 1.48678e-09, 1.77617e-09, 5.15918e-09, 1.72318e-09, 7.38375e-09, 1.42479e-09, 1.1911e-09, 1.40148e-09, 1.21524e-09, 4.59132e-06, 1.18255e-09, 6.63953e-07, 1.18254e-09, 1.18254e-09, 1.19016e-09
0.511034, 0, 7.7536e-06, 2.59046e-09, 1.41421, -7.7536e-06, 4.31832e-09, 2.59046e-09, 2.59109e-09, 4.44142e-09, 1.89763e-08, 3.25233e-09, 1.46995e-08, 4.78708e-09, 3.23906e-09, 3.84242e-09, 1.10683e-08, 3.74305e-09, 1.5811e-08, 3.1069e-09, 2.60869e-09, 2.92157e-09, 2.66434e-09, 6.82716e-06, 2.59048e-09, 8.68388e-07, 2.59046e-09, 2.59046e-09, 2.60669e-09
0.518894, 0, 1.13413e-05, 5.50471e-09, 1.41421, -1.13413e-05, 9.09775e-09, 5.50471e-09, 5.50602e-09, 9.35374e-09, 3.95787e-08, 6.88106e-09, 3.06853e-08, 1.00725e-08, 6.85346e-09, 8.32274e-09, 2.31343e-08, 7.90149e-09, 3.29964e-08, 6.57865e-09, 5.54263e-09, 6.0027e-09, 5.66519e-09, 1.00895e-05, 5.50475e-09, 1.13119e-06, 5.50471e-09, 5.50471e-09, 5.53847e-09
0.526754, 0, 1.65293e-05, 1.14166e-08, 1.41421, -1.65293e-05, 1.87264e-08, 1.14166e-08, 1.14192e-08, 1.92472e-08, 8.07378e-08, 1.42167e-08, 6.26448e-08, 2.07095e-08, 1.41605e-08, 1.81205e-08, 4.72828e-08, 1.62927e-08, 6.73468e-08, 1.36014e-08, 1.14937e-08, 1.21612e-08, 1.1755e-08, 1.48148e-05, 1.14166e-08, 1.46862e-06, 1.14166e-08, 1.14166e-08, 1.14852e-08
0.534615, 0, 2.40089e-05, 2.31716e-08, 1.41421, -2.40089e-05, 3.77416e-08, 2.31716e-08, 2.31769e-08, 3.87796e-08, 1.61343e-07, 2.87528e-08, 1.2528e-07, 4.16943e-08, 2.86409e-08, 3.96103e-08, 9.46604e-08, 3.28907e-08, 1.34652e-07, 2.75265e-08, 2.33254e-08, 2.42784e-08, 2.38682e-08, 2.16142e-05, 2.31718e-08, 1.90224e-06, 2.31716e-08, 2.31716e-08, 2.33085e-08
0.542475, 0, 3.47574e-05, 4.60827e-08, 1.41421, -3.47574e-05, 7.45547e-08, 4.60827e-08, 4.60931e-08, 7.65832e-08, 3.16091e-07, 5.69892e-08, 2.45618e-07, 8.2279e-08, 5.67705e-08, 8.24771e-08, 1.85783e-07, 6.50753e-08, 2.63933e-07, 5.45928e-08, 4.63832e-08, 4.77186e-08, 4.74855e-08, 3.13307e-05, 4.60831e-08, 2.46138e-06, 4.60827e-08, 4.60827e-08, 4.63502e-08
0.550335, 0, 5.01636e-05, 8.98575e-08, 1.41421, -5.01636e-05, 1.44427e-07, 8.98575e-08, 8.98775e-08, 1.48315e-07, 6.0736e-07, 1.10761e-07, 4.7229e-07, 1.59232e-07, 1.10342e-07, 1.66353e-07, 3.57609e-07, 1.26259e-07, 5.07392e-07, 1.06168e-07, 9.04335e-08, 9.22598e-08, 9.26256e-08, 4.51218e-05, 8.98582e-08, 3.18724e-06, 8.98575e-08, 8.98575e-08, 9.03703e-08
