   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_121.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.42379, 0, 6.5039e-08, 2.32935e-28, 1.41421, -6.5039e-08, 2.32935e-28, 0, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 2.32935e-28, 3.08224e-10, 2.32935e-28, 2.32935e-28, 6.23979e-12, 6.77063e-09, 2.32935e-28, 5.79539e-08, 2.32935e-28, 2.32935e-28, 2.32935e-28
0.431662, 0, 8.96725e-08, 9.79834e-28, 1.41421, -8.96725e-08, 9.79834e-28, 0, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 9.79834e-28, 4.22446e-10, 9.79834e-28, 9.79834e-28, 9.64295e-12, 1.03122e-08, 9.79834e-28, 7.89281e-08, 9.79834e-28, 9.79834e-28, 9.79834e-28
0.439533, 0, 1.2316e-07, 3.91671e-27, 1.41421, -1.2316e-07, 3.91671e-27, 0, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 3.91671e-27, 5.76247e-10, 3.91671e-27, 3.91671e-27, 1.48747e-11, 1.56659e-08, 3.91671e-27, 1.06903e-07, 3.91671e-27, 3.91671e-27, 3.91671e-27
0.447405, 0, 1.68541e-07, 1.49164e-26, 1.41421, -1.68541e-07, 1.49164e-26, 0, 1.49164e-26, 1.49164e-26, 1.49164e-26, 1.49164e-26, 1.49164e-26, 1.55673e-13, 1.49164e-26, 1.49164e-26, 1.49164e-26, 7.82382e-10, 1.49164e-26, 1.49164e-26, 2.28924e-11, 2.37301e-08, 1.49164e-26, 1.44006e-07, 1.49164e-26, 1.49164e-26, 1.49164e-26
0.455277, 0, 2.29862e-07, 5.42612e-26, 1.41421, -2.29862e-07, 5.42612e-26, 0, 5.42612e-26, 5.42612e-26, 5.42612e-26, 5.42612e-26, 5.42612e-26, 4.9569e-13, 5.42612e-26, 5.42612e-26, 5.42612e-26, 1.05741e-09, 5.42612e-26, 5.42612e-26, 3.51362e-11, 3.58295e-08, 5.42612e-26, 1.9294e-07, 5.42612e-26, 5.42612e-26, 5.42612e-26
0.463148, 0, 3.12504e-07, 1.89494e-25, 1.41421, -3.12504e-07, 1.89494e-25, 0, 1.89494e-25, 1.89494e-25, 1.89494e-25, 1.89494e-25, 1.89494e-25, 1.22074e-12, 1.89494e-25, 1.89494e-25, 1.89494e-25, 1.42273e-09, 1.89494e-25, 1.89494e-25, 5.37586e-11, 5.39036e-08, 1.89494e-25, 2.57123e-07, 1.89494e-25, 1.89494e-25, 1.89494e-25
0.47102, 0, 4.25769e-07, 6.41994e-25, 1.41421, -4.25769e-07, 2.85487e-12, 0, 1.61263e-14, 4.89115e-14, 5.72336e-12, 3.63761e-13, 1.53252e-13, 1.01297e-11, 1.19227e-11, 1.27382e-12, 2.05241e-09, 1.90591e-09, 4.95593e-13, 8.41162e-14, 8.19586e-11, 8.07739e-08, 1.618e-15, 3.40898e-07, 6.41994e-25, 6.41994e-25, 2.33989e-11
0.478892, 0, 5.80191e-07, 6.90795e-10, 1.41421, -5.80191e-07, 6.9985e-10, 6.90795e-10, 6.90847e-10, 6.90951e-10, 7.08947e-10, 6.91949e-10, 6.91281e-10, 7.20081e-10, 7.28608e-10, 6.94835e-10, 7.19991e-09, 3.23298e-09, 6.92367e-10, 6.91062e-10, 8.15266e-10, 1.21206e-07, 6.90801e-10, 4.50324e-07, 6.90795e-10, 6.90795e-10, 7.65004e-10
0.486763, 0, 7.92565e-07, 2.49099e-09, 1.41421, -7.92565e-07, 2.51456e-09, 2.49099e-09, 2.49112e-09, 2.49139e-09, 2.53824e-09, 2.49399e-09, 2.49225e-09, 2.56417e-09, 2.58942e-09, 2.50151e-09, 1.94345e-08, 5.86753e-09, 2.49508e-09, 2.49168e-09, 2.67925e-09, 1.81466e-07, 2.491e-09, 5.92626e-07, 2.49099e-09, 2.49099e-09, 2.68416e-09
0.494635, 0, 1.08318e-06, 5.64112e-09, 1.41421, -1.08318e-06, 5.69213e-09, 5.64112e-09, 5.64141e-09, 5.642e-09, 5.74337e-09, 5.64762e-09, 5.64386e-09, 5.79756e-09, 5.85413e-09, 5.66388e-09, 4.23088e-08, 1.0107e-08, 5.64998e-09, 5.64262e-09, 5.92449e-09, 2.70098e-07, 5.64115e-09, 7.76327e-07, 5.64112e-09, 5.64112e-09, 6.05916e-09
0.502507, 0, 1.48807e-06, 1.21862e-08, 1.41421, -1.48807e-06, 1.22932e-08, 1.21862e-08, 1.21868e-08, 1.2188e-08, 1.24007e-08, 1.21998e-08, 1.21919e-08, 1.25112e-08, 1.2633e-08, 1.22339e-08, 8.91155e-08, 1.80685e-08, 1.22047e-08, 1.21893e-08, 1.26106e-08, 4.01064e-07, 1.21862e-08, 1.01389e-06, 1.21862e-08, 1.21862e-08, 1.30632e-08
0.510378, 0, 2.0605e-06, 2.55307e-08, 1.41421, -2.0605e-06, 2.57499e-08, 2.55307e-08, 2.5532e-08, 2.55345e-08, 2.59701e-08, 2.55587e-08, 2.55425e-08, 2.6257e-08, 2.64461e-08, 2.56285e-08, 1.83103e-07, 3.32472e-08, 2.55688e-08, 2.55372e-08, 2.61632e-08, 5.94161e-07, 2.55309e-08, 1.32166e-06, 2.55307e-08, 2.55307e-08, 2.73272e-08
0.51825, 0, 2.88472e-06, 5.22291e-08, 1.41421, -2.88472e-06, 5.26687e-08, 5.22291e-08, 5.22316e-08, 5.22366e-08, 5.31105e-08, 5.22851e-08, 5.22527e-08, 5.39546e-08, 5.40652e-08, 5.24253e-08, 3.68308e-07, 6.23104e-08, 5.23054e-08, 5.2242e-08, 5.31664e-08, 8.78703e-07, 5.22293e-08, 1.72229e-06, 5.22291e-08, 5.22291e-08, 5.58326e-08
0.526122, 0, 4.09708e-06, 1.04653e-07, 1.41421, -4.09708e-06, 1.05518e-07, 1.04653e-07, 1.04658e-07, 1.04668e-07, 1.06387e-07, 1.04763e-07, 1.04699e-07, 1.08888e-07, 1.08265e-07, 1.05039e-07, 7.26494e-07, 1.17771e-07, 1.04803e-07, 1.04678e-07, 1.06034e-07, 1.29869e-06, 1.04653e-07, 2.24843e-06, 1.04653e-07, 1.04653e-07, 1.11742e-07
0.533993, 0, 5.91951e-06, 2.05677e-07, 1.41421, -5.91951e-06, 2.07347e-07, 2.05677e-07, 2.05687e-07, 2.05706e-07, 2.09025e-07, 2.0589e-07, 2.05767e-07, 2.14997e-07, 2.12652e-07, 2.06422e-07, 1.4064e-06, 2.22679e-07, 2.05967e-07, 2.05726e-07, 2.07703e-07, 1.92022e-06, 2.05678e-07, 2.94879e-06, 2.05677e-07, 2.05677e-07, 2.19366e-07
0.541865, 0, 8.71714e-06, 3.96752e-07, 1.41421, -8.71714e-06, 3.99918e-07, 3.96752e-07, 3.9677e-07, 3.96806e-07, 4.031e-07, 3.97155e-07, 3.96922e-07, 4.16173e-07, 4.09976e-07, 3.98165e-07, 2.67318e-06, 4.187e-07, 3.97301e-07, 3.96845e-07, 3.99703e-07, 2.84346e-06, 3.96753e-07, 3.89829e-06, 3.96752e-07, 3.96752e-07, 4.22705e-07
0.549736, 0, 1.30906e-05, 7.51459e-07, 1.41421, -1.30906e-05, 7.57354e-07, 7.51459e-07, 7.51492e-07, 7.5156e-07, 7.63278e-07, 7.5221e-07, 7.51775e-07, 7.9071e-07, 7.76081e-07, 7.54089e-07, 4.98992e-06, 7.79681e-07, 7.52482e-07, 7.51633e-07, 7.55735e-07, 4.22136e-06, 7.51462e-07, 5.2148e-06, 7.51459e-07, 7.51459e-07, 7.9978e-07
0.557608, 0, 2.00227e-05, 1.39778e-06, 1.41421, -2.00227e-05, 1.40856e-06, 1.39778e-06, 1.39784e-06, 1.39796e-06, 1.41939e-06, 1.39915e-06, 1.39836e-06, 1.47468e-06, 1.4428e-06, 1.40259e-06, 9.14904e-06, 1.43393e-06, 1.39965e-06, 1.39809e-06, 1.40394e-06, 6.28854e-06, 1.39778e-06, 7.08648e-06, 1.39778e-06, 1.39778e-06, 1.48615e-06
0.56548, 0, 3.11099e-05, 2.55374e-06, 1.41421, -3.11099e-05, 2.57311e-06, 2.55374e-06, 2.55385e-06, 2.55407e-06, 2.59257e-06, 2.55621e-06, 2.55478e-06, 2.70232e-06, 2.63463e-06, 2.56238e-06, 1.64787e-05, 2.59988e-06, 2.5571e-06, 2.55431e-06, 2.56256e-06, 9.40583e-06, 2.55375e-06, 9.81492e-06, 2.55374e-06, 2.55374e-06, 2.7125e-06
0.573351, 0, 4.89126e-05, 4.58322e-06, 1.41421, -4.89126e-05, 4.6174e-06, 4.58322e-06, 4.58341e-06, 4.5838e-06, 4.65175e-06, 4.58757e-06, 4.58505e-06, 4.86627e-06, 4.72599e-06, 4.59847e-06, 2.91596e-05, 4.64188e-06, 4.58915e-06, 4.58423e-06, 4.59578e-06, 1.41276e-05, 4.58324e-06, 1.38828e-05, 4.58322e-06, 4.58322e-06, 4.86341e-06
