   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_164.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.480398, 0, 5.51501e-11, 6.53265e-35, 1.41421, -5.51501e-11, 0, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 6.53265e-35, 9.1509e-13, 6.53265e-35, 2.01785e-15, 1.33793e-14, 6.53265e-35, 5.42196e-11, 6.53265e-35, 6.53265e-35
0.487968, 0, 1.05256e-10, 4.31835e-34, 1.41421, -1.05256e-10, 0, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 4.31835e-34, 1.74704e-12, 4.31835e-34, 4.06554e-15, 2.62063e-14, 4.31835e-34, 1.03478e-10, 4.31835e-34, 4.31835e-34
0.495538, 0, 1.9788e-10, 2.81566e-33, 1.41421, -1.9788e-10, 0, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 2.81566e-33, 3.28606e-12, 2.81566e-33, 8.14887e-15, 5.07162e-14, 2.81566e-33, 1.94535e-10, 2.81566e-33, 2.81566e-33
0.503108, 0, 3.66492e-10, 1.76035e-32, 1.41421, -3.66492e-10, 0, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 1.76035e-32, 6.09062e-12, 1.76035e-32, 1.62749e-14, 9.70771e-14, 1.76035e-32, 3.60288e-10, 1.76035e-32, 1.76035e-32
0.510678, 0, 6.68772e-10, 1.04263e-31, 1.41421, -6.68772e-10, 0, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.04263e-31, 1.1126e-11, 1.04263e-31, 3.24341e-14, 1.84032e-13, 1.04263e-31, 6.5743e-10, 1.04263e-31, 1.04263e-31
0.518247, 0, 1.20253e-09, 5.82972e-31, 1.41421, -1.20253e-09, 0, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 5.82972e-31, 2.00351e-11, 5.82972e-31, 6.45702e-14, 3.46088e-13, 5.82972e-31, 1.18208e-09, 5.82972e-31, 5.82972e-31
0.525817, 0, 2.13093e-09, 3.07822e-30, 1.41421, -2.13093e-09, 0, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.07822e-30, 3.55733e-11, 3.07822e-30, 1.28498e-13, 6.4691e-13, 3.07822e-30, 2.09459e-09, 3.07822e-30, 3.07822e-30
0.533387, 0, 3.72185e-09, 1.53773e-29, 1.41421, -3.72185e-09, 0, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 1.53773e-29, 6.22941e-11, 1.53773e-29, 2.55651e-13, 1.20459e-12, 1.53773e-29, 3.6581e-09, 1.53773e-29, 1.53773e-29
0.540957, 0, 6.40806e-09, 7.2855e-29, 1.41421, -6.40806e-09, 0, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 7.2855e-29, 1.07618e-10, 7.2855e-29, 5.08249e-13, 2.23995e-12, 7.2855e-29, 6.2977e-09, 7.2855e-29, 7.2855e-29
0.548527, 0, 1.08777e-08, 3.28247e-28, 1.41421, -1.08777e-08, 0, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 3.28247e-28, 1.8347e-10, 3.28247e-28, 1.00863e-12, 4.16962e-12, 3.28247e-28, 1.0689e-08, 3.28247e-28, 3.28247e-28
