   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_46.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.380798, 0, 4.61897e-15, 0, 1.41421, -4.61897e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.53997e-17, 0, 0, 3.46948e-20, 0, 4.57354e-15, 0, 0, 0
0.388679, 0, 1.12059e-14, 0, 1.41421, -1.12059e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1014e-16, 0, 0, 8.48012e-20, 0, 1.10957e-14, 0, 0, 0
0.39656, 0, 2.66932e-14, 0, 1.41421, -2.66932e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6235e-16, 0, 0, 2.03646e-19, 0, 2.64306e-14, 0, 0, 0
0.404441, 0, 6.24454e-14, 0, 1.41421, -6.24454e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.13712e-16, 0, 0, 4.80649e-19, 0, 6.18312e-14, 0, 0, 0
0.412322, 0, 1.43496e-13, 5.32493e-44, 1.41421, -1.43496e-13, 0, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 5.32493e-44, 1.41021e-15, 5.32493e-44, 5.32493e-44, 1.11536e-18, 5.32493e-44, 1.42084e-13, 5.32493e-44, 5.32493e-44, 5.32493e-44
0.420203, 0, 3.23965e-13, 1.00613e-42, 1.41421, -3.23965e-13, 0, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 1.00613e-42, 3.18367e-15, 1.00613e-42, 1.00613e-42, 2.54565e-18, 1.00613e-42, 3.20779e-13, 1.00613e-42, 1.00613e-42, 1.00613e-42
0.428084, 0, 7.18708e-13, 1.48944e-41, 1.41421, -7.18708e-13, 0, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 1.48944e-41, 7.06264e-15, 1.48944e-41, 1.48944e-41, 5.71705e-18, 1.48944e-41, 7.1164e-13, 1.48944e-41, 1.48944e-41, 1.48944e-41
0.435964, 0, 1.56699e-12, 1.93019e-40, 1.41421, -1.56699e-12, 0, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.93019e-40, 1.53982e-14, 1.93019e-40, 1.93019e-40, 1.26401e-17, 1.93019e-40, 1.55157e-12, 1.93019e-40, 1.93019e-40, 1.93019e-40
0.443845, 0, 3.35816e-12, 2.24181e-39, 1.41421, -3.35816e-12, 0, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 2.24181e-39, 3.29994e-14, 2.24181e-39, 2.24181e-39, 2.75298e-17, 2.24181e-39, 3.32514e-12, 2.24181e-39, 2.24181e-39, 2.24181e-39
0.451726, 0, 7.07485e-12, 2.35385e-38, 1.41421, -7.07485e-12, 0, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 2.35385e-38, 6.95242e-14, 2.35385e-38, 2.35385e-38, 5.91083e-17, 2.35385e-38, 7.00526e-12, 2.35385e-38, 2.35385e-38, 2.35385e-38
0.459607, 0, 1.46544e-11, 2.24844e-37, 1.41421, -1.46544e-11, 0, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 2.24844e-37, 1.44021e-13, 2.24844e-37, 2.24844e-37, 1.25223e-16, 2.24844e-37, 1.45102e-11, 2.24844e-37, 2.24844e-37, 2.24844e-37
0.467488, 0, 2.98472e-11, 1.96478e-36, 1.41421, -2.98472e-11, 0, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 1.96478e-36, 2.93382e-13, 1.96478e-36, 1.96478e-36, 2.62057e-16, 1.96478e-36, 2.95535e-11, 1.96478e-36, 1.96478e-36, 1.96478e-36
0.475369, 0, 5.97825e-11, 1.57872e-35, 1.41421, -5.97825e-11, 0, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 1.57872e-35, 5.87794e-13, 1.57872e-35, 1.57872e-35, 5.42442e-16, 1.57872e-35, 5.91942e-11, 1.57872e-35, 1.57872e-35, 1.57872e-35
0.48325, 0, 1.1777e-10, 1.17205e-34, 1.41421, -1.1777e-10, 0, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.17205e-34, 1.15844e-12, 1.17205e-34, 1.17205e-34, 1.11235e-15, 1.17205e-34, 1.1661e-10, 1.17205e-34, 1.17205e-34, 1.17205e-34
0.491131, 0, 2.28208e-10, 8.31468e-34, 1.41421, -2.28208e-10, 0, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 8.31468e-34, 2.2462e-12, 8.31468e-34, 8.31468e-34, 2.26374e-15, 8.31468e-34, 2.25959e-10, 8.31468e-34, 8.31468e-34, 8.31468e-34
0.499012, 0, 4.35023e-10, 5.71171e-33, 1.41421, -4.35023e-10, 0, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 5.71171e-33, 4.28577e-12, 5.71171e-33, 5.71171e-33, 4.58074e-15, 5.71171e-33, 4.30733e-10, 5.71171e-33, 5.71171e-33, 5.71171e-33
0.506893, 0, 8.15911e-10, 3.7207e-32, 1.41421, -8.15911e-10, 0, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 3.7207e-32, 8.04852e-12, 3.7207e-32, 3.7207e-32, 9.23474e-15, 3.7207e-32, 8.07853e-10, 3.7207e-32, 3.7207e-32, 3.7207e-32
