   PIQUANT 0.0.0-main  ps__0573_0717843531_000rbs__02900001995576371687___j04.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.41328, 1.63408, 0.000168075, 1.33691e-26, 1.90633, 1.63391, 1.33691e-26, 0, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 1.33691e-26, 2.05796e-09, 1.33691e-26, 1.33691e-26, 7.44332e-09, 1.33691e-26, 5.9265e-07, 1.33691e-26, 0.000167473, 1.33691e-26, 1.33691e-26, 1.33691e-26
0.421142, 3.35628, 0.000235153, 6.26731e-26, 2.31436, 3.35605, 6.26731e-26, 0, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 6.26731e-26, 2.89099e-09, 6.26731e-26, 6.26731e-26, 1.1708e-08, 6.26731e-26, 9.25738e-07, 6.26731e-26, 0.000234213, 6.26731e-26, 6.26731e-26, 6.26731e-26
0.429005, 1.6389, 0.000326999, 2.82464e-25, 1.90759, 1.63857, 2.82464e-25, 0, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 2.82464e-25, 4.0387e-09, 2.82464e-25, 2.82464e-25, 1.84014e-08, 2.82464e-25, 1.44331e-06, 2.82464e-25, 0.000325533, 2.82464e-25, 2.82464e-25, 2.82464e-25
0.436867, 0.643718, 0.00045198, 1.21498e-24, 1.62595, 0.643266, 1.21498e-24, 0, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 1.21498e-24, 5.61142e-09, 1.21498e-24, 1.21498e-24, 2.88864e-08, 1.21498e-24, 2.24547e-06, 1.21498e-24, 0.0004497, 1.21498e-24, 1.21498e-24, 1.21498e-24
0.444729, 0, 0.000621016, 4.97748e-24, 1.41421, -0.000621016, 4.97748e-24, 0, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 4.97748e-24, 7.75512e-09, 4.97748e-24, 4.97748e-24, 4.52708e-08, 4.97748e-24, 3.48494e-06, 4.97748e-24, 0.000617478, 4.97748e-24, 4.97748e-24, 4.97748e-24
0.452592, 0, 0.000848264, 1.94505e-23, 1.41421, -0.000848264, 1.94505e-23, 0, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.94505e-23, 1.0662e-08, 1.94505e-23, 1.94505e-23, 7.07978e-08, 1.94505e-23, 5.39343e-06, 1.94505e-23, 0.00084279, 1.94505e-23, 1.94505e-23, 1.94505e-23
0.460454, 1.34664, 0.00115197, 7.26101e-23, 1.82938, 1.34549, 7.26101e-23, 0, 7.26101e-23, 7.26101e-23, 7.26101e-23, 7.26101e-23, 7.26101e-23, 7.26101e-23, 7.26101e-23, 7.26101e-23, 8.21743e-09, 7.26101e-23, 7.26101e-23, 7.26101e-23, 1.45838e-08, 7.26101e-23, 7.26101e-23, 1.10429e-07, 7.26101e-23, 8.32034e-06, 7.26101e-23, 0.00114352, 7.26101e-23, 7.26101e-23, 7.26101e-23
0.468317, 3.99759, 0.00155549, 2.59453e-22, 2.449, 3.99603, 2.59453e-22, 0, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.59453e-22, 2.69668e-08, 2.59453e-22, 2.59453e-22, 2.59453e-22, 1.98487e-08, 2.59453e-22, 2.59453e-22, 1.71712e-07, 2.59453e-22, 1.27891e-05, 2.59453e-22, 0.00154248, 2.59453e-22, 2.59453e-22, 2.59453e-22
0.476179, 2.65577, 0.00209268, 8.98243e-22, 2.15772, 2.65368, 6.57026e-09, 0, 9.95581e-14, 8.47905e-11, 7.17576e-10, 7.72775e-07, 2.31242e-08, 9.82327e-08, 4.43078e-08, 2.98784e-07, 4.41929e-07, 7.49358e-07, 4.17696e-08, 1.29176e-06, 2.68829e-08, 1.27036e-08, 5.96527e-09, 2.66051e-07, 1.71007e-10, 1.95779e-05, 2.39974e-12, 0.0020689, 8.98243e-22, 8.98243e-22, 1.18556e-07
0.484042, 1.33941, 0.00280412, 1.86828e-06, 1.82741, 1.33661, 1.88975e-06, 1.86828e-06, 1.86828e-06, 1.86856e-06, 1.87063e-06, 4.39355e-06, 1.94385e-06, 2.18929e-06, 2.01307e-06, 2.84465e-06, 3.247e-06, 4.31703e-06, 2.00478e-06, 6.08947e-06, 1.90452e-06, 1.9098e-06, 1.88778e-06, 2.27887e-06, 1.87008e-06, 3.17032e-05, 1.86829e-06, 0.00276114, 1.86828e-06, 1.86828e-06, 2.2557e-06
0.491904, 8.99759, 0.00374378, 6.09256e-06, 3.31626, 8.99385, 6.14695e-06, 6.09256e-06, 6.09257e-06, 6.09327e-06, 6.0985e-06, 1.24896e-05, 6.28399e-06, 6.90574e-06, 6.45935e-06, 8.56591e-06, 9.53266e-06, 1.22958e-05, 6.43834e-06, 1.67858e-05, 6.14118e-06, 6.19773e-06, 6.14195e-06, 6.72343e-06, 6.09979e-06, 5.13329e-05, 6.09258e-06, 0.00366573, 6.09256e-06, 6.09256e-06, 7.07398e-06
