   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_140.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.437798, 0, 2.56207e-07, 2.57663e-26, 1.41421, -2.56207e-07, 2.57663e-26, 0, 2.57663e-26, 2.57663e-26, 2.57663e-26, 2.57663e-26, 1.91493e-14, 2.57663e-26, 2.57663e-26, 2.57663e-26, 6.1173e-10, 2.57663e-26, 2.42696e-11, 5.872e-08, 2.57663e-26, 1.96851e-07, 2.57663e-26, 2.57663e-26
0.445663, 0, 3.49269e-07, 9.08568e-26, 1.41421, -3.49269e-07, 9.08568e-26, 0, 9.08568e-26, 9.08568e-26, 9.08568e-26, 9.08568e-26, 6.07241e-14, 9.08568e-26, 9.08568e-26, 9.08568e-26, 8.18052e-10, 9.08568e-26, 3.68349e-11, 8.74284e-08, 9.08568e-26, 2.60985e-07, 9.08568e-26, 9.08568e-26
0.453528, 0, 4.76091e-07, 3.10895e-25, 1.41421, -4.76091e-07, 6.9315e-12, 0, 5.78926e-15, 2.33213e-14, 6.66857e-12, 8.17511e-12, 1.01538e-12, 5.11742e-12, 1.04527e-12, 8.96261e-10, 1.08934e-09, 2.11145e-14, 5.57296e-11, 1.29709e-07, 1.82048e-15, 3.44302e-07, 3.10895e-25, 9.74004e-12
0.461393, 0, 6.48546e-07, 4.10942e-10, 1.41421, -6.48546e-07, 4.32838e-10, 4.10942e-10, 4.1096e-10, 4.11015e-10, 4.32007e-10, 4.36766e-10, 4.14011e-10, 4.27107e-10, 4.14244e-10, 3.24213e-09, 1.8555e-09, 4.11009e-10, 4.94964e-10, 1.92101e-07, 4.10948e-10, 4.52374e-07, 4.10942e-10, 4.4171e-10
0.469258, 0, 8.8305e-07, 1.29941e-09, 1.41421, -8.8305e-07, 1.35291e-09, 1.29941e-09, 1.29946e-09, 1.29959e-09, 1.35089e-09, 1.36251e-09, 1.30681e-09, 1.33891e-09, 1.30748e-09, 8.21723e-09, 3.20717e-09, 1.29958e-09, 1.4256e-09, 2.83397e-07, 1.29943e-09, 5.91701e-07, 1.29941e-09, 1.37459e-09
0.477122, 0, 1.20282e-06, 3.17776e-09, 1.41421, -1.20282e-06, 3.29671e-09, 3.17776e-09, 3.17786e-09, 3.17816e-09, 3.29219e-09, 3.31804e-09, 3.19408e-09, 3.26558e-09, 3.1957e-09, 1.85571e-08, 5.68711e-09, 3.17813e-09, 3.36647e-09, 4.1644e-07, 3.1778e-09, 7.70815e-07, 3.17776e-09, 3.3449e-09
0.484987, 0, 1.64058e-06, 7.06903e-09, 1.41421, -1.64058e-06, 7.32093e-09, 7.06903e-09, 7.06924e-09, 7.06988e-09, 7.31138e-09, 7.36613e-09, 7.10343e-09, 7.25501e-09, 7.10702e-09, 3.96408e-08, 1.03565e-08, 7.0698e-09, 7.34995e-09, 6.0957e-07, 7.0691e-09, 1.00054e-06, 7.06903e-09, 7.423e-09
0.492852, 0, 2.24343e-06, 1.49762e-08, 1.41421, -2.24343e-06, 1.54933e-08, 1.49762e-08, 1.49766e-08, 1.49779e-08, 1.54737e-08, 1.55861e-08, 1.50465e-08, 1.5358e-08, 1.50542e-08, 8.18441e-08, 1.92662e-08, 1.49778e-08, 1.53924e-08, 8.88956e-07, 1.49763e-08, 1.29499e-06, 1.49762e-08, 1.57029e-08
0.500717, 0, 3.08105e-06, 3.07493e-08, 1.41421, -3.08105e-06, 3.17861e-08, 3.07493e-08, 3.07502e-08, 3.07528e-08, 3.17467e-08, 3.19721e-08, 3.09055e-08, 3.15147e-08, 3.09057e-08, 1.648e-07, 3.63259e-08, 3.07525e-08, 3.13628e-08, 1.29274e-06, 3.07496e-08, 1.67302e-06, 3.07493e-08, 3.22061e-08
0.508581, 0, 4.25442e-06, 6.16443e-08, 1.41421, -4.25442e-06, 6.36807e-08, 6.16443e-08, 6.1646e-08, 6.16511e-08, 6.36034e-08, 6.4046e-08, 6.19689e-08, 6.31477e-08, 6.19514e-08, 3.24957e-07, 6.88652e-08, 6.16505e-08, 6.25438e-08, 1.87274e-06, 6.16448e-08, 2.16048e-06, 6.16443e-08, 6.45058e-08
