   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_231.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.527673, 0, 1.38915e-07, 5.53041e-28, 1.41421, -1.38915e-07, 5.53041e-28, 0, 5.53041e-28, 5.53041e-28, 5.53041e-28, 5.53041e-28, 5.53041e-28, 5.53041e-28, 5.53041e-28, 5.4376e-10, 5.53041e-28, 1.19709e-12, 5.27123e-11, 5.53041e-28, 1.38317e-07, 5.53041e-28, 5.53041e-28
0.53589, 0, 2.40316e-07, 2.80832e-27, 1.41421, -2.40316e-07, 2.80832e-27, 0, 2.80832e-27, 2.80832e-27, 2.80832e-27, 2.80832e-27, 2.80832e-27, 2.80832e-27, 2.80832e-27, 9.45989e-10, 2.80832e-27, 2.41803e-12, 1.00649e-10, 2.80832e-27, 2.39267e-07, 2.80832e-27, 2.80832e-27
0.544107, 0, 4.09671e-07, 1.34783e-26, 1.41421, -4.09671e-07, 1.34783e-26, 0, 1.34783e-26, 1.34783e-26, 1.34783e-26, 1.34783e-26, 1.34783e-26, 1.34783e-26, 1.34783e-26, 1.62408e-09, 1.34783e-26, 4.87531e-12, 1.92704e-10, 1.34783e-26, 4.07849e-07, 1.34783e-26, 1.34783e-26
0.552324, 0, 6.88305e-07, 6.13468e-26, 1.41421, -6.88305e-07, 6.13468e-26, 0, 6.13468e-26, 6.13468e-26, 6.13468e-26, 6.13468e-26, 6.13468e-26, 6.13468e-26, 6.13468e-26, 2.75265e-09, 6.13468e-26, 9.79394e-12, 3.70649e-10, 6.13468e-26, 6.85172e-07, 6.13468e-26, 6.13468e-26
0.560541, 0, 1.13998e-06, 2.65643e-25, 1.41421, -1.13998e-06, 2.65643e-25, 0, 2.65643e-25, 2.65643e-25, 2.65643e-25, 2.65643e-25, 2.65643e-25, 2.65643e-25, 2.65643e-25, 4.60783e-09, 2.65643e-25, 1.95632e-11, 7.1693e-10, 2.65643e-25, 1.13464e-06, 2.65643e-25, 2.65643e-25
0.568758, 0, 1.86156e-06, 1.09766e-24, 1.41421, -1.86156e-06, 1.09766e-24, 0, 1.09766e-24, 1.09766e-24, 1.09766e-24, 1.84355e-12, 1.09766e-24, 1.09766e-24, 1.09766e-24, 7.62138e-09, 1.09766e-24, 3.87755e-11, 1.39457e-09, 1.09766e-24, 1.8525e-06, 1.09766e-24, 1.09766e-24
0.576975, 0, 2.99781e-06, 4.34016e-24, 1.41421, -2.99781e-06, 4.34016e-24, 0, 4.34016e-24, 4.34016e-24, 4.34016e-24, 8.32398e-12, 4.34016e-24, 4.34016e-24, 4.34016e-24, 1.24605e-08, 4.34016e-24, 7.61132e-11, 2.72508e-09, 4.34016e-24, 2.98254e-06, 4.34016e-24, 4.34016e-24
0.585193, 0, 4.76455e-06, 1.65602e-23, 1.41421, -4.76455e-06, 4.99707e-10, 0, 1.57945e-13, 2.03338e-13, 1.78257e-12, 1.11465e-10, 4.35187e-11, 7.66922e-12, 1.83392e-10, 2.01459e-08, 6.05629e-12, 1.47711e-10, 5.33835e-09, 1.66346e-14, 4.73715e-06, 1.65602e-23, 9.15475e-10
0.59341, 0, 7.50081e-06, 2.60577e-08, 1.41421, -7.50081e-06, 2.83064e-08, 2.60577e-08, 2.60584e-08, 2.60586e-08, 2.60657e-08, 2.65231e-08, 2.62535e-08, 2.60922e-08, 2.6883e-08, 5.82773e-08, 2.6085e-08, 2.63408e-08, 3.65136e-08, 2.60578e-08, 7.44993e-06, 2.60577e-08, 3.01773e-08
0.601627, 0, 1.17019e-05, 1.16987e-07, 1.41421, -1.17019e-05, 1.25055e-07, 1.16987e-07, 1.16989e-07, 1.1699e-07, 1.17016e-07, 1.18609e-07, 1.1769e-07, 1.17111e-07, 1.19948e-07, 1.67973e-07, 1.17085e-07, 1.17522e-07, 1.374e-07, 1.16987e-07, 1.16015e-05, 1.16987e-07, 1.31768e-07
