   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_230.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.535844, 0, 1.41009e-05, 3.3826e-07, 1.41421, -1.41009e-05, 3.43787e-07, 3.3826e-07, 3.38262e-07, 3.38265e-07, 3.38273e-07, 3.39519e-07, 3.38794e-07, 3.40525e-07, 3.85116e-07, 3.38353e-07, 3.40058e-07, 3.74563e-07, 3.3826e-07, 1.39935e-05, 3.3826e-07, 3.5106e-07
0.543956, 0, 1.97158e-05, 8.20567e-07, 1.41421, -1.97158e-05, 8.33987e-07, 8.20567e-07, 8.20572e-07, 8.20579e-07, 8.20599e-07, 8.23563e-07, 8.21864e-07, 8.26066e-07, 8.85948e-07, 8.20793e-07, 8.2346e-07, 8.79013e-07, 8.20567e-07, 1.95345e-05, 8.20567e-07, 8.51644e-07
0.552068, 0, 2.77312e-05, 1.92475e-06, 1.41421, -2.77312e-05, 1.95625e-06, 1.92475e-06, 1.92476e-06, 1.92478e-06, 1.92483e-06, 1.93203e-06, 1.92779e-06, 1.93766e-06, 2.01548e-06, 1.92528e-06, 1.92937e-06, 2.01819e-06, 1.92475e-06, 2.74141e-05, 1.92475e-06, 1.99769e-06
0.560181, 0, 3.94881e-05, 4.38775e-06, 1.41421, -3.94881e-05, 4.45959e-06, 4.38775e-06, 4.38777e-06, 4.38781e-06, 4.38792e-06, 4.40495e-06, 4.39469e-06, 4.41719e-06, 4.51295e-06, 4.38896e-06, 4.39507e-06, 4.53575e-06, 4.38775e-06, 3.89143e-05, 4.38775e-06, 4.55411e-06
0.568293, 0, 5.73688e-05, 9.74048e-06, 1.41421, -5.73688e-05, 9.90004e-06, 9.74048e-06, 9.74054e-06, 9.74062e-06, 9.74086e-06, 9.7874e-06, 9.7559e-06, 9.80587e-06, 9.91232e-06, 9.74317e-06, 9.752e-06, 9.97282e-06, 9.74048e-06, 5.62931e-05, 9.74048e-06, 1.011e-05
0.576405, 0, 8.56913e-05, 2.10751e-05, 1.41421, -8.56913e-05, 2.14205e-05, 2.10751e-05, 2.10753e-05, 2.10754e-05, 2.1076e-05, 2.1189e-05, 2.11085e-05, 2.12167e-05, 2.13097e-05, 2.10809e-05, 2.10931e-05, 2.14366e-05, 2.10751e-05, 8.36362e-05, 2.10751e-05, 2.1875e-05
0.584517, 0, 0.000132378, 4.44606e-05, 1.41421, -0.000132378, 4.51896e-05, 4.44606e-05, 4.44609e-05, 4.44613e-05, 4.44624e-05, 4.47226e-05, 4.45311e-05, 4.47594e-05, 4.47791e-05, 4.44729e-05, 4.44885e-05, 4.50176e-05, 4.44606e-05, 0.000128412, 4.44606e-05, 4.61488e-05
0.592629, 0, 0.000211913, 9.14749e-05, 1.41421, -0.000211913, 9.29755e-05, 9.14749e-05, 9.14755e-05, 9.14762e-05, 9.14785e-05, 9.20577e-05, 9.16198e-05, 9.20898e-05, 9.1905e-05, 9.15001e-05, 9.15176e-05, 9.23254e-05, 9.14749e-05, 0.00020424, 9.14749e-05, 9.49498e-05
0.600742, 0, 0.000350436, 0.000183574, 1.41421, -0.000350436, 0.000186587, 0.000183574, 0.000183576, 0.000183577, 0.000183582, 0.000184835, 0.000183866, 0.000184809, 0.000184152, 0.000183625, 0.00018364, 0.000184861, 0.000183574, 0.000335668, 0.000183574, 0.000190552
0.608854, 0, 0.000594286, 0.000359386, 1.41421, -0.000594286, 0.000365288, 0.000359386, 0.000359388, 0.000359391, 0.0003594, 0.000362062, 0.000359956, 0.000361805, 0.000360158, 0.000359485, 0.000359485, 0.000361317, 0.000359386, 0.00056613, 0.000359386, 0.000373053
0.616966, 0, 0.00102375, 0.000686433, 1.41421, -0.00102375, 0.000697712, 0.000686433, 0.000686438, 0.000686443, 0.00068646, 0.000692016, 0.000687523, 0.000691055, 0.000687461, 0.000686623, 0.000686581, 0.000689305, 0.000686433, 0.000970777, 0.000686433, 0.000712551
0.625078, 1, 0.00177447, 0.00127931, 1.73205, 0.998226, 0.00130034, 0.00127931, 0.00127931, 0.00127932, 0.00127936, 0.00129075, 0.00128134, 0.00128793, 0.00128067, 0.00127966, 0.00127953, 0.00128355, 0.00127931, 0.00167639, 0.00127931, 0.00132801
0.633191, 0, 0.0030696, 0.0023267, 1.41421, -0.0030696, 0.00236498, 0.0023267, 0.00232672, 0.00232674, 0.0023268, 0.00234972, 0.0023304, 0.00234239, 0.0023285, 0.00232735, 0.00232703, 0.00233292, 0.0023267, 0.00289115, 0.0023267, 0.00241534
0.641303, 0, 0.00526581, 0.00413003, 1.41421, -0.00526581, 0.00419802, 0.00413003, 0.00413006, 0.00413009, 0.00413019, 0.0041755, 0.0041366, 0.00415789, 0.00413239, 0.00413117, 0.00413051, 0.00413909, 0.00413003, 0.00494716, 0.00413003, 0.00428748
0.649415, 1, 0.0089169, 0.00715596, 1.73205, 0.991083, 0.00727386, 0.00715596, 0.00715601, 0.00715607, 0.00715624, 0.0072441, 0.00716735, 0.00720427, 0.00715905, 0.00715795, 0.00715666, 0.00716911, 0.00715596, 0.00835879, 0.00715596, 0.00742897
0.657527, 0.973932, 0.0148572, 0.0121045, 1.72451, 0.959074, 0.0123041, 0.0121045, 0.0121046, 0.0121047, 0.012105, 0.0122721, 0.0121238, 0.0121863, 0.0121086, 0.0121079, 0.0121056, 0.0121235, 0.0121045, 0.0138987, 0.0121045, 0.0125667
0.665639, 1.99758, 0.0243049, 0.0199922, 1.9994, 1.97328, 0.0203221, 0.0199922, 0.0199923, 0.0199925, 0.019993, 0.0203043, 0.020024, 0.0201274, 0.0199974, 0.0199977, 0.0199936, 0.0200195, 0.0199922, 0.022691, 0.0199922, 0.0207561
0.673752, 0.0284847, 0.0389834, 0.0322459, 1.42425, -0.0104987, 0.0327785, 0.0322459, 0.0322461, 0.0322464, 0.0322472, 0.0328158, 0.0322974, 0.0324642, 0.0322527, 0.0322549, 0.032248, 0.0322851, 0.0322459, 0.0363187, 0.0322459, 0.0334793
