   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_102.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.481679, 0, 8.98687e-07, 1.32771e-08, 1.41421, -8.98687e-07, 1.32771e-08, 1.32775e-08, 1.32791e-08, 1.32784e-08, 1.32805e-08, 1.33596e-08, 1.32793e-08, 1.32776e-08, 1.33704e-08, 1.34511e-08, 1.33139e-08, 5.02011e-08, 2.09352e-08, 1.3278e-08, 1.41338e-08, 1.85213e-08, 1.32771e-08, 8.47205e-07, 1.32771e-08, 1.32771e-08, 1.36779e-08
0.489565, 0, 1.19757e-06, 2.75011e-08, 1.41421, -1.19757e-06, 2.75011e-08, 2.75021e-08, 2.75053e-08, 2.75039e-08, 2.75083e-08, 2.76722e-08, 2.75057e-08, 2.75023e-08, 2.76923e-08, 2.78616e-08, 2.75775e-08, 1.03999e-07, 3.74701e-08, 2.75031e-08, 2.8762e-08, 3.50476e-08, 2.75012e-08, 1.10064e-06, 2.75011e-08, 2.75011e-08, 2.83315e-08
0.497451, 0, 1.61326e-06, 5.52333e-08, 1.41421, -1.61326e-06, 5.52333e-08, 5.52352e-08, 5.52417e-08, 5.52389e-08, 5.52477e-08, 5.55769e-08, 5.52425e-08, 5.52356e-08, 5.56602e-08, 5.59574e-08, 5.53868e-08, 2.08897e-07, 6.81615e-08, 5.52372e-08, 5.70799e-08, 6.60493e-08, 5.52335e-08, 1.43064e-06, 5.52333e-08, 5.52333e-08, 5.69013e-08
0.505337, 0, 2.2077e-06, 1.08382e-07, 1.41421, -2.2077e-06, 1.08382e-07, 1.08385e-07, 1.08398e-07, 1.08393e-07, 1.0841e-07, 1.09056e-07, 1.084e-07, 1.08386e-07, 1.09312e-07, 1.09803e-07, 1.08683e-07, 4.09959e-07, 1.25085e-07, 1.0839e-07, 1.11073e-07, 1.23785e-07, 1.08382e-07, 1.86464e-06, 1.08382e-07, 1.08382e-07, 1.11655e-07
0.513223, 0, 3.08509e-06, 2.08523e-07, 1.41421, -3.08509e-06, 2.08523e-07, 2.08531e-07, 2.08555e-07, 2.08545e-07, 2.08578e-07, 2.09821e-07, 2.08558e-07, 2.08532e-07, 2.11339e-07, 2.11258e-07, 2.09103e-07, 7.88832e-07, 2.30025e-07, 2.08538e-07, 2.12426e-07, 2.30336e-07, 2.08524e-07, 2.44366e-06, 2.08523e-07, 2.08523e-07, 2.14823e-07
0.521109, 0, 4.41897e-06, 3.94031e-07, 1.41421, -4.41897e-06, 3.94031e-07, 3.94044e-07, 3.94091e-07, 3.94071e-07, 3.94134e-07, 3.96484e-07, 3.94096e-07, 3.94047e-07, 4.00611e-07, 3.99199e-07, 3.95126e-07, 1.49073e-06, 4.21607e-07, 3.94059e-07, 3.9966e-07, 4.24744e-07, 3.94032e-07, 3.23082e-06, 3.94031e-07, 3.94031e-07, 4.05936e-07
0.528996, 0, 6.50372e-06, 7.3231e-07, 1.41421, -6.50372e-06, 7.3231e-07, 7.32335e-07, 7.32421e-07, 7.32384e-07, 7.32501e-07, 7.36869e-07, 7.32432e-07, 7.3234e-07, 7.46746e-07, 7.41916e-07, 7.34346e-07, 2.77082e-06, 7.67549e-07, 7.32362e-07, 7.40392e-07, 7.75306e-07, 7.32312e-07, 4.32551e-06, 7.3231e-07, 7.3231e-07, 7.54438e-07
0.536882, 0, 9.82276e-06, 1.33736e-06, 1.41421, -9.82276e-06, 1.33736e-06, 1.33741e-06, 1.33757e-06, 1.3375e-06, 1.33771e-06, 1.34569e-06, 1.33759e-06, 1.33742e-06, 1.36584e-06, 1.35491e-06, 1.34108e-06, 5.06055e-06, 1.38223e-06, 1.33746e-06, 1.3489e-06, 1.39721e-06, 1.33737e-06, 5.88372e-06, 1.33736e-06, 1.33736e-06, 1.37778e-06
0.544768, 0, 1.51847e-05, 2.40272e-06, 1.41421, -1.51847e-05, 2.40272e-06, 2.4028e-06, 2.40309e-06, 2.40296e-06, 2.40335e-06, 2.41768e-06, 2.40312e-06, 2.40282e-06, 2.45763e-06, 2.43425e-06, 2.4094e-06, 9.09256e-06, 2.45965e-06, 2.40289e-06, 2.4191e-06, 2.48553e-06, 2.40273e-06, 8.15598e-06, 2.40272e-06, 2.40272e-06, 2.47534e-06
0.552654, 0, 2.39061e-05, 4.24722e-06, 1.41421, -2.39061e-05, 4.24722e-06, 4.24737e-06, 4.24787e-06, 4.24765e-06, 4.24833e-06, 4.27367e-06, 4.24793e-06, 4.2474e-06, 4.35163e-06, 4.30296e-06, 4.25904e-06, 1.6074e-05, 4.3192e-06, 4.24753e-06, 4.27036e-06, 4.36117e-06, 4.24724e-06, 1.15399e-05, 4.24722e-06, 4.24722e-06, 4.3756e-06
