   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_155.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.459519, 0, 2.33623e-07, 2.21778e-25, 1.41421, -2.33623e-07, 1.25669e-12, 0, 1.38085e-14, 2.84551e-14, 7.95878e-14, 1.25183e-13, 2.22065e-13, 2.55375e-13, 5.87034e-14, 1.01066e-11, 6.92767e-12, 1.27984e-09, 2.33286e-09, 2.30793e-14, 5.44907e-11, 1.40111e-09, 8.37376e-16, 2.28524e-07, 2.21778e-25, 2.21778e-25, 1.16097e-11
0.467252, 0, 3.10261e-07, 4.36141e-10, 1.41421, -3.10261e-07, 4.40081e-10, 4.36141e-10, 4.36184e-10, 4.3623e-10, 4.3639e-10, 4.36533e-10, 4.36837e-10, 4.36942e-10, 4.36325e-10, 4.66452e-10, 4.57859e-10, 4.44839e-09, 3.53488e-09, 4.36213e-10, 5.18039e-10, 2.51231e-09, 4.36144e-10, 3.00897e-07, 4.36141e-10, 4.36141e-10, 4.72537e-10
0.474986, 0, 4.11787e-07, 1.36562e-09, 1.41421, -4.11787e-07, 1.37519e-09, 1.36562e-09, 1.36572e-09, 1.36584e-09, 1.36623e-09, 1.36657e-09, 1.36731e-09, 1.36756e-09, 1.36607e-09, 1.43817e-09, 1.41835e-09, 1.11079e-08, 5.46539e-09, 1.3658e-09, 1.48828e-09, 4.42999e-09, 1.36563e-09, 3.94528e-07, 1.36562e-09, 1.36562e-09, 1.45399e-09
0.482719, 0, 5.47568e-07, 3.31256e-09, 1.41421, -5.47568e-07, 3.33372e-09, 3.31256e-09, 3.31279e-09, 3.31304e-09, 3.3139e-09, 3.31467e-09, 3.3163e-09, 3.31686e-09, 3.31355e-09, 3.47191e-09, 3.42921e-09, 2.48628e-08, 8.71558e-09, 3.31295e-09, 3.49559e-09, 7.81615e-09, 3.31258e-09, 5.15422e-07, 3.31256e-09, 3.31256e-09, 3.50805e-09
0.490452, 0, 7.31819e-07, 7.31988e-09, 1.41421, -7.31819e-07, 7.36453e-09, 7.31988e-09, 7.32038e-09, 7.3209e-09, 7.32271e-09, 7.32433e-09, 7.32777e-09, 7.32896e-09, 7.32197e-09, 7.65453e-09, 7.56598e-09, 5.27846e-08, 1.4413e-08, 7.3207e-09, 7.59186e-09, 1.39082e-08, 7.31991e-09, 6.71335e-07, 7.31988e-09, 7.31988e-09, 7.7323e-09
0.498186, 0, 9.87162e-07, 1.54316e-08, 1.41421, -9.87162e-07, 1.5523e-08, 1.54316e-08, 1.54326e-08, 1.54337e-08, 1.54374e-08, 1.54407e-08, 1.54477e-08, 1.54502e-08, 1.54358e-08, 1.6114e-08, 1.59354e-08, 1.08502e-07, 2.4708e-08, 1.54333e-08, 1.5834e-08, 2.50228e-08, 1.54316e-08, 8.72641e-07, 1.54316e-08, 1.54316e-08, 1.62758e-08
0.505919, 0, 1.35082e-06, 3.15724e-08, 1.41421, -1.35082e-06, 3.17552e-08, 3.15724e-08, 3.15744e-08, 3.15765e-08, 3.15839e-08, 3.15906e-08, 3.16047e-08, 3.16095e-08, 3.15809e-08, 3.30169e-08, 3.25804e-08, 2.17793e-07, 4.36584e-08, 3.15757e-08, 3.2165e-08, 4.54755e-08, 3.15725e-08, 1.13357e-06, 3.15724e-08, 3.15724e-08, 3.32616e-08
0.513653, 0, 1.88519e-06, 6.3144e-08, 1.41421, -1.88519e-06, 6.35028e-08, 6.3144e-08, 6.3148e-08, 6.31521e-08, 6.31667e-08, 6.31798e-08, 6.32074e-08, 6.32169e-08, 6.31608e-08, 6.61461e-08, 6.51218e-08, 4.28529e-07, 7.88317e-08, 6.31506e-08, 6.40126e-08, 8.31767e-08, 6.31443e-08, 1.47434e-06, 6.3144e-08, 6.3144e-08, 6.64585e-08
0.521386, 0, 2.69807e-06, 1.23848e-07, 1.41421, -2.69807e-06, 1.24539e-07, 1.23848e-07, 1.23855e-07, 1.23863e-07, 1.23892e-07, 1.23917e-07, 1.2397e-07, 1.23988e-07, 1.2388e-07, 1.31558e-07, 1.27659e-07, 8.27972e-07, 1.44135e-07, 1.2386e-07, 1.25115e-07, 1.52552e-07, 1.23848e-07, 1.92464e-06, 1.23848e-07, 1.23848e-07, 1.30235e-07
0.529119, 0, 3.97077e-06, 2.38585e-07, 1.41421, -3.97077e-06, 2.39894e-07, 2.38585e-07, 2.38599e-07, 2.38614e-07, 2.38667e-07, 2.38715e-07, 2.38816e-07, 2.38851e-07, 2.38646e-07, 2.55635e-07, 2.45804e-07, 1.57229e-06, 2.64723e-07, 2.38609e-07, 2.40423e-07, 2.79479e-07, 2.38585e-07, 2.52968e-06, 2.38585e-07, 2.38585e-07, 2.50683e-07
