   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_370.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.836599, 0, 0.740272, 0.0184588, 1.41421, -0.740272, 0.0291996, 0.0184588, 0.0184592, 0.0276727, 0.0973207, 0.0218351, 0.0810494, 0.0328869, 0.0363754, 0.0193605, 0.0307712, 0.0184671, 0.019092, 0.0184798, 0.0192717, 0.492061, 0.0184589, 0.0548506, 0.0184588, 0.0184588
0.844466, 0, 0.782333, 0.0197918, 1.41421, -0.782333, 0.0312923, 0.0197918, 0.0197923, 0.0296574, 0.104231, 0.0234069, 0.0868088, 0.0352403, 0.0389714, 0.0207573, 0.0329749, 0.0198006, 0.0204647, 0.0198165, 0.0208604, 0.50983, 0.019792, 0.0653052, 0.0197918, 0.0197918
0.852333, 0, 0.815542, 0.0210263, 1.41421, -0.815542, 0.0332145, 0.0210263, 0.0210269, 0.0314818, 0.110514, 0.0248576, 0.0920503, 0.0373985, 0.0413476, 0.0220496, 0.0349977, 0.0210356, 0.0217325, 0.0210557, 0.0224671, 0.518237, 0.0210265, 0.0774703, 0.0210263, 0.0210263
0.8602, 0, 0.839648, 0.0221568, 1.41421, -0.839648, 0.0349543, 0.0221568, 0.0221573, 0.0331348, 0.116118, 0.0261796, 0.096731, 0.0393474, 0.0434876, 0.0232312, 0.0368265, 0.0221663, 0.0228889, 0.0221921, 0.0241478, 0.516983, 0.0221569, 0.0914533, 0.0221568, 0.0221568
0.868067, 0.920897, 0.855004, 0.0231837, 1.70906, 0.0658929, 0.0365099, 0.0231837, 0.0231842, 0.034615, 0.121024, 0.0273726, 0.100837, 0.0410841, 0.0453877, 0.0243024, 0.0384592, 0.0231935, 0.0239338, 0.0232268, 0.025992, 0.506362, 0.0231838, 0.107274, 0.0231837, 0.0231837
0.875933, 1.0791, 0.862494, 0.0241128, 1.75474, 0.216609, 0.0378883, 0.0241128, 0.0241134, 0.0359291, 0.125248, 0.0284428, 0.104381, 0.042616, 0.0470557, 0.0252693, 0.0399027, 0.0241228, 0.0248725, 0.0241661, 0.02813, 0.487214, 0.024113, 0.124834, 0.0241128, 0.0241128
0.8838, 0, 0.86342, 0.0249542, 1.41421, -0.86342, 0.0391037, 0.0249542, 0.0249548, 0.0370905, 0.128828, 0.0294014, 0.107396, 0.0439585, 0.0485082, 0.026142, 0.0411717, 0.0249642, 0.025715, 0.0250206, 0.0307396, 0.460841, 0.0249544, 0.143896, 0.0249542, 0.0249542
0.891667, 1, 0.859339, 0.0257205, 1.73205, 0.140661, 0.0401755, 0.0257205, 0.0257212, 0.0381173, 0.131824, 0.0302632, 0.109932, 0.0451327, 0.0497687, 0.0269338, 0.0422861, 0.0257305, 0.026474, 0.025804, 0.0340513, 0.428866, 0.0257207, 0.164066, 0.0257205, 0.0257205
0.899534, 0, 0.851905, 0.026426, 1.41421, -0.851905, 0.0411262, 0.026426, 0.0264266, 0.0390305, 0.134307, 0.0310448, 0.112049, 0.0461634, 0.0508646, 0.0276596, 0.0432691, 0.0264359, 0.0271638, 0.026531, 0.0383516, 0.393076, 0.0264262, 0.184795, 0.026426, 0.026426
0.9074, 1.90883, 0.842712, 0.027085, 1.97708, 1.06612, 0.0419797, 0.027085, 0.0270856, 0.0398516, 0.136354, 0.0317632, 0.113809, 0.0470763, 0.0518247, 0.0283344, 0.0441448, 0.0270947, 0.0277995, 0.0272172, 0.0439794, 0.355272, 0.0270852, 0.2054, 0.027085, 0.027085
0.915267, 0.0911696, 0.833171, 0.0277113, 1.44609, -0.742001, 0.0427599, 0.0277113, 0.0277119, 0.0406019, 0.138042, 0.0324349, 0.115278, 0.0478968, 0.0526774, 0.0289729, 0.0449368, 0.0277207, 0.0283955, 0.0278772, 0.0513165, 0.31712, 0.0277115, 0.225097, 0.0277113, 0.0277113
0.923134, 0, 0.824426, 0.0283171, 1.41421, -0.824426, 0.0434894, 0.0283171, 0.0283178, 0.0413007, 0.139443, 0.0330748, 0.116515, 0.0486482, 0.0534489, 0.0295878, 0.0456668, 0.0283263, 0.0289651, 0.0285243, 0.0607674, 0.280055, 0.0283173, 0.243051, 0.0283171, 0.0283171
0.931001, 1.90161, 0.817311, 0.0289129, 1.97525, 1.08429, 0.0441897, 0.0289129, 0.0289136, 0.0419647, 0.140623, 0.0336956, 0.117574, 0.0493508, 0.0541626, 0.0301903, 0.0463538, 0.0289218, 0.0295195, 0.0291699, 0.0727291, 0.245205, 0.0289131, 0.258441, 0.0289129, 0.0289129
0.938867, 0.0983946, 0.812347, 0.0295071, 1.44858, -0.713952, 0.0448806, 0.029507, 0.0295077, 0.0426079, 0.141637, 0.0343077, 0.118502, 0.0500218, 0.0548377, 0.0307892, 0.0470135, 0.0295155, 0.0300686, 0.0298233, 0.0875495, 0.213366, 0.0295073, 0.270525, 0.0295071, 0.0295071
0.946734, 0, 0.80976, 0.0301057, 1.41421, -0.80976, 0.0455811, 0.0301057, 0.0301064, 0.0432412, 0.142531, 0.0349191, 0.119335, 0.0506746, 0.05549, 0.0313913, 0.0476583, 0.0301138, 0.0306199, 0.0304915, 0.105476, 0.18501, 0.0301059, 0.278705, 0.0301057, 0.0301057
0.954601, 1, 0.809517, 0.0307132, 1.73205, 0.190483, 0.0463099, 0.0307132, 0.0307139, 0.0438725, 0.143343, 0.0355353, 0.120105, 0.0513194, 0.0561313, 0.0320011, 0.0482977, 0.030721, 0.0311789, 0.0311797, 0.126603, 0.160321, 0.0307134, 0.282582, 0.0307132, 0.0307132
0.962468, 1, 0.81137, 0.0313322, 1.73205, 0.18863, 0.0470868, 0.0313321, 0.0313328, 0.0445076, 0.144101, 0.0361602, 0.120833, 0.0519637, 0.0567702, 0.0326216, 0.0489382, 0.0313396, 0.0317499, 0.0318913, 0.150815, 0.139249, 0.0313324, 0.281991, 0.0313322, 0.0313322
0.970334, 1.77909, 0.814887, 0.0319637, 1.94399, 0.964206, 0.0479343, 0.0319636, 0.0319644, 0.0451499, 0.144824, 0.0367956, 0.121538, 0.052612, 0.0574124, 0.0332542, 0.0495841, 0.0319708, 0.0323354, 0.0326282, 0.177747, 0.121575, 0.0319639, 0.277017, 0.0319637, 0.0319637
0.978201, 2.88232, 0.819489, 0.032608, 2.2096, 2.06283, 0.0488786, 0.0326078, 0.0326086, 0.0458011, 0.145528, 0.0374425, 0.122229, 0.0532672, 0.0580614, 0.0338992, 0.0502376, 0.0326148, 0.0329368, 0.0333912, 0.206756, 0.106965, 0.0326082, 0.26799, 0.032608, 0.032608
0.986068, 2.10803, 0.824478, 0.0332642, 2.02683, 1.28355, 0.0499519, 0.033264, 0.0332649, 0.0464618, 0.146222, 0.0381003, 0.122916, 0.0539304, 0.0587187, 0.0345558, 0.0508998, 0.0332709, 0.0335547, 0.034181, 0.236928, 0.0950328, 0.0332644, 0.255452, 0.0332642, 0.0332642
0.993935, 1.11287, 0.829071, 0.0339311, 1.76433, 0.283799, 0.0511949, 0.0339308, 0.0339317, 0.0471314, 0.146913, 0.0387682, 0.123602, 0.0546016, 0.0593846, 0.035223, 0.0515703, 0.0339377, 0.0341891, 0.0349981, 0.267106, 0.0853753, 0.0339313, 0.24011, 0.0339311, 0.0339311
1.0018, 2.11769, 0.832442, 0.0346069, 2.02921, 1.28525, 0.0526593, 0.0346066, 0.0346076, 0.047809, 0.147603, 0.0394447, 0.124289, 0.0552801, 0.0600586, 0.035899, 0.0522482, 0.0346136, 0.0348398, 0.0358446, 0.295961, 0.0776093, 0.0346071, 0.222778, 0.0346069, 0.0346069
