   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_125.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.39769, 0, 4.92132e-08, 2.03886e-29, 1.41421, -4.92132e-08, 2.03886e-29, 0, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.03886e-29, 2.21537e-10, 2.03886e-29, 2.09838e-12, 7.18507e-09, 2.03886e-29, 4.18045e-08, 2.03886e-29, 2.03886e-29
0.405562, 0, 6.80186e-08, 9.20152e-29, 1.41421, -6.80186e-08, 9.20152e-29, 0, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 9.20152e-29, 3.02921e-10, 9.20152e-29, 3.21059e-12, 1.08408e-08, 9.20152e-29, 5.68716e-08, 9.20152e-29, 9.20152e-29
0.413434, 0, 9.37031e-08, 3.93118e-28, 1.41421, -9.37031e-08, 3.93118e-28, 0, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 3.93118e-28, 4.12289e-10, 3.93118e-28, 4.90745e-12, 1.63214e-08, 3.93118e-28, 7.69645e-08, 3.93118e-28, 3.93118e-28
0.421306, 0, 1.28697e-07, 1.5945e-27, 1.41421, -1.28697e-07, 1.5945e-27, 0, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 1.5945e-27, 5.58604e-10, 1.5945e-27, 7.49081e-12, 2.45152e-08, 1.5945e-27, 1.03616e-07, 1.5945e-27, 1.5945e-27
0.429178, 0, 1.76271e-07, 6.15655e-27, 1.41421, -1.76271e-07, 6.15655e-27, 0, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 6.15655e-27, 7.53484e-10, 6.15655e-27, 1.14137e-11, 3.6727e-08, 6.15655e-27, 1.38779e-07, 6.15655e-27, 6.15655e-27
0.43705, 0, 2.40821e-07, 2.26871e-26, 1.41421, -2.40821e-07, 2.26871e-26, 0, 2.26871e-26, 2.26871e-26, 2.26871e-26, 2.26871e-26, 2.26871e-26, 8.34125e-14, 2.26871e-26, 2.26871e-26, 2.26871e-26, 1.01193e-09, 2.26871e-26, 1.73524e-11, 5.48639e-08, 2.26871e-26, 1.84928e-07, 2.26871e-26, 2.26871e-26
0.444922, 0, 3.28256e-07, 7.99805e-26, 1.41421, -3.28256e-07, 7.99805e-26, 0, 7.99805e-26, 7.99805e-26, 7.99805e-26, 7.99805e-26, 7.99805e-26, 2.63576e-13, 7.99805e-26, 7.99805e-26, 7.99805e-26, 1.35321e-09, 7.99805e-26, 2.63118e-11, 8.16975e-08, 7.99805e-26, 2.45178e-07, 7.99805e-26, 7.99805e-26
0.452794, 0, 4.47537e-07, 2.73412e-25, 1.41421, -4.47537e-07, 5.72656e-12, 0, 1.00213e-14, 1.78502e-14, 6.58158e-12, 1.98872e-13, 2.89173e-13, 4.38915e-12, 7.51797e-12, 2.44063e-12, 9.57986e-10, 1.80205e-09, 3.10803e-14, 3.9776e-11, 1.21231e-07, 1.55301e-15, 3.23468e-07, 2.73412e-25, 1.048e-11
0.460666, 0, 6.09978e-07, 5.22444e-10, 1.41421, -6.09978e-07, 5.40474e-10, 5.22444e-10, 5.22475e-10, 5.225e-10, 5.43167e-10, 5.2307e-10, 5.23354e-10, 5.35667e-10, 5.46115e-10, 5.30128e-10, 3.53876e-09, 2.91233e-09, 5.22542e-10, 5.8237e-10, 1.79733e-07, 5.22449e-10, 4.25184e-07, 5.22444e-10, 5.55441e-10
0.468538, 0, 8.31168e-07, 1.63933e-09, 1.41421, -8.31168e-07, 1.68326e-09, 1.63933e-09, 1.63941e-09, 1.63947e-09, 1.68982e-09, 1.64085e-09, 1.64155e-09, 1.67109e-09, 1.697e-09, 1.65805e-09, 8.98782e-09, 4.79598e-09, 1.63957e-09, 1.72927e-09, 2.65462e-07, 1.63934e-09, 5.56464e-07, 1.63933e-09, 1.71972e-09
