   PIQUANT 0.0.0-main  ps__0545_0715362334_000rfs_shot_395.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.414519, 0, 1.24643e-07, 9.58075e-26, 1.41421, -1.24643e-07, 0, 9.58075e-26, 9.58075e-26, 9.58075e-26, 9.58075e-26, 9.58075e-26, 9.58075e-26, 3.47796e-13, 9.58075e-26, 9.58075e-26, 9.58075e-26, 7.00337e-10, 9.58075e-26, 9.58075e-26, 9.997e-09, 9.58075e-26, 6.67408e-10, 9.58075e-26, 1.13278e-07, 9.58075e-26, 9.58075e-26
0.422377, 0, 1.62991e-07, 3.22886e-25, 1.41421, -1.62991e-07, 0, 2.28176e-15, 2.68118e-12, 1.91723e-14, 1.79068e-12, 3.16837e-11, 1.45014e-10, 5.90245e-12, 5.00867e-12, 7.8335e-12, 6.96671e-11, 9.10664e-10, 9.04582e-13, 8.99041e-14, 1.46984e-08, 8.31233e-14, 9.52618e-10, 3.7691e-16, 1.46146e-07, 3.22886e-25, 1.1957e-11
0.430235, 0, 2.12721e-07, 1.107e-11, 1.41421, -2.12721e-07, 1.107e-11, 1.10769e-11, 1.91383e-11, 1.11277e-11, 1.64586e-11, 1.06414e-10, 4.47451e-10, 2.81061e-11, 2.61423e-11, 3.46428e-11, 2.20715e-10, 1.19112e-09, 1.37921e-11, 1.13406e-11, 2.15529e-08, 1.20723e-11, 1.36642e-09, 1.10711e-11, 1.87793e-07, 1.107e-11, 4.70515e-11
0.438093, 0, 2.77225e-07, 3.39042e-11, 1.41421, -2.77225e-07, 3.39042e-11, 3.39202e-11, 5.26243e-11, 3.40381e-11, 4.64068e-11, 2.5512e-10, 1.04639e-09, 7.29033e-11, 6.88748e-11, 8.85977e-11, 5.2032e-10, 1.55781e-09, 4.022e-11, 3.4532e-11, 3.14952e-08, 3.74751e-11, 1.95562e-09, 3.39069e-11, 2.40344e-07, 3.39042e-11, 1.17388e-10
0.445951, 0, 3.61041e-07, 7.96677e-11, 1.41421, -3.61041e-07, 7.96677e-11, 7.97012e-11, 1.19129e-10, 7.99498e-11, 1.06023e-10, 5.45981e-10, 2.21395e-09, 1.61338e-10, 1.53384e-10, 1.94959e-10, 1.10501e-09, 2.041e-09, 9.29811e-11, 8.09909e-11, 4.58552e-08, 8.87989e-11, 2.79445e-09, 7.96732e-11, 3.06427e-07, 7.96677e-11, 2.55648e-10
0.453809, 0, 4.70234e-07, 1.69442e-10, 1.41421, -4.70234e-07, 1.69442e-10, 1.6951e-10, 2.4869e-10, 1.70009e-10, 2.2237e-10, 1.10592e-09, 4.45563e-09, 3.3279e-10, 3.17484e-10, 4.00978e-10, 2.2286e-09, 2.68535e-09, 1.96179e-10, 1.721e-10, 6.65061e-08, 1.89966e-10, 3.98979e-09, 1.69453e-10, 3.892e-07, 1.69442e-10, 5.22857e-10
0.461667, 0, 6.13136e-07, 3.42426e-10, 1.41421, -6.13136e-07, 3.42426e-10, 3.42557e-10, 4.96875e-10, 3.4353e-10, 4.45578e-10, 2.16757e-09, 8.69595e-09, 6.59702e-10, 6.3095e-10, 7.93674e-10, 4.3556e-09, 3.55911e-09, 3.94534e-10, 3.47604e-10, 9.60727e-08, 3.855e-10, 5.69705e-09, 3.42447e-10, 4.92538e-07, 3.42426e-10, 1.03121e-09
0.469525, 0, 8.01465e-07, 6.70376e-10, 1.41421, -8.01465e-07, 6.70376e-10, 6.70626e-10, 9.64892e-10, 6.72482e-10, 8.67075e-10, 4.15069e-09, 1.65995e-08, 1.36058e-09, 1.22056e-09, 1.53085e-09, 8.32301e-09, 4.76962e-09, 7.6974e-10, 6.80251e-10, 1.38218e-07, 7.57011e-10, 8.14894e-09, 6.70417e-10, 6.21174e-07, 6.70376e-10, 1.9838e-09
0.477383, 0, 1.05174e-06, 1.28262e-09, 1.41421, -1.05174e-06, 1.28262e-09, 1.28309e-09, 1.83423e-09, 1.28657e-09, 1.65103e-09, 7.801e-09, 3.11167e-08, 2.67188e-09, 2.31307e-09, 2.89423e-09, 1.56154e-08, 6.48972e-09, 1.46873e-09, 1.30112e-09, 1.98024e-07, 1.45176e-09, 1.1676e-08, 1.2827e-09, 7.80921e-07, 1.28262e-09, 3.74258e-09
0.485241, 0, 1.38905e-06, 2.40864e-09, 1.41421, -1.38905e-06, 2.40864e-09, 2.4095e-09, 3.42529e-09, 2.41591e-09, 3.08763e-09, 1.44224e-08, 5.73948e-08, 6.17429e-09, 4.30782e-09, 5.37893e-09, 2.88249e-08, 9.00177e-09, 2.75164e-09, 2.44273e-09, 2.8252e-07, 2.7314e-09, 1.6787e-08, 2.40878e-09, 9.78977e-07, 2.40864e-09, 6.94248e-09
