   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_70.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.505765, 0, 3.73002e-09, 2.5902e-30, 1.41421, -3.73002e-09, 0, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 2.5902e-30, 4.23898e-11, 2.5902e-30, 2.5902e-30, 1.34489e-13, 2.28683e-12, 2.5902e-30, 3.68521e-09, 2.5902e-30, 2.5902e-30, 2.5902e-30
0.513604, 0, 6.27988e-09, 1.32557e-29, 1.41421, -6.27988e-09, 0, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 1.32557e-29, 7.15915e-11, 1.32557e-29, 1.32557e-29, 2.57935e-13, 4.18812e-12, 1.32557e-29, 6.20385e-09, 1.32557e-29, 1.32557e-29, 1.32557e-29
0.521443, 0, 1.0437e-08, 6.41416e-29, 1.41421, -1.0437e-08, 0, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 6.41416e-29, 1.19453e-10, 6.41416e-29, 6.41416e-29, 4.94068e-13, 7.67754e-12, 6.41416e-29, 1.03094e-08, 6.41416e-29, 6.41416e-29, 6.41416e-29
0.529283, 0, 1.71258e-08, 2.94353e-28, 1.41421, -1.71258e-08, 0, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 2.94353e-28, 1.96971e-10, 2.94353e-28, 2.94353e-28, 9.443e-13, 1.41098e-11, 2.94353e-28, 1.69138e-08, 2.94353e-28, 2.94353e-28, 2.94353e-28
0.537122, 0, 2.77489e-08, 1.28485e-27, 1.41421, -2.77489e-08, 0, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 1.28485e-27, 3.21075e-10, 1.28485e-27, 1.28485e-27, 1.79864e-12, 2.60246e-11, 1.28485e-27, 2.74e-08, 1.28485e-27, 1.28485e-27, 1.28485e-27
0.544961, 0, 4.44043e-08, 5.34935e-27, 1.41421, -4.44043e-08, 0, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.34935e-27, 5.17548e-10, 5.34935e-27, 5.34935e-27, 3.40938e-12, 4.81925e-11, 5.34935e-27, 4.38352e-08, 5.34935e-27, 5.34935e-27, 5.34935e-27
0.5528, 0, 7.01896e-08, 2.12994e-26, 1.41421, -7.01896e-08, 0, 2.12994e-26, 2.12994e-26, 2.12994e-26, 2.12994e-26, 2.12994e-26, 2.12994e-26, 2.06089e-13, 2.12994e-26, 2.12994e-26, 2.12994e-26, 8.25246e-10, 2.12994e-26, 2.12994e-26, 6.42197e-12, 8.957e-11, 2.12994e-26, 6.92682e-08, 2.12994e-26, 2.12994e-26, 2.12994e-26
0.560639, 0, 1.09614e-07, 8.13061e-26, 1.41421, -1.09614e-07, 0, 8.13061e-26, 8.13061e-26, 8.13061e-26, 8.13061e-26, 8.13061e-26, 8.13061e-26, 8.75305e-13, 8.13061e-26, 8.13061e-26, 8.13061e-26, 1.30211e-09, 8.13061e-26, 8.13061e-26, 1.20034e-11, 1.66902e-10, 8.13061e-26, 1.08132e-07, 8.13061e-26, 8.13061e-26, 8.13061e-26
0.568479, 0, 1.69156e-07, 2.99192e-25, 1.41421, -1.69156e-07, 0, 2.99192e-25, 2.99192e-25, 2.99192e-25, 2.99192e-25, 2.99192e-25, 2.99192e-25, 2.94139e-12, 2.99192e-25, 2.99192e-25, 2.99192e-25, 2.03369e-09, 2.99192e-25, 2.99192e-25, 2.22341e-11, 3.11277e-10, 2.99192e-25, 1.66786e-07, 2.99192e-25, 2.99192e-25, 2.99192e-25
0.576318, 0, 2.6022e-07, 5.82331e-10, 1.41421, -2.6022e-07, 5.82331e-10, 5.82354e-10, 5.82372e-10, 5.8244e-10, 5.82659e-10, 5.82926e-10, 5.82709e-10, 6.01233e-10, 5.90933e-10, 5.85994e-10, 2.1415e-09, 3.7275e-09, 5.83538e-10, 5.82378e-10, 6.23101e-10, 1.16217e-09, 5.82333e-10, 2.54845e-07, 5.82331e-10, 5.82331e-10, 5.97784e-10
