   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_120.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.525344, 0, 3.6329e-06, 1.10474e-07, 1.41421, -3.6329e-06, 1.11174e-07, 1.10474e-07, 1.10478e-07, 1.10499e-07, 1.11474e-07, 1.10571e-07, 1.10495e-07, 1.13214e-07, 1.1412e-07, 1.11599e-07, 7.19356e-07, 1.24054e-07, 1.10514e-07, 1.12855e-07, 7.76814e-07, 1.10474e-07, 2.3265e-06, 1.10474e-07, 1.16286e-07
0.533217, 0, 5.24937e-06, 2.18213e-07, 1.41421, -5.24937e-06, 2.19571e-07, 2.18213e-07, 2.18223e-07, 2.18263e-07, 2.20154e-07, 2.18403e-07, 2.18255e-07, 2.24986e-07, 2.25283e-07, 2.20396e-07, 1.39877e-06, 2.35838e-07, 2.18291e-07, 2.2171e-07, 1.17796e-06, 2.18214e-07, 3.05697e-06, 2.18213e-07, 2.29483e-07
0.541089, 0, 7.7593e-06, 4.22749e-07, 1.41421, -7.7593e-06, 4.25332e-07, 4.22749e-07, 4.22767e-07, 4.22844e-07, 4.26441e-07, 4.23109e-07, 4.22828e-07, 4.37611e-07, 4.36202e-07, 4.26903e-07, 2.66934e-06, 4.45531e-07, 4.22897e-07, 4.27857e-07, 1.79659e-06, 4.2275e-07, 4.05008e-06, 4.22749e-07, 4.44195e-07
0.548961, 0, 1.17374e-05, 8.03856e-07, 1.41421, -1.17374e-05, 8.08682e-07, 8.03856e-07, 8.03889e-07, 8.04034e-07, 8.10756e-07, 8.0453e-07, 8.04003e-07, 8.34623e-07, 8.28993e-07, 8.11618e-07, 5.00161e-06, 8.3319e-07, 8.04133e-07, 8.11271e-07, 2.75826e-06, 8.03859e-07, 5.4317e-06, 8.03856e-07, 8.43929e-07
0.556834, 0, 1.81375e-05, 1.50084e-06, 1.41421, -1.81375e-05, 1.50969e-06, 1.50084e-06, 1.5009e-06, 1.50117e-06, 1.5135e-06, 1.50207e-06, 1.50111e-06, 1.5625e-06, 1.54696e-06, 1.51508e-06, 9.20393e-06, 1.53846e-06, 1.50135e-06, 1.51154e-06, 4.26396e-06, 1.50084e-06, 7.40341e-06, 1.50084e-06, 1.57437e-06
0.564706, 0, 2.85267e-05, 2.75235e-06, 1.41421, -2.85267e-05, 2.76832e-06, 2.75235e-06, 2.75246e-06, 2.75294e-06, 2.77517e-06, 2.75458e-06, 2.75284e-06, 2.87194e-06, 2.8355e-06, 2.77803e-06, 1.66381e-05, 2.80043e-06, 2.75327e-06, 2.7677e-06, 6.63516e-06, 2.75236e-06, 1.02905e-05, 2.75235e-06, 2.88491e-06
0.572578, 0, 4.54407e-05, 4.95697e-06, 1.41421, -4.54407e-05, 4.98524e-06, 4.95697e-06, 4.95717e-06, 4.95802e-06, 4.99738e-06, 4.96092e-06, 4.95784e-06, 5.18563e-06, 5.1042e-06, 5.00243e-06, 2.95438e-05, 5.01817e-06, 4.95859e-06, 4.97887e-06, 1.0381e-05, 4.95699e-06, 1.46143e-05, 4.95697e-06, 5.19168e-06
0.580451, 0, 7.29315e-05, 8.77025e-06, 1.41421, -7.29315e-05, 8.81943e-06, 8.77025e-06, 8.77059e-06, 8.77207e-06, 8.84055e-06, 8.77712e-06, 8.77175e-06, 9.20124e-06, 9.02637e-06, 8.84934e-06, 5.15419e-05, 8.84789e-06, 8.77307e-06, 8.8013e-06, 1.63048e-05, 8.77028e-06, 2.12092e-05, 8.77025e-06, 9.17856e-06
0.588323, 0, 0.000117347, 1.52451e-05, 1.41421, -0.000117347, 1.53291e-05, 1.52451e-05, 1.52457e-05, 1.52482e-05, 1.53653e-05, 1.52568e-05, 1.52477e-05, 1.60458e-05, 1.56829e-05, 1.53803e-05, 8.83541e-05, 1.53432e-05, 1.52499e-05, 1.52889e-05, 2.5656e-05, 1.52451e-05, 3.13864e-05, 1.52451e-05, 1.5943e-05
0.596195, 0, 0.000188459, 2.60376e-05, 1.41421, -0.000188459, 2.61788e-05, 2.60376e-05, 2.60386e-05, 2.60428e-05, 2.62394e-05, 2.60573e-05, 2.60419e-05, 2.75037e-05, 2.67729e-05, 2.62646e-05, 0.000148832, 2.61613e-05, 2.60457e-05, 2.6099e-05, 4.03531e-05, 2.60377e-05, 4.71819e-05, 2.60376e-05, 2.72098e-05
0.604068, 0, 0.000301027, 4.36983e-05, 1.41421, -0.000301027, 4.39313e-05, 4.36983e-05, 4.36999e-05, 4.37069e-05, 4.40314e-05, 4.37308e-05, 4.37054e-05, 4.63432e-05, 4.4912e-05, 4.4073e-05, 0.000246384, 4.38537e-05, 4.37116e-05, 4.3784e-05, 6.32962e-05, 4.36984e-05, 7.1704e-05, 4.36983e-05, 4.56332e-05
