   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cl_K, S_K, P_K, Si_K, Br_L, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.429888, 0, 1.48172e-07, 2.54079e-27, 1.41421, -1.48172e-07, 2.54079e-27, 0, 2.54079e-27, 2.54079e-27, 2.54079e-27, 2.54079e-27, 2.54079e-27, 2.54079e-27, 2.54079e-27, 1.03146e-09, 6.84471e-12, 3.0168e-08, 2.54079e-27, 1.16966e-07, 2.54079e-27, 2.54079e-27
0.437763, 0, 2.03749e-07, 9.75297e-27, 1.41421, -2.03749e-07, 9.75297e-27, 0, 9.75297e-27, 9.75297e-27, 9.75297e-27, 9.75297e-27, 9.75297e-27, 9.75297e-27, 9.75297e-27, 1.39435e-09, 1.04761e-11, 4.5397e-08, 9.75297e-27, 1.56948e-07, 9.75297e-27, 9.75297e-27
0.445639, 0, 2.79505e-07, 3.57387e-26, 1.41421, -2.79505e-07, 3.57387e-26, 0, 3.57387e-26, 3.57387e-26, 3.57387e-26, 4.19001e-14, 3.57387e-26, 3.57387e-26, 3.57387e-26, 1.87659e-09, 1.59946e-11, 6.81103e-08, 3.57387e-26, 2.09502e-07, 3.57387e-26, 3.57387e-26
0.453514, 0, 3.82605e-07, 1.25327e-25, 1.41421, -3.82605e-07, 1.25327e-25, 0, 1.25327e-25, 1.25327e-25, 1.25327e-25, 1.32448e-13, 1.25327e-25, 1.25327e-25, 1.25327e-25, 2.51467e-09, 2.43492e-11, 1.0185e-07, 1.25327e-25, 2.78216e-07, 1.25327e-25, 1.25327e-25
0.46139, 0, 5.24072e-07, 4.26742e-25, 1.41421, -5.24072e-07, 5.48694e-12, 0, 2.27271e-14, 1.9185e-14, 1.0092e-11, 2.20022e-12, 7.80918e-12, 2.04791e-12, 1.25871e-09, 3.35545e-09, 3.69452e-11, 1.51748e-07, 3.29614e-15, 3.67632e-07, 4.26742e-25, 1.28582e-11
0.469266, 0, 7.17693e-07, 5.33233e-10, 1.41421, -7.17693e-07, 5.50517e-10, 5.33233e-10, 5.33305e-10, 5.33293e-10, 5.65023e-10, 5.39863e-10, 5.57832e-10, 5.39684e-10, 4.49814e-09, 4.99186e-09, 5.89087e-10, 2.25726e-07, 5.33243e-10, 4.83894e-07, 5.33233e-10, 5.73736e-10
0.477141, 0, 9.82779e-07, 1.67596e-09, 1.41421, -9.82779e-07, 1.71809e-09, 1.67596e-09, 1.67614e-09, 1.67611e-09, 1.75345e-09, 1.69189e-09, 1.73592e-09, 1.69169e-09, 1.13403e-08, 7.57612e-09, 1.76006e-09, 3.34412e-07, 1.67599e-09, 6.34084e-07, 1.67596e-09, 1.77469e-09
0.485017, 0, 1.347e-06, 4.07904e-09, 1.41421, -1.347e-06, 4.1725e-09, 4.07904e-09, 4.07943e-09, 4.07937e-09, 4.25094e-09, 4.11413e-09, 4.21205e-09, 4.11393e-09, 2.55179e-08, 1.18551e-08, 4.20512e-09, 4.9342e-07, 4.0791e-09, 8.27627e-07, 4.07904e-09, 4.29805e-09
0.492892, 0, 1.84982e-06, 9.03956e-09, 1.41421, -1.84982e-06, 9.2371e-09, 9.03956e-09, 9.04038e-09, 9.04025e-09, 9.40289e-09, 9.11338e-09, 9.3207e-09, 9.11329e-09, 5.43552e-08, 1.92471e-08, 9.22767e-09, 7.25148e-07, 9.03968e-09, 1.07655e-06, 9.03956e-09, 9.50248e-09
0.500768, 0, 2.54883e-06, 1.90905e-08, 1.41421, -2.54883e-06, 1.94953e-08, 1.90905e-08, 1.90922e-08, 1.9092e-08, 1.9835e-08, 1.92412e-08, 1.96666e-08, 1.92416e-08, 1.11944e-07, 3.24366e-08, 1.93698e-08, 1.06176e-06, 1.90908e-08, 1.3967e-06, 1.90905e-08, 2.00391e-08
0.508644, 0, 3.53008e-06, 3.90924e-08, 1.41421, -3.53008e-06, 3.99023e-08, 3.90924e-08, 3.90957e-08, 3.90952e-08, 4.05821e-08, 3.94257e-08, 4.02451e-08, 3.93947e-08, 2.24894e-07, 5.64737e-08, 3.95049e-08, 1.55005e-06, 3.90929e-08, 1.80953e-06, 3.90924e-08, 4.09904e-08
