   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_379.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup
0.383666, 0, 7.24774e-09, 1.90832e-32, 1.41421, -7.24774e-09, 1.90832e-32, 0, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 1.90832e-32, 5.83191e-11, 1.90832e-32, 1.90832e-32, 3.12423e-14, 1.90832e-32, 4.88393e-09, 1.90832e-32, 2.30546e-09, 1.90832e-32, 1.90832e-32
0.391529, 0, 1.11096e-08, 9.83482e-32, 1.41421, -1.11096e-08, 9.83482e-32, 0, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 9.83482e-32, 8.426e-11, 9.83482e-32, 9.83482e-32, 4.94579e-14, 9.83482e-32, 7.70209e-09, 9.83482e-32, 3.32318e-09, 9.83482e-32, 9.83482e-32
0.399392, 0, 1.70093e-08, 5.12773e-31, 1.41421, -1.70093e-08, 5.12773e-31, 0, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 5.12773e-31, 1.21001e-10, 5.12773e-31, 5.12773e-31, 7.83015e-14, 5.12773e-31, 1.21289e-08, 5.12773e-31, 4.75927e-09, 5.12773e-31, 5.12773e-31
0.407255, 0, 2.6019e-08, 2.58304e-30, 1.41421, -2.6019e-08, 2.58304e-30, 0, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 2.58304e-30, 1.72725e-10, 2.58304e-30, 2.58304e-30, 1.23971e-13, 2.58304e-30, 1.90738e-08, 2.58304e-30, 6.77234e-09, 2.58304e-30, 2.58304e-30
0.415118, 0, 3.97743e-08, 1.23587e-29, 1.41421, -3.97743e-08, 1.23587e-29, 0, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 1.23587e-29, 2.45113e-10, 1.23587e-29, 1.23587e-29, 1.96255e-13, 1.23587e-29, 2.99533e-08, 1.23587e-29, 9.57573e-09, 1.23587e-29, 1.23587e-29
0.422982, 0, 6.07688e-08, 5.65731e-29, 1.41421, -6.07688e-08, 5.65731e-29, 0, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 5.65731e-29, 3.45834e-10, 5.65731e-29, 5.65731e-29, 3.10568e-13, 5.65731e-29, 4.69683e-08, 5.65731e-29, 1.34544e-08, 5.65731e-29, 5.65731e-29
0.430845, 0, 9.2798e-08, 2.50333e-28, 1.41421, -9.2798e-08, 2.50333e-28, 0, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 2.50333e-28, 4.85182e-10, 2.50333e-28, 2.50333e-28, 4.9111e-13, 2.50333e-28, 7.35263e-08, 2.50333e-28, 1.87861e-08, 2.50333e-28, 2.50333e-28
0.438708, 0, 1.41628e-07, 1.06052e-27, 1.41421, -1.41628e-07, 1.06052e-27, 0, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 1.06052e-27, 6.76907e-10, 1.06052e-27, 1.06052e-27, 7.75725e-13, 1.06052e-27, 1.14882e-07, 1.06052e-27, 2.60686e-08, 1.06052e-27, 1.06052e-27
0.446571, 0, 2.15992e-07, 4.28585e-27, 1.41421, -2.15992e-07, 4.28585e-27, 0, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 4.28585e-27, 9.39265e-10, 4.28585e-27, 4.28585e-27, 1.22332e-12, 4.28585e-27, 1.79099e-07, 4.28585e-27, 3.59527e-08, 4.28585e-27, 4.28585e-27
0.454434, 0, 3.29071e-07, 1.65449e-26, 1.41421, -3.29071e-07, 1.65449e-26, 0, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.65449e-26, 1.29638e-09, 1.65449e-26, 1.65449e-26, 1.92513e-12, 1.65449e-26, 2.78488e-07, 1.65449e-26, 4.92842e-08, 1.65449e-26, 1.65449e-26
