   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_764.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.473919, 0, 7.45292e-08, 1.23809e-26, 1.41421, -7.45292e-08, 0, 1.23809e-26, 1.23809e-26, 1.23809e-26, 1.23809e-26, 1.23809e-26, 1.23809e-26, 1.23809e-26, 1.23809e-26, 5.08956e-10, 1.23809e-26, 1.23809e-26, 4.24587e-10, 1.23809e-26, 1.23809e-26, 7.35957e-08, 1.23809e-26, 1.23809e-26, 1.23809e-26
0.481923, 0, 1.04325e-07, 4.60747e-26, 1.41421, -1.04325e-07, 0, 4.60747e-26, 4.60747e-26, 4.60747e-26, 4.60747e-26, 4.60747e-26, 4.60747e-26, 4.60747e-26, 4.60747e-26, 7.17617e-10, 4.60747e-26, 4.60747e-26, 6.8981e-10, 4.60747e-26, 4.60747e-26, 1.02918e-07, 4.60747e-26, 4.60747e-26, 4.60747e-26
0.489926, 0, 1.45086e-07, 1.64583e-25, 1.41421, -1.45086e-07, 0, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.64583e-25, 1.00609e-09, 1.64583e-25, 1.64583e-25, 1.1158e-09, 1.64583e-25, 1.64583e-25, 1.42964e-07, 1.64583e-25, 1.64583e-25, 1.64583e-25
0.49793, 0, 2.00792e-07, 1.46335e-11, 1.41421, -2.00792e-07, 1.46335e-11, 1.4639e-11, 1.52808e-11, 1.55562e-11, 3.12577e-11, 1.54207e-10, 2.47818e-11, 2.51762e-11, 9.34752e-11, 1.41736e-09, 1.6786e-11, 1.4709e-11, 1.81074e-09, 1.48336e-11, 1.46336e-11, 1.9732e-07, 1.46335e-11, 1.46335e-11, 2.805e-11
0.505933, 0, 2.76344e-07, 4.95571e-11, 1.41421, -2.76344e-07, 4.95571e-11, 4.9576e-11, 5.176e-11, 5.26973e-11, 1.06132e-10, 5.24552e-10, 8.40936e-11, 8.54357e-11, 3.1787e-10, 1.99465e-09, 5.68823e-11, 4.98142e-11, 2.92579e-09, 5.31859e-11, 4.95575e-11, 2.7059e-07, 4.95571e-11, 4.95571e-11, 9.52158e-11
0.513937, 0, 3.78477e-07, 1.316e-10, 1.41421, -3.78477e-07, 1.316e-10, 1.3165e-10, 1.37452e-10, 1.39943e-10, 2.81904e-10, 1.39353e-09, 2.23354e-10, 2.26919e-10, 8.44431e-10, 2.81437e-09, 1.51061e-10, 1.32283e-10, 4.71146e-09, 1.44513e-10, 1.31601e-10, 3.68734e-07, 1.316e-10, 1.316e-10, 2.52902e-10
0.52194, 0, 5.16414e-07, 3.19953e-10, 1.41421, -5.16414e-07, 3.19953e-10, 3.20075e-10, 3.3417e-10, 3.40219e-10, 6.85058e-10, 3.38531e-09, 5.42833e-10, 5.51494e-10, 2.0515e-09, 4.00074e-09, 3.67226e-10, 3.21613e-10, 7.56876e-09, 3.5585e-10, 3.19956e-10, 4.99454e-07, 3.19953e-10, 3.19953e-10, 6.14609e-10
0.529944, 0, 7.02986e-07, 7.42259e-10, 1.41421, -7.02986e-07, 7.42259e-10, 7.42541e-10, 7.75204e-10, 7.89222e-10, 1.58836e-09, 7.84595e-09, 1.25876e-09, 1.27883e-09, 4.75495e-09, 5.76621e-09, 8.51809e-10, 7.46104e-10, 1.21433e-08, 8.32269e-10, 7.42265e-10, 6.72579e-07, 7.42259e-10, 7.42259e-10, 1.4251e-09
0.537947, 0, 9.56813e-07, 1.66709e-09, 1.41421, -9.56813e-07, 1.66709e-09, 1.66773e-09, 1.74102e-09, 1.77248e-09, 3.56568e-09, 1.76073e-08, 2.82609e-09, 2.87113e-09, 1.06713e-08, 8.48929e-09, 1.91292e-09, 1.67572e-09, 1.9482e-08, 1.88021e-09, 1.66711e-09, 9.0079e-07, 1.66709e-09, 1.66709e-09, 3.19934e-09
0.545951, 0, 1.30601e-06, 3.64595e-09, 1.41421, -1.30601e-06, 3.64595e-09, 3.64733e-09, 3.80751e-09, 3.87626e-09, 7.79521e-09, 3.84825e-08, 6.17888e-09, 6.27731e-09, 2.33242e-08, 1.28632e-08, 4.18318e-09, 3.6648e-09, 3.12961e-08, 4.13146e-09, 3.64598e-09, 1.20053e-06, 3.64595e-09, 3.64595e-09, 6.99459e-09
0.553954, 0, 1.79483e-06, 7.78345e-09, 1.41421, -1.79483e-06, 7.78345e-09, 7.7864e-09, 8.12816e-09, 8.27483e-09, 1.66362e-08, 8.21099e-08, 1.31877e-08, 1.33977e-08, 4.97686e-08, 2.01742e-08, 8.92968e-09, 7.82368e-09, 5.04035e-08, 8.85693e-09, 7.78351e-09, 1.59339e-06, 7.78345e-09, 7.78345e-09, 1.4928e-08
0.561958, 0, 2.49557e-06, 1.62381e-08, 1.41421, -2.49557e-06, 1.62381e-08, 1.62442e-08, 1.69569e-08, 1.72627e-08, 3.46975e-08, 1.7122e-07, 2.75067e-08, 2.79446e-08, 1.03783e-07, 3.28121e-08, 1.86282e-08, 1.6322e-08, 8.14739e-08, 1.85513e-08, 1.62382e-08, 2.10836e-06, 1.62381e-08, 1.62381e-08, 3.11356e-08
0.569961, 0, 3.52946e-06, 3.31233e-08, 1.41421, -3.52946e-06, 3.31233e-08, 3.31359e-08, 3.45888e-08, 3.52123e-08, 7.07589e-08, 3.49105e-07, 5.60981e-08, 5.69909e-08, 2.11613e-07, 5.5184e-08, 3.79963e-08, 3.32944e-08, 1.32322e-07, 3.79916e-08, 3.31236e-08, 2.7854e-06, 3.31233e-08, 3.31233e-08, 6.34969e-08
0.577965, 0, 5.10239e-06, 6.60831e-08, 1.41421, -5.10239e-06, 6.60831e-08, 6.61082e-08, 6.90053e-08, 7.02486e-08, 1.41129e-07, 6.96158e-07, 1.11895e-07, 1.13676e-07, 4.21996e-07, 9.53043e-08, 7.57999e-08, 6.64242e-08, 2.15817e-07, 7.61002e-08, 6.60837e-08, 3.68124e-06, 6.60831e-08, 6.60831e-08, 1.26649e-07
0.585968, 0, 7.56573e-06, 1.28968e-07, 1.41421, -7.56573e-06, 1.28968e-07, 1.29017e-07, 1.34668e-07, 1.37093e-07, 2.75347e-07, 1.35794e-06, 2.18326e-07, 2.21799e-07, 8.23184e-07, 1.6749e-07, 1.47921e-07, 1.29634e-07, 3.53399e-07, 1.49132e-07, 1.28969e-07, 4.87923e-06, 1.28968e-07, 1.28968e-07, 2.47103e-07
0.593972, 0, 1.15154e-05, 2.46244e-07, 1.41421, -1.15154e-05, 2.46244e-07, 2.46338e-07, 2.57121e-07, 2.61748e-07, 5.25561e-07, 2.59134e-06, 4.16754e-07, 4.2338e-07, 1.57093e-06, 2.96791e-07, 2.8241e-07, 2.47514e-07, 5.80307e-07, 2.85965e-07, 2.46246e-07, 6.50498e-06, 2.46244e-07, 2.46244e-07, 4.71665e-07
0.601975, 0, 1.79501e-05, 4.60032e-07, 1.41421, -1.79501e-05, 4.60032e-07, 4.60206e-07, 4.80337e-07, 4.88976e-07, 9.81496e-07, 4.83816e-06, 7.78362e-07, 7.90732e-07, 2.93312e-06, 5.2606e-07, 5.2755e-07, 4.62402e-07, 9.53901e-07, 5.36627e-07, 4.60035e-07, 8.75177e-06, 4.60032e-07, 4.60032e-07, 8.80877e-07
0.609979, 0, 2.85157e-05, 8.40983e-07, 1.41421, -2.85157e-05, 8.40983e-07, 8.41302e-07, 8.78075e-07, 8.93857e-07, 1.79356e-06, 8.83862e-06, 1.42249e-06, 1.44508e-06, 5.35865e-06, 9.26868e-07, 9.6432e-07, 8.45313e-07, 1.56626e-06, 9.85591e-07, 8.4099e-07, 1.19198e-05, 8.40983e-07, 8.40983e-07, 1.60975e-06
0.617982, 0, 4.58722e-05, 1.50456e-06, 1.41421, -4.58722e-05, 1.50456e-06, 1.50513e-06, 1.57087e-06, 1.59908e-06, 3.20734e-06, 1.58008e-05, 2.54403e-06, 2.58442e-06, 9.58014e-06, 1.61583e-06, 1.72503e-06, 1.5123e-06, 2.56286e-06, 1.7719e-06, 1.50458e-06, 1.64776e-05, 1.50456e-06, 1.50456e-06, 2.87878e-06
