   PIQUANT 0.0.0-main  ps__0661_0725638583_000rfs_shot_238.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.495849, 0, 3.76078e-05, 7.70719e-07, 1.41421, -3.76078e-05, 7.77364e-07, 7.70719e-07, 7.70732e-07, 7.70769e-07, 7.70833e-07, 7.70735e-07, 7.74002e-07, 7.83467e-07, 8.54319e-07, 7.71145e-07, 7.70736e-07, 7.81318e-07, 9.43196e-07, 7.7072e-07, 3.7249e-05, 7.70719e-07, 8.39537e-07
0.503807, 0, 4.89708e-05, 1.59334e-06, 1.41421, -4.89708e-05, 1.60676e-06, 1.59334e-06, 1.59337e-06, 1.59345e-06, 1.59357e-06, 1.59338e-06, 1.59998e-06, 1.61909e-06, 1.70236e-06, 1.5942e-06, 1.59338e-06, 1.60904e-06, 1.84269e-06, 1.59335e-06, 4.84107e-05, 1.59334e-06, 1.73232e-06
0.511765, 0, 6.39691e-05, 3.22287e-06, 1.41421, -6.39691e-05, 3.24943e-06, 3.22287e-06, 3.22292e-06, 3.22307e-06, 3.22332e-06, 3.22293e-06, 3.23599e-06, 3.27383e-06, 3.36446e-06, 3.22457e-06, 3.22294e-06, 3.24597e-06, 3.58094e-06, 3.22287e-06, 6.30781e-05, 3.22287e-06, 3.49794e-06
0.519723, 0, 8.40511e-05, 6.34674e-06, 1.41421, -8.40511e-05, 6.39812e-06, 6.34674e-06, 6.34683e-06, 6.34713e-06, 6.34761e-06, 6.34686e-06, 6.37212e-06, 6.44531e-06, 6.52991e-06, 6.35003e-06, 6.34687e-06, 6.38054e-06, 6.85773e-06, 6.34675e-06, 8.26108e-05, 6.34674e-06, 6.87884e-06
0.52768, 0, 0.000111537, 1.22586e-05, 1.41421, -0.000111537, 1.23561e-05, 1.22586e-05, 1.22587e-05, 1.22593e-05, 1.22602e-05, 1.22588e-05, 1.23067e-05, 1.24456e-05, 1.24946e-05, 1.22648e-05, 1.22588e-05, 1.23077e-05, 1.29832e-05, 1.22586e-05, 0.000109175, 1.22586e-05, 1.32685e-05
0.535638, 0, 0.000150101, 2.32328e-05, 1.41421, -0.000150101, 2.34145e-05, 2.32328e-05, 2.32331e-05, 2.32342e-05, 2.32359e-05, 2.32332e-05, 2.33226e-05, 2.35813e-05, 2.35357e-05, 2.32444e-05, 2.32333e-05, 2.33039e-05, 2.42539e-05, 2.32328e-05, 0.000146187, 2.32328e-05, 2.51143e-05
0.543596, 0, 0.00020566, 4.32183e-05, 1.41421, -0.00020566, 4.35506e-05, 4.32183e-05, 4.32189e-05, 4.32208e-05, 4.3224e-05, 4.32191e-05, 4.33825e-05, 4.38557e-05, 4.36056e-05, 4.32396e-05, 4.32192e-05, 4.33205e-05, 4.46481e-05, 4.32184e-05, 0.000199134, 4.32183e-05, 4.66593e-05
0.551554, 0, 0.00028775, 7.89275e-05, 1.41421, -0.00028775, 7.95242e-05, 7.89275e-05, 7.89286e-05, 7.8932e-05, 7.89377e-05, 7.8929e-05, 7.92223e-05, 8.00722e-05, 7.94208e-05, 7.89657e-05, 7.89291e-05, 7.90734e-05, 8.0917e-05, 7.89276e-05, 0.000276849, 7.89275e-05, 8.51065e-05
0.559512, 0, 0.000411666, 0.000141533, 1.41421, -0.000411666, 0.000142585, 0.000141533, 0.000141535, 0.000141541, 0.000141551, 0.000141536, 0.000142053, 0.000143552, 0.000142159, 0.0001416, 0.000141536, 0.00014174, 0.000144285, 0.000141533, 0.000393494, 0.000141533, 0.000152429
0.567469, 0, 0.000601758, 0.000249245, 1.41421, -0.000601758, 0.000251068, 0.000249245, 0.000249249, 0.000249259, 0.000249277, 0.00024925, 0.000250146, 0.000252742, 0.000250037, 0.000249362, 0.00024925, 0.000249538, 0.000253029, 0.000249246, 0.000571624, 0.000249245, 0.000268119
