   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_247.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.573042, 0, 0.014219, 0.0117938, 1.41421, -0.014219, 0.0117938, 0.011794, 0.0117942, 0.0117963, 0.0118424, 0.0119526, 0.0118077, 0.0117966, 0.0117938, 0.0118039, 0.0119521, 0.0128312, 0.0117938, 0.0127855
0.581151, 0, 0.0199525, 0.0166435, 1.41421, -0.0199525, 0.0166435, 0.0166439, 0.016644, 0.0166471, 0.0167122, 0.0168679, 0.0166601, 0.0166475, 0.0166436, 0.0166566, 0.016841, 0.0180225, 0.0166435, 0.0180445
0.58926, 0, 0.0277018, 0.0232028, 1.41421, -0.0277018, 0.0232028, 0.0232033, 0.0232035, 0.0232078, 0.0232987, 0.0235159, 0.0232225, 0.0232083, 0.0232029, 0.0232196, 0.0234489, 0.0250426, 0.0232028, 0.0251581
0.597368, 0, 0.0380495, 0.0319607, 1.41421, -0.0380495, 0.0319607, 0.0319614, 0.0319618, 0.0319677, 0.0320929, 0.0323924, 0.0319842, 0.0319683, 0.0319609, 0.0319824, 0.0322669, 0.0344209, 0.0319607, 0.0346574
0.605477, 0, 0.0517014, 0.0435061, 1.41421, -0.0517014, 0.0435061, 0.0435071, 0.0435076, 0.0435156, 0.0436863, 0.0440944, 0.0435339, 0.0435165, 0.0435064, 0.0435339, 0.0438863, 0.0467986, 0.0435061, 0.0471821
0.613586, 0, 0.0694984, 0.0585355, 1.41421, -0.0694984, 0.0585355, 0.0585368, 0.0585375, 0.0585483, 0.0587782, 0.0593277, 0.0585684, 0.0585495, 0.0585359, 0.0585709, 0.0590067, 0.0629399, 0.0585355, 0.0634891
0.621695, 0, 0.0924256, 0.0778574, 1.41421, -0.0924256, 0.0778574, 0.0778592, 0.07786, 0.0778744, 0.0781805, 0.0789123, 0.0778963, 0.0778761, 0.0778579, 0.0779024, 0.0784399, 0.0837406, 0.0778574, 0.0844575
0.629803, 0, 0.121619, 0.102393, 1.41421, -0.121619, 0.102393, 0.102396, 0.102397, 0.102416, 0.102819, 0.103782, 0.102439, 0.102418, 0.102394, 0.10245, 0.103111, 0.110233, 0.102393, 0.11109
0.637912, 0, 0.158362, 0.133171, 1.41421, -0.158362, 0.133171, 0.133174, 0.133176, 0.1332, 0.133725, 0.134979, 0.133225, 0.133203, 0.133172, 0.133243, 0.134053, 0.143586, 0.133171, 0.144507
0.646021, 0.978757, 0.204085, 0.171314, 1.72591, 0.774672, 0.171314, 0.171318, 0.17132, 0.171352, 0.172028, 0.173643, 0.171377, 0.171355, 0.171315, 0.171405, 0.172393, 0.185101, 0.171314, 0.185933
0.65413, 0.0212435, 0.260348, 0.218022, 1.4217, -0.239104, 0.218022, 0.218027, 0.21803, 0.21807, 0.218931, 0.22099, 0.218096, 0.218074, 0.218024, 0.218136, 0.219337, 0.236197, 0.218022, 0.236679
0.662239, 0, 0.328824, 0.274544, 1.41421, -0.328824, 0.274544, 0.27455, 0.274553, 0.274604, 0.27569, 0.278287, 0.27463, 0.27461, 0.274546, 0.274686, 0.276137, 0.298398, 0.274544, 0.298115
0.670347, 0, 0.411266, 0.342141, 1.41421, -0.411266, 0.342141, 0.342148, 0.342152, 0.342216, 0.343572, 0.346812, 0.342241, 0.342223, 0.342143, 0.342317, 0.344061, 0.373302, 0.342141, 0.371626
0.678456, 0, 0.509479, 0.422047, 1.41421, -0.509479, 0.422047, 0.422057, 0.422062, 0.422141, 0.423815, 0.427819, 0.422164, 0.422149, 0.422051, 0.422267, 0.424347, 0.462552, 0.422047, 0.458579
0.686565, 0, 0.625276, 0.515422, 1.41421, -0.625276, 0.515422, 0.515433, 0.515439, 0.515536, 0.517584, 0.522481, 0.515556, 0.515545, 0.515426, 0.515692, 0.518158, 0.567799, 0.515422, 0.560264
0.694674, 0, 0.760433, 0.623291, 1.41421, -0.760433, 0.623291, 0.623306, 0.623313, 0.623429, 0.625911, 0.631843, 0.623445, 0.623441, 0.623296, 0.623625, 0.626525, 0.690657, 0.623291, 0.677846
0.702782, 2.88562, 0.916642, 0.746502, 2.21034, 1.96898, 0.746502, 0.746519, 0.746527, 0.746667, 0.749645, 0.756763, 0.746678, 0.746681, 0.746508, 0.746911, 0.750296, 0.83266, 0.746502, 0.812307
0.710891, 2.11438, 1.09546, 0.885658, 2.02839, 1.01892, 0.885658, 0.885678, 0.885688, 0.885855, 0.889394, 0.897855, 0.885858, 0.88587, 0.885665, 0.886159, 0.890074, 0.995212, 0.885658, 0.964389
0.719, 0, 1.29828, 1.04108, 1.41421, -1.29828, 1.04108, 1.0411, 1.04111, 1.04131, 1.04548, 1.05545, 1.0413, 1.04133, 1.04109, 1.04169, 1.04618, 1.17954, 1.04108, 1.13455
0.727109, 0.954648, 1.52626, 1.21275, 1.71891, -0.57161, 1.21275, 1.21277, 1.21279, 1.21302, 1.21788, 1.22952, 1.213, 1.21304, 1.21276, 1.21349, 1.21859, 1.38667, 1.21275, 1.32294
0.735218, 2.04535, 1.78031, 1.40028, 2.01131, 0.26504, 1.40028, 1.40032, 1.40033, 1.4006, 1.40623, 1.4197, 1.40057, 1.40062, 1.4003, 1.40119, 1.40692, 1.61733, 1.40028, 1.52934
0.743326, 1.89965, 2.06108, 1.60292, 1.97475, -0.161431, 1.60292, 1.60296, 1.60298, 1.60328, 1.60975, 1.6252, 1.60324, 1.60331, 1.60294, 1.60401, 1.6104, 1.87197, 1.60292, 1.75319
0.751435, 6.78479, 2.3689, 1.8195, 2.96391, 4.41589, 1.8195, 1.81955, 1.81957, 1.81991, 1.82727, 1.84486, 1.81985, 1.81994, 1.81952, 1.82082, 1.82785, 2.15073, 1.8195, 1.99357
0.759544, 6.15056, 2.70382, 2.04848, 2.85492, 3.44674, 2.04848, 2.04853, 2.04855, 2.04894, 2.05725, 2.07711, 2.04887, 2.04897, 2.04851, 2.05006, 2.05772, 2.45335, 2.04848, 2.24925
0.767653, 0.165005, 3.06561, 2.28796, 1.4714, -2.9006, 2.28796, 2.28801, 2.28804, 2.28847, 2.29778, 2.32002, 2.28838, 2.2885, 2.28799, 2.28985, 2.2981, 2.77923, 2.28796, 2.51875
