   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_124.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.422244, 0, 4.77781e-08, 3.56232e-29, 1.41421, -4.77781e-08, 3.56232e-29, 0, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 3.56232e-29, 2.33414e-10, 3.56232e-29, 3.56232e-29, 3.87119e-12, 3.56232e-29, 6.97151e-09, 3.56232e-29, 4.05693e-08, 3.56232e-29, 3.56232e-29, 3.56232e-29
0.430108, 0, 6.7357e-08, 1.60769e-28, 1.41421, -6.7357e-08, 1.60769e-28, 0, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 1.60769e-28, 3.25165e-10, 1.60769e-28, 1.60769e-28, 6.0722e-12, 1.60769e-28, 1.08177e-08, 1.60769e-28, 5.6208e-08, 1.60769e-28, 1.60769e-28, 1.60769e-28
0.437972, 0, 9.46251e-08, 6.87171e-28, 1.41421, -9.46251e-08, 6.87171e-28, 0, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 6.87171e-28, 4.50613e-10, 6.87171e-28, 6.87171e-28, 9.51221e-12, 6.87171e-28, 1.67515e-08, 6.87171e-28, 7.74135e-08, 6.87171e-28, 6.87171e-28, 6.87171e-28
0.445836, 0, 1.32508e-07, 2.78975e-27, 1.41421, -1.32508e-07, 2.78975e-27, 0, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 2.78975e-27, 6.2126e-10, 2.78975e-27, 2.78975e-27, 1.48748e-11, 2.78975e-27, 2.58789e-08, 2.78975e-27, 1.05993e-07, 2.78975e-27, 2.78975e-27, 2.78975e-27
0.4537, 0, 1.85026e-07, 1.07867e-26, 1.41421, -1.85026e-07, 1.07867e-26, 0, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 1.07867e-26, 8.52242e-10, 1.07867e-26, 1.07867e-26, 2.32087e-11, 1.07867e-26, 3.98716e-08, 1.07867e-26, 1.44279e-07, 1.07867e-26, 1.07867e-26, 1.07867e-26
0.461564, 0, 2.57702e-07, 3.98224e-26, 1.41421, -2.57702e-07, 3.98224e-26, 0, 3.98224e-26, 3.98224e-26, 3.98224e-26, 3.98224e-26, 3.98224e-26, 3.98224e-26, 1.22354e-13, 3.98224e-26, 3.98224e-26, 3.98224e-26, 1.16336e-09, 3.98224e-26, 3.98224e-26, 3.61132e-11, 3.98224e-26, 6.12398e-08, 3.98224e-26, 1.95263e-07, 3.98224e-26, 3.98224e-26, 3.98224e-26
0.469428, 0, 3.58122e-07, 1.40708e-25, 1.41421, -3.58122e-07, 1.40708e-25, 0, 1.40708e-25, 1.40708e-25, 1.40708e-25, 1.40708e-25, 1.40708e-25, 1.40708e-25, 3.9744e-13, 1.40708e-25, 1.40708e-25, 1.40708e-25, 1.58042e-09, 1.40708e-25, 1.40708e-25, 5.60131e-11, 1.40708e-25, 9.37291e-08, 1.40708e-25, 2.62756e-07, 1.40708e-25, 1.40708e-25, 1.40708e-25
0.477291, 0, 4.98187e-07, 4.82412e-25, 1.41421, -4.98187e-07, 8.42857e-12, 0, 1.53084e-14, 5.28641e-14, 1.14102e-11, 1.62972e-13, 2.28145e-13, 5.38907e-14, 6.52858e-12, 8.72998e-12, 3.42793e-12, 1.38438e-09, 2.13693e-09, 2.04635e-13, 3.56201e-14, 8.65615e-11, 1.16315e-14, 1.4289e-07, 2.70452e-15, 3.51634e-07, 4.82412e-25, 4.82412e-25, 1.56673e-11
0.485155, 0, 6.93353e-07, 8.29665e-10, 1.41421, -6.93353e-07, 8.56939e-10, 8.29665e-10, 8.29714e-10, 8.29836e-10, 8.66588e-10, 8.30192e-10, 8.30403e-10, 8.29839e-10, 8.49845e-10, 8.57915e-10, 8.40757e-10, 5.30947e-09, 3.70571e-09, 8.30327e-10, 8.2978e-10, 9.62898e-10, 8.29812e-10, 2.17712e-07, 8.29673e-10, 4.68805e-07, 8.29665e-10, 8.29665e-10, 8.80363e-10
0.493019, 0, 9.65465e-07, 2.67479e-09, 1.41421, -9.65465e-07, 2.74321e-09, 2.67479e-09, 2.67492e-09, 2.67522e-09, 2.76742e-09, 2.67612e-09, 2.67665e-09, 2.67523e-09, 2.72467e-09, 2.74566e-09, 2.70262e-09, 1.39125e-08, 6.52799e-09, 2.67645e-09, 2.67508e-09, 2.87895e-09, 2.67535e-09, 3.30283e-07, 2.67482e-09, 6.22118e-07, 2.67479e-09, 2.67479e-09, 2.80197e-09
