   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_859.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Cr_K, Ti_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.358167, 0, 1.04382e-08, 2.01297e-31, 1.41421, -1.04382e-08, 0, 2.01297e-31, 2.01297e-31, 2.01297e-31, 2.01297e-31, 2.01297e-31, 2.01297e-31, 2.01297e-31, 2.01297e-31, 4.94257e-11, 2.01297e-31, 2.01297e-31, 2.33714e-10, 2.01297e-31, 1.01551e-08, 2.01297e-31, 2.01297e-31, 2.01297e-31
0.366012, 0, 1.41984e-08, 1.0859e-30, 1.41421, -1.41984e-08, 0, 1.0859e-30, 1.0859e-30, 1.0859e-30, 1.0859e-30, 1.0859e-30, 1.0859e-30, 1.0859e-30, 1.0859e-30, 6.7271e-11, 1.0859e-30, 1.0859e-30, 3.52155e-10, 1.0859e-30, 1.3779e-08, 1.0859e-30, 1.0859e-30, 1.0859e-30
0.373857, 0, 1.92298e-08, 5.49521e-30, 1.41421, -1.92298e-08, 0, 5.49521e-30, 5.49521e-30, 5.49521e-30, 5.49521e-30, 5.49521e-30, 5.49521e-30, 5.49521e-30, 5.49521e-30, 9.11648e-11, 5.49521e-30, 5.49521e-30, 5.30447e-10, 5.49521e-30, 1.86081e-08, 5.49521e-30, 5.49521e-30, 5.49521e-30
0.381703, 0, 2.5934e-08, 2.61584e-29, 1.41421, -2.5934e-08, 0, 2.61584e-29, 2.61584e-29, 2.61584e-29, 2.61584e-29, 2.61584e-29, 2.61584e-29, 2.61584e-29, 2.61584e-29, 1.23021e-10, 2.61584e-29, 2.61584e-29, 7.98516e-10, 2.61584e-29, 2.50124e-08, 2.61584e-29, 2.61584e-29, 2.61584e-29
0.389548, 0, 3.48312e-08, 1.17606e-28, 1.41421, -3.48312e-08, 0, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.17606e-28, 1.65317e-10, 1.17606e-28, 1.17606e-28, 1.20093e-09, 1.17606e-28, 3.34649e-08, 1.17606e-28, 1.17606e-28, 1.17606e-28
0.397393, 0, 4.65925e-08, 5.00574e-28, 1.41421, -4.65925e-08, 0, 5.00574e-28, 5.00574e-28, 5.00574e-28, 5.00574e-28, 5.00574e-28, 5.00574e-28, 5.00574e-28, 5.00574e-28, 2.21242e-10, 5.00574e-28, 5.00574e-28, 1.8038e-09, 5.00574e-28, 4.45674e-08, 5.00574e-28, 5.00574e-28, 5.00574e-28
0.405238, 0, 6.20818e-08, 2.02239e-27, 1.41421, -6.20818e-08, 0, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.02239e-27, 2.94892e-10, 2.02239e-27, 2.02239e-27, 2.70486e-09, 2.02239e-27, 5.90821e-08, 2.02239e-27, 2.02239e-27, 2.02239e-27
0.413083, 0, 8.24079e-08, 7.77574e-27, 1.41421, -8.24079e-08, 0, 7.77574e-27, 7.77574e-27, 7.77574e-27, 7.77574e-27, 7.77574e-27, 7.77574e-27, 7.77574e-27, 7.77574e-27, 3.91501e-10, 7.77574e-27, 7.77574e-27, 4.04784e-09, 7.77574e-27, 7.79686e-08, 7.77574e-27, 7.77574e-27, 7.77574e-27
0.420928, 0, 1.0899e-07, 2.85215e-26, 1.41421, -1.0899e-07, 0, 2.85215e-26, 2.85215e-26, 2.85215e-26, 2.85215e-26, 2.85215e-26, 2.85215e-26, 2.85215e-26, 2.85215e-26, 5.17735e-10, 2.85215e-26, 2.85215e-26, 6.04318e-09, 2.85215e-26, 1.02429e-07, 2.85215e-26, 2.85215e-26, 2.85215e-26
0.428773, 0, 1.43643e-07, 1.00047e-25, 1.41421, -1.43643e-07, 0, 1.00047e-25, 1.00047e-25, 1.00047e-25, 1.00047e-25, 1.00047e-25, 1.00047e-25, 1.00047e-25, 1.00047e-25, 6.82049e-10, 1.00047e-25, 1.00047e-25, 8.99746e-09, 1.00047e-25, 1.33964e-07, 1.00047e-25, 1.00047e-25, 1.00047e-25
0.436619, 0, 1.88681e-07, 3.39456e-25, 1.41421, -1.88681e-07, 0, 3.39456e-25, 3.39456e-25, 3.39456e-25, 3.39456e-25, 3.39456e-25, 3.39456e-25, 3.39456e-25, 3.39456e-25, 8.9513e-10, 3.39456e-25, 3.39456e-25, 1.33549e-08, 3.39456e-25, 1.74431e-07, 3.39456e-25, 3.39456e-25, 3.39456e-25
0.444464, 0, 2.47576e-07, 1.60264e-11, 1.41421, -2.47576e-07, 1.60264e-11, 1.60303e-11, 1.9909e-11, 1.91137e-11, 6.5072e-11, 2.86209e-10, 2.65168e-11, 3.33575e-11, 1.22872e-10, 1.18648e-09, 1.76054e-11, 1.6117e-11, 1.97715e-08, 1.61718e-11, 2.26173e-07, 1.60264e-11, 1.60264e-11, 3.06494e-11
0.452309, 0, 3.2411e-07, 4.92512e-11, 1.41421, -3.2411e-07, 4.92512e-11, 4.92628e-11, 6.10237e-11, 5.86121e-11, 1.97965e-10, 8.68484e-10, 8.10596e-11, 1.01802e-10, 3.73223e-10, 1.57415e-09, 5.40387e-11, 4.95259e-11, 2.9169e-08, 5.28224e-11, 2.92015e-07, 4.92512e-11, 4.92512e-11, 9.35904e-11
0.460154, 0, 4.23638e-07, 1.16332e-10, 1.41421, -4.23638e-07, 1.16332e-10, 1.1636e-10, 1.43868e-10, 1.38227e-10, 4.64171e-10, 2.03251e-09, 1.90732e-10, 2.39247e-10, 8.74099e-10, 2.09586e-09, 1.2753e-10, 1.16975e-10, 4.28695e-08, 1.26888e-10, 3.75511e-07, 1.16332e-10, 1.16332e-10, 2.20041e-10
0.467999, 0, 5.53231e-07, 2.48982e-10, 1.41421, -5.53231e-07, 2.48982e-10, 2.4904e-10, 3.07504e-10, 2.95516e-10, 9.88245e-10, 4.32143e-09, 4.07104e-10, 5.10213e-10, 1.85947e-09, 2.80959e-09, 2.72782e-10, 2.50348e-10, 6.27575e-08, 2.74343e-10, 4.80944e-07, 2.48982e-10, 2.48982e-10, 4.69395e-10
0.475844, 0, 7.22529e-07, 5.06587e-10, 1.41421, -7.22529e-07, 5.06587e-10, 5.06705e-10, 6.25061e-10, 6.00792e-10, 2.00318e-09, 8.75102e-09, 8.26695e-10, 1.03543e-09, 3.76692e-09, 3.80725e-09, 5.54768e-10, 5.09353e-10, 9.14999e-08, 5.62015e-10, 6.13619e-07, 5.06587e-10, 5.06587e-10, 9.528e-10
0.48369, 0, 9.44885e-07, 9.98527e-10, 1.41421, -9.44885e-07, 9.98527e-10, 9.98758e-10, 1.23119e-09, 1.18353e-09, 3.93763e-09, 1.71894e-08, 1.62717e-09, 2.03711e-09, 7.40135e-09, 5.23841e-09, 1.09315e-09, 1.00396e-09, 1.32856e-07, 1.11327e-09, 7.80078e-07, 9.98527e-10, 9.98527e-10, 1.87482e-09
0.491535, 0, 1.23918e-06, 1.92294e-09, 1.41421, -1.23918e-06, 1.92294e-09, 1.92338e-09, 2.36974e-09, 2.27821e-09, 7.56708e-09, 3.30154e-08, 3.13017e-09, 3.91739e-09, 1.42187e-08, 7.35058e-09, 2.10464e-09, 1.93337e-09, 1.92099e-07, 2.1521e-09, 9.88436e-07, 1.92294e-09, 1.92294e-09, 3.60575e-09
