   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_141.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.460703, 0, 2.99071e-07, 7.92729e-26, 1.41421, -2.99071e-07, 7.92729e-26, 0, 7.92729e-26, 7.92729e-26, 7.92729e-26, 7.92729e-26, 7.92729e-26, 2.11662e-13, 7.92729e-26, 7.92729e-26, 7.92729e-26, 1.21444e-09, 7.92729e-26, 7.92729e-26, 8.43729e-12, 5.66233e-08, 7.92729e-26, 2.41225e-07, 7.92729e-26, 7.92729e-26
0.468568, 0, 4.11581e-07, 2.72708e-25, 1.41421, -4.11581e-07, 3.56877e-12, 0, 8.83694e-15, 6.57656e-15, 5.25026e-12, 8.52867e-12, 3.89403e-13, 3.47112e-12, 7.21903e-12, 3.59877e-12, 8.97325e-10, 1.64143e-09, 6.40848e-13, 5.08015e-14, 1.29982e-11, 8.61203e-08, 1.48265e-15, 3.22865e-07, 2.72708e-25, 1.09487e-11
0.476434, 0, 5.66035e-07, 5.26804e-10, 1.41421, -5.66035e-07, 5.38374e-10, 5.26804e-10, 5.26832e-10, 5.26825e-10, 5.43825e-10, 5.54454e-10, 5.28066e-10, 5.37553e-10, 5.50208e-10, 5.38471e-10, 3.43596e-09, 2.73522e-09, 5.28881e-10, 5.26968e-10, 5.46757e-10, 1.30975e-07, 5.26808e-10, 4.30308e-07, 5.26804e-10, 5.623e-10
0.4843, 0, 7.78113e-07, 1.70799e-09, 1.41421, -7.78113e-07, 1.73709e-09, 1.70799e-09, 1.70806e-09, 1.70805e-09, 1.7508e-09, 1.77752e-09, 1.71117e-09, 1.73462e-09, 1.76685e-09, 1.73733e-09, 9.02353e-09, 4.66592e-09, 1.71322e-09, 1.70841e-09, 1.7385e-09, 1.98412e-07, 1.708e-09, 5.7075e-07, 1.70799e-09, 1.79725e-09
0.492166, 0, 1.07056e-06, 4.29423e-09, 1.41421, -1.07056e-06, 4.36089e-09, 4.29423e-09, 4.29439e-09, 4.29435e-09, 4.39231e-09, 4.45355e-09, 4.3015e-09, 4.35479e-09, 4.42908e-09, 4.36145e-09, 2.1057e-08, 8.23856e-09, 4.3062e-09, 4.29518e-09, 4.34066e-09, 2.99448e-07, 4.29425e-09, 7.5384e-07, 4.29423e-09, 4.49876e-09
0.500032, 0, 1.47635e-06, 9.83454e-09, 1.41421, -1.47635e-06, 9.98013e-09, 9.83454e-09, 9.8349e-09, 9.83481e-09, 1.00487e-08, 1.01825e-08, 9.85043e-09, 9.96614e-09, 1.0129e-08, 9.98136e-09, 4.64419e-08, 1.50713e-08, 9.86069e-09, 9.83661e-09, 9.90489e-09, 4.5037e-07, 9.8346e-09, 9.92128e-07, 9.83454e-09, 1.02812e-08
0.507897, 0, 2.04459e-06, 2.14665e-08, 1.41421, -2.04459e-06, 2.17746e-08, 2.14665e-08, 2.14673e-08, 2.14671e-08, 2.19198e-08, 2.22028e-08, 2.15001e-08, 2.17438e-08, 2.20898e-08, 2.17772e-08, 9.89344e-08, 2.83894e-08, 2.15218e-08, 2.14709e-08, 2.15726e-08, 6.75299e-07, 2.14667e-08, 1.30251e-06, 2.14665e-08, 2.24117e-08
0.515763, 0, 2.85093e-06, 4.54032e-08, 1.41421, -2.85093e-06, 4.60393e-08, 4.54032e-08, 4.54048e-08, 4.54044e-08, 4.63391e-08, 4.69235e-08, 4.54726e-08, 4.60264e-08, 4.669e-08, 4.60447e-08, 2.05353e-07, 5.45161e-08, 4.55174e-08, 4.54123e-08, 4.55622e-08, 1.01094e-06, 4.54035e-08, 1.70837e-06, 4.54032e-08, 4.73548e-08
0.523629, 0, 4.01062e-06, 9.36963e-08, 1.41421, -4.01062e-06, 9.49818e-08, 9.36963e-08, 9.36995e-08, 9.36987e-08, 9.55874e-08, 9.67683e-08, 9.38366e-08, 9.50161e-08, 9.62965e-08, 9.49926e-08, 4.16903e-07, 1.05642e-07, 9.39272e-08, 9.37146e-08, 9.39333e-08, 1.50982e-06, 9.36969e-08, 2.24331e-06, 9.36963e-08, 9.76399e-08
0.531495, 0, 5.70929e-06, 1.89233e-07, 1.41421, -5.70929e-06, 1.91778e-07, 1.89233e-07, 1.89239e-07, 1.89237e-07, 1.92978e-07, 1.95316e-07, 1.89511e-07, 1.92598e-07, 1.94382e-07, 1.918e-07, 8.29309e-07, 2.04825e-07, 1.8969e-07, 1.89269e-07, 1.89584e-07, 2.25295e-06, 1.89234e-07, 2.95751e-06, 1.89233e-07, 1.97043e-07
