   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_136.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.46985, 0, 3.89958e-07, 5.15332e-25, 1.41421, -3.89958e-07, 5.28922e-12, 0, 9.89389e-15, 4.80489e-14, 4.80917e-13, 2.0697e-13, 5.49244e-11, 1.16851e-11, 1.49067e-11, 6.05771e-12, 1.79243e-09, 1.26492e-09, 8.34585e-13, 6.77082e-14, 7.84232e-11, 3.13133e-14, 6.57729e-09, 1.7835e-15, 3.8013e-07, 5.15332e-25, 2.08827e-11
0.477708, 0, 5.20306e-07, 8.48542e-10, 1.41421, -5.20306e-07, 8.65294e-10, 8.48542e-10, 8.48573e-10, 8.48694e-10, 8.50065e-10, 8.49197e-10, 1.0225e-09, 8.83932e-10, 8.95754e-10, 8.67728e-10, 6.52556e-09, 2.53676e-09, 8.51185e-10, 8.48756e-10, 9.67779e-10, 8.48945e-10, 1.06882e-08, 8.48547e-10, 5.02618e-07, 8.48542e-10, 9.14682e-10
0.485566, 0, 6.93571e-07, 2.67822e-09, 1.41421, -6.93571e-07, 2.7193e-09, 2.67822e-09, 2.6783e-09, 2.67859e-09, 2.68195e-09, 2.67983e-09, 3.10485e-09, 2.76376e-09, 2.79401e-09, 2.72527e-09, 1.6601e-08, 4.92188e-09, 2.6847e-09, 2.67874e-09, 2.85875e-09, 2.67969e-09, 1.73319e-08, 2.67823e-09, 6.61678e-07, 2.67822e-09, 2.84043e-09
0.493424, 0, 9.25946e-07, 6.55539e-09, 1.41421, -9.25946e-07, 6.64712e-09, 6.55539e-09, 6.55556e-09, 6.55622e-09, 6.56373e-09, 6.55898e-09, 7.50796e-09, 6.74499e-09, 6.81392e-09, 6.66045e-09, 3.76421e-08, 9.52483e-09, 6.56986e-09, 6.55656e-09, 6.82748e-09, 6.5593e-09, 2.82722e-08, 6.55542e-09, 8.67909e-07, 6.55539e-09, 6.91756e-09
0.501283, 0, 1.24185e-06, 1.4617e-08, 1.41421, -1.24185e-06, 1.48121e-08, 1.4617e-08, 1.46173e-08, 1.46187e-08, 1.46347e-08, 1.46246e-08, 1.66436e-08, 1.50184e-08, 1.5167e-08, 1.48405e-08, 8.07558e-08, 1.85308e-08, 1.46478e-08, 1.46195e-08, 1.50251e-08, 1.46262e-08, 4.66351e-08, 1.4617e-08, 1.13513e-06, 1.4617e-08, 1.53875e-08
0.509141, 0, 1.68e-06, 3.10677e-08, 1.41421, -1.68e-06, 3.14702e-08, 3.10677e-08, 3.10684e-08, 3.10713e-08, 3.11043e-08, 3.10834e-08, 3.5247e-08, 3.18923e-08, 3.2202e-08, 3.15286e-08, 1.67459e-07, 3.62053e-08, 3.11312e-08, 3.10728e-08, 3.16767e-08, 3.1088e-08, 7.8022e-08, 3.10678e-08, 1.48217e-06, 3.10677e-08, 3.26567e-08
0.516999, 0, 2.30383e-06, 6.4013e-08, 1.41421, -2.30383e-06, 6.48233e-08, 6.4013e-08, 6.40146e-08, 6.40204e-08, 6.40867e-08, 6.40447e-08, 7.2427e-08, 6.58398e-08, 6.62966e-08, 6.4941e-08, 3.38599e-07, 7.07298e-08, 6.41409e-08, 6.40234e-08, 6.49169e-08, 6.40562e-08, 1.32539e-07, 6.40133e-08, 1.93534e-06, 6.4013e-08, 6.72121e-08
0.524858, 0, 3.21897e-06, 1.2878e-07, 1.41421, -3.21897e-06, 1.30378e-07, 1.2878e-07, 1.28783e-07, 1.28795e-07, 1.28926e-07, 1.28843e-07, 1.45371e-07, 1.32579e-07, 1.33283e-07, 1.3061e-07, 6.70202e-07, 1.37527e-07, 1.29032e-07, 1.28801e-07, 1.30114e-07, 1.28869e-07, 2.28122e-07, 1.28781e-07, 2.53291e-06, 1.2878e-07, 1.35088e-07
0.532716, 0, 4.60663e-06, 2.53767e-07, 1.41421, -4.60663e-06, 2.56857e-07, 2.53767e-07, 2.53772e-07, 2.53795e-07, 2.54048e-07, 2.53887e-07, 2.85855e-07, 2.63539e-07, 2.62476e-07, 2.57306e-07, 1.30096e-06, 2.6511e-07, 2.54254e-07, 2.53806e-07, 2.55725e-07, 2.53944e-07, 3.96901e-07, 2.53768e-07, 3.33245e-06, 2.53767e-07, 2.65967e-07
0.540574, 0, 6.77115e-06, 4.90528e-07, 1.41421, -6.77115e-06, 4.96395e-07, 4.90528e-07, 4.90539e-07, 4.90581e-07, 4.91061e-07, 4.90758e-07, 5.51453e-07, 5.12243e-07, 5.07063e-07, 4.97247e-07, 2.47879e-06, 5.05183e-07, 4.91454e-07, 4.90603e-07, 4.93386e-07, 4.90876e-07, 6.95481e-07, 4.9053e-07, 4.42332e-06, 4.90528e-07, 5.13692e-07
