   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_15.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.439924, 0, 9.05253e-07, 1.18705e-25, 1.41421, -9.05253e-07, 1.18705e-25, 0, 1.18705e-25, 1.18705e-25, 1.18705e-25, 1.18705e-25, 1.18705e-25, 1.18705e-25, 1.18705e-25, 1.76538e-11, 1.18705e-25, 1.18705e-25, 1.18705e-25, 7.06494e-09, 1.18705e-25, 1.18705e-25, 2.41715e-10, 1.18705e-25, 1.12959e-08, 1.18705e-25, 8.86633e-07, 1.18705e-25, 1.18705e-25, 1.18705e-25
0.447768, 0, 1.20638e-06, 4.2908e-25, 1.41421, -1.20638e-06, 4.2908e-25, 0, 4.2908e-25, 4.2908e-25, 4.2908e-25, 4.2908e-25, 4.2908e-25, 4.2908e-25, 4.2908e-25, 6.55134e-11, 4.2908e-25, 4.2908e-25, 4.2908e-25, 9.53024e-09, 4.2908e-25, 4.2908e-25, 3.67866e-10, 4.2908e-25, 1.68551e-08, 4.2908e-25, 1.17956e-06, 4.2908e-25, 4.2908e-25, 4.2908e-25
0.455611, 0, 1.60001e-06, 1.48684e-24, 1.41421, -1.60001e-06, 1.48684e-24, 0, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.65748e-10, 1.48684e-24, 1.48684e-24, 1.48684e-24, 1.28075e-08, 1.48684e-24, 1.48684e-24, 5.58134e-10, 1.48684e-24, 2.5068e-08, 1.48684e-24, 1.56141e-06, 1.48684e-24, 1.48684e-24, 1.48684e-24
0.463455, 0, 2.12247e-06, 5.00294e-24, 1.41421, -2.12247e-06, 9.84104e-11, 0, 1.61456e-13, 3.46689e-13, 1.78575e-12, 1.63638e-11, 4.47567e-11, 8.11751e-10, 1.19411e-09, 1.72584e-09, 3.58201e-10, 5.33073e-11, 4.93839e-09, 1.7149e-08, 1.01175e-09, 8.44015e-13, 8.43887e-10, 3.71562e-12, 3.71485e-08, 9.54175e-15, 2.05697e-06, 5.00294e-24, 5.00294e-24, 1.02595e-10
0.471298, 0, 2.81933e-06, 1.16904e-08, 1.41421, -2.81933e-06, 1.19973e-08, 1.16904e-08, 1.16909e-08, 1.16915e-08, 1.1696e-08, 1.17414e-08, 1.183e-08, 1.42221e-08, 1.54146e-08, 1.67006e-08, 1.28076e-08, 1.18567e-08, 2.70923e-08, 3.45694e-08, 1.48459e-08, 1.1693e-08, 1.29616e-08, 1.1744e-08, 6.6525e-08, 1.16904e-08, 2.70836e-06, 1.16904e-08, 1.16904e-08, 1.20104e-08
0.479142, 0, 3.74478e-06, 3.6389e-08, 1.41421, -3.74478e-06, 3.71294e-08, 3.6389e-08, 3.63902e-08, 3.63916e-08, 3.64025e-08, 3.65121e-08, 3.67257e-08, 4.24961e-08, 4.53727e-08, 4.81858e-08, 3.90839e-08, 3.67901e-08, 7.35422e-08, 6.68033e-08, 4.40008e-08, 3.63954e-08, 3.82959e-08, 3.65748e-08, 1.16985e-07, 3.63891e-08, 3.55493e-06, 3.6389e-08, 3.6389e-08, 3.71609e-08
0.486985, 0, 4.98759e-06, 8.7652e-08, 1.41421, -4.98759e-06, 8.92771e-08, 8.7652e-08, 8.76547e-08, 8.76578e-08, 8.76815e-08, 8.79223e-08, 8.83911e-08, 1.01057e-07, 1.07371e-07, 1.13222e-07, 9.35672e-08, 8.85323e-08, 1.69202e-07, 1.2794e-07, 1.0436e-07, 8.7666e-08, 9.04998e-08, 8.81343e-08, 2.05569e-07, 8.76522e-08, 4.65793e-06, 8.7652e-08, 8.7652e-08, 8.93462e-08
0.494829, 0, 6.68359e-06, 1.92183e-07, 1.41421, -6.68359e-06, 1.95582e-07, 1.92183e-07, 1.92188e-07, 1.92195e-07, 1.92244e-07, 1.92748e-07, 1.93728e-07, 2.20219e-07, 2.33425e-07, 2.45219e-07, 2.04554e-07, 1.94024e-07, 3.62747e-07, 2.45361e-07, 2.27127e-07, 1.92212e-07, 1.96416e-07, 1.93296e-07, 3.63873e-07, 1.92183e-07, 6.10218e-06, 1.92183e-07, 1.92183e-07, 1.95726e-07
0.502673, 0, 9.05056e-06, 4.01561e-07, 1.41421, -9.05056e-06, 4.08454e-07, 4.01561e-07, 4.01573e-07, 4.01586e-07, 4.01686e-07, 4.02707e-07, 4.04696e-07, 4.58419e-07, 4.852e-07, 5.08389e-07, 4.26651e-07, 4.05295e-07, 7.47461e-07, 4.71508e-07, 4.72428e-07, 4.0162e-07, 4.07822e-07, 4.03971e-07, 6.5035e-07, 4.01562e-07, 8.01166e-06, 4.01561e-07, 4.01561e-07, 4.08747e-07
0.510516, 0, 1.25203e-05, 8.1917e-07, 1.41421, -1.25203e-05, 8.32873e-07, 8.1917e-07, 8.19193e-07, 8.19218e-07, 8.19419e-07, 8.21449e-07, 8.25402e-07, 9.32203e-07, 9.85444e-07, 1.09214e-06, 8.69048e-07, 8.26593e-07, 1.50682e-06, 9.10848e-07, 9.60052e-07, 8.19288e-07, 8.28383e-07, 8.24273e-07, 1.17796e-06, 8.19171e-07, 1.05805e-05, 8.1917e-07, 8.1917e-07, 8.33456e-07
