   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_30.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.485428, 0, 1.38012e-10, 2.76478e-34, 1.41421, -1.38012e-10, 2.76478e-34, 0, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.76478e-34, 2.59886e-13, 2.76478e-34, 2.76478e-34, 5.3237e-15, 2.76478e-34, 2.29826e-14, 2.76478e-34, 1.37724e-10, 2.76478e-34, 2.76478e-34, 2.76478e-34
0.493331, 0, 2.65769e-10, 1.9596e-33, 1.41421, -2.65769e-10, 1.9596e-33, 0, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 1.9596e-33, 5.0069e-13, 1.9596e-33, 1.9596e-33, 1.08975e-14, 1.9596e-33, 4.57278e-14, 1.9596e-33, 2.65211e-10, 1.9596e-33, 1.9596e-33, 1.9596e-33
0.501235, 0, 5.03552e-10, 1.3305e-32, 1.41421, -5.03552e-10, 1.3305e-32, 0, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 1.3305e-32, 9.49355e-13, 1.3305e-32, 1.3305e-32, 2.22188e-14, 1.3305e-32, 8.98573e-14, 1.3305e-32, 5.0249e-10, 1.3305e-32, 1.3305e-32, 1.3305e-32
0.509138, 0, 9.38831e-10, 8.52457e-32, 1.41421, -9.38831e-10, 8.52457e-32, 0, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 8.52457e-32, 1.77193e-12, 8.52457e-32, 8.52457e-32, 4.52003e-14, 8.52457e-32, 1.74612e-13, 8.52457e-32, 9.3684e-10, 8.52457e-32, 8.52457e-32, 8.52457e-32
0.517041, 0, 1.72263e-09, 5.13184e-31, 1.41421, -1.72263e-09, 5.13184e-31, 0, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 5.13184e-31, 3.25631e-12, 5.13184e-31, 5.13184e-31, 9.18774e-14, 5.13184e-31, 3.36081e-13, 5.13184e-31, 1.71895e-09, 5.13184e-31, 5.13184e-31, 5.13184e-31
0.524945, 0, 3.11114e-09, 2.90359e-30, 1.41421, -3.11114e-09, 2.90359e-30, 0, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 2.90359e-30, 5.89359e-12, 2.90359e-30, 2.90359e-30, 1.8677e-13, 2.90359e-30, 6.41977e-13, 2.90359e-30, 3.10442e-09, 2.90359e-30, 2.90359e-30, 2.90359e-30
0.532848, 0, 5.53132e-09, 1.54724e-29, 1.41421, -5.53132e-09, 1.54724e-29, 0, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.54724e-29, 1.05083e-11, 1.54724e-29, 1.54724e-29, 3.79779e-13, 1.54724e-29, 1.21984e-12, 1.54724e-29, 5.51921e-09, 1.54724e-29, 1.54724e-29, 1.54724e-29
0.540752, 0, 9.68265e-09, 7.78713e-29, 1.41421, -9.68265e-09, 7.78713e-29, 0, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 7.78713e-29, 1.84641e-11, 7.78713e-29, 7.78713e-29, 7.72076e-13, 7.78713e-29, 2.31163e-12, 7.78713e-29, 9.6611e-09, 7.78713e-29, 7.78713e-29, 7.78713e-29
0.548655, 0, 1.66913e-08, 3.71263e-28, 1.41421, -1.66913e-08, 3.71263e-28, 0, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.71263e-28, 3.19828e-11, 3.71263e-28, 3.71263e-28, 1.5674e-12, 3.71263e-28, 4.38067e-12, 3.71263e-28, 1.66533e-08, 3.71263e-28, 3.71263e-28, 3.71263e-28
0.556558, 0, 2.83395e-08, 1.68182e-27, 1.41421, -2.83395e-08, 1.68182e-27, 0, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 1.68182e-27, 5.46346e-11, 1.68182e-27, 1.68182e-27, 3.17209e-12, 1.68182e-27, 8.32281e-12, 1.68182e-27, 2.82734e-08, 1.68182e-27, 1.68182e-27, 1.68182e-27
0.564462, 0, 4.74018e-08, 7.25966e-27, 1.41421, -4.74018e-08, 7.25966e-27, 0, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 7.25966e-27, 9.20785e-11, 7.25966e-27, 7.25966e-27, 6.38669e-12, 7.25966e-27, 1.58855e-11, 7.25966e-27, 4.72875e-08, 7.25966e-27, 7.25966e-27, 7.25966e-27
0.572365, 0, 7.81249e-08, 2.99413e-26, 1.41421, -7.81249e-08, 2.99413e-26, 0, 2.99413e-26, 2.99413e-26, 2.99413e-26, 2.99413e-26, 2.99413e-26, 2.99413e-26, 2.99413e-26, 2.75538e-13, 2.99413e-26, 2.99413e-26, 2.99413e-26, 1.53169e-10, 2.99413e-26, 2.99413e-26, 1.27656e-11, 2.99413e-26, 3.0497e-11, 2.99413e-26, 7.79282e-08, 2.99413e-26, 2.99413e-26, 2.99413e-26
