   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_146.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.491923, 0, 1.16809e-06, 3.21081e-09, 1.41421, -1.16809e-06, 3.28276e-09, 3.21081e-09, 3.21096e-09, 3.21116e-09, 3.34517e-09, 3.21115e-09, 3.26143e-09, 3.30741e-09, 3.23672e-09, 1.6785e-08, 7.33994e-09, 3.21482e-09, 3.21118e-09, 3.34882e-09, 4.19771e-07, 3.21083e-09, 7.33132e-07, 3.21081e-09, 3.21081e-09, 3.37976e-09
0.499787, 0, 1.62541e-06, 7.40396e-09, 1.41421, -1.62541e-06, 7.56207e-09, 7.40396e-09, 7.4043e-09, 7.40472e-09, 7.69919e-09, 7.40472e-09, 7.51463e-09, 7.61622e-09, 7.4609e-09, 3.72306e-08, 1.28938e-08, 7.41279e-09, 7.40477e-09, 7.61345e-09, 6.30724e-07, 7.40402e-09, 9.65351e-07, 7.40396e-09, 7.40396e-09, 7.77521e-09
0.507652, 0, 2.26829e-06, 1.62639e-08, 1.41421, -2.26829e-06, 1.66005e-08, 1.62639e-08, 1.62647e-08, 1.62656e-08, 1.68924e-08, 1.62655e-08, 1.64985e-08, 1.67158e-08, 1.63851e-08, 7.97597e-08, 2.35311e-08, 1.62827e-08, 1.62657e-08, 1.65803e-08, 9.43645e-07, 1.6264e-08, 1.26724e-06, 1.62639e-08, 1.62639e-08, 1.70542e-08
0.515516, 0, 3.18063e-06, 3.46079e-08, 1.41421, -3.18063e-06, 3.53068e-08, 3.46079e-08, 3.46094e-08, 3.46112e-08, 3.5913e-08, 3.46112e-08, 3.51186e-08, 3.55462e-08, 3.48596e-08, 1.66462e-07, 4.41862e-08, 3.46469e-08, 3.46115e-08, 3.50832e-08, 1.40736e-06, 3.46081e-08, 1.66057e-06, 3.46079e-08, 3.46079e-08, 3.6249e-08
0.523381, 0, 4.48622e-06, 7.18308e-08, 1.41421, -4.48622e-06, 7.3251e-08, 7.18308e-08, 7.18339e-08, 7.18377e-08, 7.44825e-08, 7.18377e-08, 7.292e-08, 7.37373e-08, 7.23422e-08, 3.39729e-07, 8.44015e-08, 7.19101e-08, 7.18381e-08, 7.25409e-08, 2.08983e-06, 7.18314e-08, 2.17602e-06, 7.18308e-08, 7.18308e-08, 7.51653e-08
0.531245, 0, 6.37916e-06, 1.45868e-07, 1.41421, -6.37916e-06, 1.48695e-07, 1.45868e-07, 1.45874e-07, 1.45882e-07, 1.51147e-07, 1.45882e-07, 1.48663e-07, 1.49664e-07, 1.46886e-07, 6.79178e-07, 1.62296e-07, 1.46026e-07, 1.45883e-07, 1.46923e-07, 3.09322e-06, 1.45869e-07, 2.85845e-06, 1.45868e-07, 1.45868e-07, 1.52506e-07
0.53911, 0, 9.16086e-06, 2.90233e-07, 1.41421, -9.16086e-06, 2.95751e-07, 2.90233e-07, 2.90245e-07, 2.9026e-07, 3.00536e-07, 2.9026e-07, 2.96523e-07, 2.97641e-07, 2.9222e-07, 1.33118e-06, 3.11611e-07, 2.90541e-07, 2.90261e-07, 2.9179e-07, 4.56637e-06, 2.90235e-07, 3.77598e-06, 2.90233e-07, 2.90233e-07, 3.03189e-07
0.546975, 0, 1.33074e-05, 5.66212e-07, 1.41421, -1.33074e-05, 5.76776e-07, 5.66212e-07, 5.66235e-07, 5.66263e-07, 5.85938e-07, 5.66263e-07, 5.7954e-07, 5.80394e-07, 5.70016e-07, 2.55909e-06, 5.93917e-07, 5.66802e-07, 5.66266e-07, 5.68499e-07, 6.72838e-06, 5.66216e-07, 5.03518e-06, 5.66212e-07, 5.66212e-07, 5.91017e-07
0.554839, 0, 1.95745e-05, 1.08349e-06, 1.41421, -1.95745e-05, 1.10334e-06, 1.08349e-06, 1.08354e-06, 1.08359e-06, 1.12054e-06, 1.08359e-06, 1.11075e-06, 1.11013e-06, 1.09064e-06, 4.82668e-06, 1.11925e-06, 1.0846e-06, 1.08359e-06, 1.08683e-06, 9.90332e-06, 1.0835e-06, 6.8064e-06, 1.08349e-06, 1.08349e-06, 1.13008e-06
0.562704, 0, 2.91631e-05, 2.03418e-06, 1.41421, -2.91631e-05, 2.07075e-06, 2.03418e-06, 2.03426e-06, 2.03436e-06, 2.10247e-06, 2.03436e-06, 2.08806e-06, 2.08328e-06, 2.04735e-06, 8.9331e-06, 2.08015e-06, 2.03622e-06, 2.03437e-06, 2.03902e-06, 1.45727e-05, 2.0342e-06, 9.36531e-06, 2.03418e-06, 2.03418e-06, 2.12005e-06
