   PIQUANT 0.0.0-main  ps__0368_0699563413_000rfs_shot_441.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Cr_K, Ti_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.481605, 0, 8.54287e-06, 3.74389e-09, 1.41421, -8.54287e-06, 4.42507e-09, 3.74389e-09, 3.7582e-09, 4.72504e-09, 1.19065e-08, 4.07432e-09, 1.04801e-08, 1.68507e-08, 5.90124e-09, 4.10662e-09, 1.12385e-08, 3.88231e-09, 3.75011e-09, 1.57141e-08, 3.78478e-09, 6.54864e-06, 3.74392e-09, 1.9449e-06, 3.74389e-09, 3.74389e-09, 4.63508e-09
0.48947, 0, 1.18945e-05, 7.42518e-09, 1.41421, -1.18945e-05, 8.7788e-09, 7.42518e-09, 7.4536e-09, 9.3749e-09, 2.36458e-08, 8.08181e-09, 2.08112e-08, 3.34709e-08, 1.17122e-08, 8.14599e-09, 2.23184e-08, 7.70024e-09, 7.43753e-09, 2.4866e-08, 7.51111e-09, 9.31941e-06, 7.42523e-09, 2.48342e-06, 7.42518e-09, 7.42518e-09, 9.19613e-09
0.497334, 0, 1.6513e-05, 1.44001e-08, 1.41421, -1.6513e-05, 1.70289e-08, 1.44001e-08, 1.44553e-08, 1.81865e-08, 4.5901e-08, 1.56753e-08, 4.03961e-08, 6.49814e-08, 2.27257e-08, 1.58e-08, 4.33231e-08, 1.49343e-08, 1.44241e-08, 3.96911e-08, 1.45741e-08, 1.31823e-05, 1.44002e-08, 3.16111e-06, 1.44001e-08, 1.44001e-08, 1.78393e-08
0.505198, 0, 2.28734e-05, 2.74003e-08, 1.41421, -2.28734e-05, 3.24077e-08, 2.74003e-08, 2.75054e-08, 3.46128e-08, 8.74047e-08, 2.98293e-08, 7.69188e-08, 1.2375e-07, 4.32593e-08, 3.00668e-08, 8.24943e-08, 2.84178e-08, 2.74459e-08, 6.38953e-08, 2.7743e-08, 1.85486e-05, 2.74005e-08, 4.01346e-06, 2.74003e-08, 2.74003e-08, 3.39515e-08
0.513063, 0, 3.16144e-05, 5.12354e-08, 1.41421, -3.16144e-05, 6.06078e-08, 5.12354e-08, 5.14322e-08, 6.47352e-08, 1.63546e-07, 5.57819e-08, 1.4392e-07, 2.31574e-07, 8.09188e-08, 5.62263e-08, 1.54355e-07, 5.314e-08, 5.13209e-08, 1.03635e-07, 5.18958e-08, 2.5961e-05, 5.12358e-08, 5.08653e-06, 5.12354e-08, 5.12354e-08, 6.34974e-08
0.520927, 0, 4.36057e-05, 9.42272e-08, 1.41421, -4.36057e-05, 1.1148e-07, 9.42272e-08, 9.45895e-08, 1.19078e-07, 3.0097e-07, 1.02596e-07, 2.64841e-07, 4.26197e-07, 1.48869e-07, 1.03414e-07, 2.84051e-07, 9.77331e-08, 9.43846e-08, 1.69132e-07, 9.54752e-08, 3.61422e-05, 9.42279e-08, 6.44148e-06, 9.42272e-08, 9.42272e-08, 1.16799e-07
0.528792, 0, 6.00327e-05, 1.70515e-07, 1.41421, -6.00327e-05, 2.01765e-07, 1.70515e-07, 1.71172e-07, 2.15527e-07, 5.44987e-07, 1.85675e-07, 4.79548e-07, 7.71809e-07, 2.69487e-07, 1.87156e-07, 5.14343e-07, 1.76866e-07, 1.70801e-07, 2.76994e-07, 1.72833e-07, 5.00495e-05, 1.70517e-07, 8.16111e-06, 1.70515e-07, 1.70515e-07, 2.114e-07
0.536656, 0, 8.25184e-05, 3.03759e-07, 1.41421, -8.25184e-05, 3.59481e-07, 3.03759e-07, 3.04929e-07, 3.8402e-07, 9.71485e-07, 3.30789e-07, 8.54798e-07, 1.37593e-06, 4.80237e-07, 3.33432e-07, 9.16842e-07, 3.15082e-07, 3.04267e-07, 4.54358e-07, 3.07999e-07, 6.89471e-05, 3.03761e-07, 1.03611e-05, 3.03759e-07, 3.03759e-07, 3.76661e-07
0.54452, 0, 0.000113285, 5.32529e-07, 1.41421, -0.000113285, 6.30309e-07, 5.32529e-07, 5.34582e-07, 6.73369e-07, 1.70425e-06, 5.79961e-07, 1.49949e-06, 2.41397e-06, 8.4221e-07, 5.84598e-07, 1.60836e-06, 5.52399e-07, 5.33421e-07, 7.44436e-07, 5.40147e-07, 9.44981e-05, 5.32533e-07, 1.32053e-05, 5.32529e-07, 5.32529e-07, 6.60455e-07
0.552385, 0, 0.000155395, 9.19155e-07, 1.41421, -0.000155395, 1.08809e-06, 9.19155e-07, 9.22703e-07, 1.16249e-06, 2.94353e-06, 1.0011e-06, 2.58977e-06, 4.16972e-06, 1.45419e-06, 1.00911e-06, 2.77787e-06, 9.53484e-07, 9.20696e-07, 1.21584e-06, 9.32635e-07, 0.000128889, 9.19162e-07, 1.69307e-05, 9.19155e-07, 9.19155e-07, 1.14017e-06
0.560249, 0, 0.000213075, 1.56205e-06, 1.41421, -0.000213075, 1.84944e-06, 1.56205e-06, 1.56809e-06, 1.97599e-06, 5.00581e-06, 1.70146e-06, 4.40401e-06, 7.09174e-06, 2.47223e-06, 1.71509e-06, 4.724e-06, 1.62045e-06, 1.56467e-06, 1.97539e-06, 1.58554e-06, 0.00017499, 1.56206e-06, 2.18856e-05, 1.56205e-06, 1.56205e-06, 1.93804e-06
