   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_65.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.503233, 0, 7.12686e-07, 3.52471e-10, 1.41421, -7.12686e-07, 3.52471e-10, 3.52531e-10, 2.80746e-09, 4.10545e-10, 3.6316e-10, 3.8184e-10, 8.508e-10, 4.96767e-10, 3.61459e-10, 5.98384e-09, 6.80396e-09, 3.61548e-10, 3.52471e-10, 3.52474e-10, 6.97266e-07, 3.52471e-10, 3.52471e-10, 4.76007e-10
0.511131, 0, 9.68578e-07, 9.24633e-10, 1.41421, -9.68578e-07, 9.24633e-10, 9.24788e-10, 7.30846e-09, 1.07565e-09, 9.52428e-10, 1.001e-09, 2.17284e-09, 1.29985e-09, 9.48003e-10, 1.55682e-08, 9.69019e-09, 9.48235e-10, 9.24633e-10, 9.24641e-10, 9.36538e-07, 9.24633e-10, 9.24633e-10, 1.24587e-09
0.519029, 0, 1.3179e-06, 2.20416e-09, 1.41421, -1.3179e-06, 2.20416e-09, 2.20452e-09, 1.73322e-08, 2.56202e-09, 2.27002e-09, 2.38513e-09, 5.10158e-09, 3.09333e-09, 2.25954e-09, 3.69056e-08, 1.40536e-08, 2.26009e-09, 2.20416e-09, 2.20417e-09, 1.25096e-06, 2.20416e-09, 2.20416e-09, 2.96541e-09
0.526927, 0, 1.80259e-06, 4.99336e-09, 1.41421, -1.80259e-06, 4.99336e-09, 4.99419e-09, 3.91266e-08, 5.8008e-09, 5.14198e-09, 5.40169e-09, 1.14327e-08, 6.9996e-09, 5.11832e-09, 8.32899e-08, 2.09318e-08, 5.11956e-09, 4.99336e-09, 4.9934e-09, 1.66244e-06, 4.99336e-09, 4.99336e-09, 6.71096e-09
0.534826, 0, 2.49184e-06, 1.09297e-08, 1.41421, -2.49184e-06, 1.09297e-08, 1.09315e-08, 8.54249e-08, 1.26919e-08, 1.12541e-08, 1.18209e-08, 2.50472e-08, 1.53083e-08, 1.12024e-08, 1.81811e-07, 3.22625e-08, 1.12051e-08, 1.09297e-08, 1.09298e-08, 2.19936e-06, 1.09297e-08, 1.09297e-08, 1.46784e-08
0.542724, 0, 3.506e-06, 2.32753e-08, 1.41421, -3.506e-06, 2.32753e-08, 2.32791e-08, 1.81554e-07, 2.70195e-08, 2.39644e-08, 2.51687e-08, 5.554e-08, 3.25784e-08, 2.38547e-08, 3.86344e-07, 5.16891e-08, 2.38605e-08, 2.32753e-08, 2.32755e-08, 2.89921e-06, 2.32753e-08, 2.32753e-08, 3.124e-08
0.550622, 0, 5.07414e-06, 4.83734e-08, 1.41421, -5.07414e-06, 4.83734e-08, 4.83814e-08, 3.76684e-07, 5.61398e-08, 4.98029e-08, 5.23009e-08, 1.39425e-07, 6.76704e-08, 4.95753e-08, 8.01468e-07, 8.60362e-08, 4.95872e-08, 4.83734e-08, 4.83738e-08, 3.81265e-06, 4.83734e-08, 4.83734e-08, 6.48942e-08
0.55852, 0, 7.57332e-06, 9.82605e-08, 1.41421, -7.57332e-06, 9.82605e-08, 9.82766e-08, 7.63944e-07, 1.14008e-07, 1.01159e-07, 1.06224e-07, 3.14841e-07, 1.37387e-07, 1.00697e-07, 1.62524e-06, 1.47944e-07, 1.00722e-07, 9.82605e-08, 9.82613e-08, 5.01025e-06, 9.82605e-08, 9.82605e-08, 1.31758e-07
0.566418, 0, 1.17054e-05, 1.95309e-07, 1.41421, -1.17054e-05, 1.95309e-07, 1.95341e-07, 1.51598e-06, 2.2655e-07, 2.01059e-07, 2.11108e-07, 6.84928e-07, 2.72933e-07, 2.00144e-07, 3.22472e-06, 2.60542e-07, 2.00192e-07, 1.95309e-07, 1.95311e-07, 6.59383e-06, 1.95309e-07, 1.95309e-07, 2.61766e-07
0.574316, 0, 1.86704e-05, 3.7967e-07, 1.41421, -1.86704e-05, 3.7967e-07, 3.79732e-07, 2.94244e-06, 4.40293e-07, 3.90828e-07, 4.10327e-07, 1.40836e-06, 5.30301e-07, 3.89052e-07, 6.25829e-06, 4.64921e-07, 3.89145e-07, 3.7967e-07, 3.79673e-07, 8.71415e-06, 3.7967e-07, 3.7967e-07, 5.0863e-07
0.582214, 0, 3.06165e-05, 7.22498e-07, 1.41421, -3.06165e-05, 7.22498e-07, 7.22615e-07, 5.5904e-06, 8.3765e-07, 7.43692e-07, 7.80731e-07, 2.83054e-06, 1.00862e-06, 7.40318e-07, 1.18887e-05, 8.33405e-07, 7.40495e-07, 7.22498e-07, 7.22503e-07, 1.16018e-05, 7.22498e-07, 7.22498e-07, 9.67452e-07
0.590112, 0, 5.12399e-05, 1.34612e-06, 1.41421, -5.12399e-05, 1.34612e-06, 1.34634e-06, 1.03982e-05, 1.56025e-06, 1.38553e-06, 1.4544e-06, 5.59567e-06, 1.87817e-06, 1.37925e-06, 2.21102e-05, 1.48976e-06, 1.37958e-06, 1.34612e-06, 1.34613e-06, 1.56143e-05, 1.34612e-06, 1.34612e-06, 1.80162e-06
0.59801, 0, 8.67874e-05, 2.45591e-06, 1.41421, -8.67874e-05, 2.45591e-06, 2.45631e-06, 1.89373e-05, 2.84579e-06, 2.52767e-06, 2.65307e-06, 1.08815e-05, 3.42463e-06, 2.51625e-06, 4.02618e-05, 2.64117e-06, 2.51685e-06, 2.45591e-06, 2.45593e-06, 2.13107e-05, 2.45591e-06, 2.45591e-06, 3.28526e-06
0.605908, 0, 0.000147625, 4.38836e-06, 1.41421, -0.000147625, 4.38836e-06, 4.38907e-06, 3.3775e-05, 5.08351e-06, 4.5163e-06, 4.7399e-06, 2.08161e-05, 6.1156e-06, 4.49594e-06, 7.17968e-05, 4.62633e-06, 4.497e-06, 4.38836e-06, 4.38839e-06, 2.9567e-05, 4.38836e-06, 4.38836e-06, 5.8671e-06
0.613806, 0, 0.000250595, 7.68087e-06, 1.41421, -0.000250595, 7.68087e-06, 7.68212e-06, 5.8999e-05, 8.89483e-06, 7.90431e-06, 8.29478e-06, 3.91702e-05, 1.06972e-05, 7.86874e-06, 0.000125397, 7.9854e-06, 7.8706e-06, 7.68087e-06, 7.68093e-06, 4.17376e-05, 7.68087e-06, 7.68087e-06, 1.02632e-05
