   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_296.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.622965, 0, 0.000147397, 8.62994e-06, 1.41421, -0.000147397, 8.62994e-06, 5.45253e-05, 9.81717e-06, 9.03056e-06, 9.4256e-06, 1.64844e-05, 9.80027e-06, 8.76435e-06, 7.26386e-05, 8.65706e-06, 8.85128e-06, 8.62994e-06, 8.63006e-06, 2.45449e-05, 8.62994e-06, 8.62994e-06, 9.78705e-06
0.630848, 0, 0.000258351, 1.5414e-05, 1.41421, -0.000258351, 1.5414e-05, 9.73771e-05, 1.75342e-05, 1.61294e-05, 1.68349e-05, 3.09208e-05, 1.7504e-05, 1.5654e-05, 0.000129725, 1.54624e-05, 1.58092e-05, 1.5414e-05, 1.54142e-05, 3.74732e-05, 1.5414e-05, 1.5414e-05, 1.74804e-05
0.638731, 0, 0.000446329, 2.6896e-05, 1.41421, -0.000446329, 2.6896e-05, 0.000169895, 3.05951e-05, 2.81442e-05, 2.93751e-05, 5.69452e-05, 3.05425e-05, 2.73148e-05, 0.000226332, 2.69805e-05, 2.75856e-05, 2.6896e-05, 2.68964e-05, 5.7973e-05, 2.6896e-05, 2.6896e-05, 3.05013e-05
0.646613, 0, 0.000758298, 4.58583e-05, 1.41421, -0.000758298, 4.58583e-05, 0.000289642, 5.21645e-05, 4.79863e-05, 5.00846e-05, 0.000102992, 5.20748e-05, 4.65722e-05, 0.000385855, 4.60023e-05, 4.7034e-05, 4.58583e-05, 4.58589e-05, 9.03277e-05, 4.58583e-05, 4.58583e-05, 5.20046e-05
0.654496, 0, 0.00126519, 7.64182e-05, 1.41421, -0.00126519, 7.64182e-05, 0.000482599, 8.69253e-05, 7.99637e-05, 8.34598e-05, 0.000182965, 8.67757e-05, 7.76076e-05, 0.000642904, 7.66581e-05, 7.83771e-05, 7.64182e-05, 7.64192e-05, 0.000140897, 7.64182e-05, 7.64182e-05, 8.66587e-05
0.662379, 0, 0.00207132, 0.000124484, 1.41421, -0.00207132, 0.000124484, 0.000786043, 0.000141597, 0.000130258, 0.000135953, 0.000319299, 0.000141353, 0.000126421, 0.00104714, 0.000124874, 0.000127674, 0.000124484, 0.000124485, 0.000218863, 0.000124484, 0.000124484, 0.000141163
0.670262, 0, 0.00332607, 0.000198274, 1.41421, -0.00332607, 0.000198274, 0.00125182, 0.000225527, 0.00020747, 0.000216538, 0.000547409, 0.000225139, 0.000201359, 0.00166761, 0.000198896, 0.000203355, 0.000198274, 0.000198277, 0.000337121, 0.000198274, 0.000198274, 0.000224836
0.678145, 0, 0.00523772, 0.000308857, 1.41421, -0.00523772, 0.000308857, 0.00194971, 0.000351302, 0.000323179, 0.000337303, 0.000921932, 0.000350698, 0.000313662, 0.0025973, 0.000309826, 0.000316771, 0.000308857, 0.000308861, 0.000513234, 0.000308857, 0.000308857, 0.000350226
0.686028, 0, 0.00808895, 0.000470647, 1.41421, -0.00808895, 0.000470647, 0.00297058, 0.000535315, 0.000492468, 0.000513986, 0.00152518, 0.000534395, 0.000477968, 0.00395723, 0.000472123, 0.000482705, 0.000470647, 0.000470653, 0.000770428, 0.000470647, 0.000470647, 0.000533676
0.693911, 2, 0.012253, 0.000701764, 2, 1.98775, 0.000701764, 0.0044286, 0.00079817, 0.000734295, 0.000766373, 0.0024781, 0.000796797, 0.000712677, 0.00589946, 0.000703965, 0.000719741, 0.000701764, 0.000701773, 0.00113845, 0.000701764, 0.000701764, 0.000795728
