   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_195.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.404451, 0, 7.67879e-09, 2.13742e-33, 1.41421, -7.67879e-09, 2.13742e-33, 0, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 2.13742e-33, 7.6457e-11, 2.13742e-33, 8.68847e-13, 2.59842e-12, 2.13742e-33, 7.59886e-09, 2.13742e-33, 2.13742e-33, 2.13742e-33
0.412333, 0, 1.16354e-08, 1.32677e-32, 1.41421, -1.16354e-08, 1.32677e-32, 0, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.32677e-32, 1.1607e-10, 1.32677e-32, 1.43758e-12, 4.28376e-12, 1.32677e-32, 1.15136e-08, 1.32677e-32, 1.32677e-32, 1.32677e-32
0.420215, 0, 1.74904e-08, 8.08506e-32, 1.41421, -1.74904e-08, 8.08506e-32, 0, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 8.08506e-32, 1.74867e-10, 8.08506e-32, 2.37769e-12, 7.05319e-12, 8.08506e-32, 1.73061e-08, 8.08506e-32, 8.08506e-32, 8.08506e-32
0.428098, 0, 2.60839e-08, 4.46702e-31, 1.41421, -2.60839e-08, 4.46702e-31, 0, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 4.46702e-31, 2.61476e-10, 4.46702e-31, 3.93146e-12, 1.16023e-11, 4.46702e-31, 2.58069e-08, 4.46702e-31, 4.46702e-31, 4.46702e-31
0.43598, 0, 3.85951e-08, 2.37473e-30, 1.41421, -3.85951e-08, 2.37473e-30, 0, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 2.37473e-30, 3.88107e-10, 2.37473e-30, 6.49853e-12, 1.90724e-11, 2.37473e-30, 3.81814e-08, 2.37473e-30, 2.37473e-30, 2.37473e-30
0.443862, 0, 5.66643e-08, 1.19703e-29, 1.41421, -5.66643e-08, 1.19703e-29, 0, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 1.19703e-29, 5.71906e-10, 1.19703e-29, 1.07362e-11, 3.13341e-11, 1.19703e-29, 5.60503e-08, 1.19703e-29, 1.19703e-29, 1.19703e-29
0.451745, 0, 8.25543e-08, 5.71405e-29, 1.41421, -8.25543e-08, 5.71405e-29, 0, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 5.71405e-29, 8.36787e-10, 5.71405e-29, 1.77225e-11, 5.14473e-11, 5.71405e-29, 8.16483e-08, 5.71405e-29, 5.71405e-29, 5.71405e-29
0.459627, 0, 1.1936e-07, 2.61574e-28, 1.41421, -1.1936e-07, 2.61574e-28, 0, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 2.61574e-28, 1.21587e-09, 2.61574e-28, 2.92176e-11, 8.44038e-11, 2.61574e-28, 1.1803e-07, 2.61574e-28, 2.61574e-28, 2.61574e-28
0.467509, 0, 1.71278e-07, 1.14216e-27, 1.41421, -1.71278e-07, 1.14216e-27, 0, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.14216e-27, 1.75473e-09, 1.14216e-27, 4.8082e-11, 1.38315e-10, 1.14216e-27, 1.69337e-07, 1.14216e-27, 1.14216e-27, 1.14216e-27
0.475392, 0, 2.43955e-07, 4.75079e-27, 1.41421, -2.43955e-07, 4.75079e-27, 0, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 4.75079e-27, 2.51565e-09, 4.75079e-27, 7.89383e-11, 2.26296e-10, 4.75079e-27, 2.41134e-07, 4.75079e-27, 4.75079e-27, 4.75079e-27
