   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_346.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Cr_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.925907, 0, 3.80416, 0.04224, 1.41421, -3.80416, 0.04224, 0.0422475, 0.0422444, 0.219587, 0.0462527, 0.042357, 0.0445694, 1.05736, 0.060765, 0.351986, 0.0423068, 0.0422988, 0.0487489, 0.042951, 0.212784, 0.0422402, 2.06362, 0.04224, 0.04224, 0.0776878
0.933795, 6, 3.87391, 0.0431346, 2.82843, 2.12609, 0.0431346, 0.0431421, 0.043139, 0.221196, 0.0471635, 0.0432521, 0.0454734, 0.94675, 0.0617242, 0.354128, 0.043199, 0.0431891, 0.0511588, 0.043985, 0.268639, 0.0431348, 2.17943, 0.0431346, 0.0431346, 0.0853606
0.941683, 4, 3.92382, 0.0440297, 2.44949, 0.0761774, 0.0440297, 0.0440373, 0.0440341, 0.222599, 0.0480701, 0.0441476, 0.0463751, 0.834745, 0.0626628, 0.35591, 0.0440914, 0.0440797, 0.0538449, 0.0450331, 0.336621, 0.0440299, 2.26295, 0.0440297, 0.0440297, 0.0950618
0.949571, 6, 3.95545, 0.0449351, 2.82843, 2.04455, 0.0449351, 0.0449427, 0.0449396, 0.223859, 0.0489835, 0.0450532, 0.0472852, 0.725988, 0.0635961, 0.357434, 0.0449942, 0.0449805, 0.0568407, 0.046102, 0.417259, 0.0449353, 2.30989, 0.0449351, 0.0449351, 0.107326
0.957459, 6, 3.97073, 0.0458575, 2.82843, 2.02927, 0.0458574, 0.045865, 0.0458619, 0.225023, 0.0499114, 0.0459757, 0.0482107, 0.624315, 0.0645355, 0.358779, 0.045914, 0.0458982, 0.0601767, 0.0471935, 0.510339, 0.0458577, 2.31784, 0.0458575, 0.0458575, 0.122753
0.965347, 4, 3.97188, 0.0468005, 2.44949, 0.0281153, 0.0468004, 0.0468081, 0.0468049, 0.226129, 0.0508581, 0.0469189, 0.0491559, 0.532602, 0.0654881, 0.360005, 0.0468548, 0.0468368, 0.0638803, 0.0483058, 0.614736, 0.0468007, 2.28653, 0.0468005, 0.0468005, 0.141983
0.973235, 6, 3.96121, 0.0477657, 2.82843, 2.03879, 0.0477655, 0.0477732, 0.0477701, 0.2272, 0.0518256, 0.0478841, 0.0501224, 0.452723, 0.0664578, 0.361156, 0.0478181, 0.0477978, 0.0679795, 0.0494335, 0.728282, 0.0477659, 2.21781, 0.0477657, 0.0477657, 0.16566
0.981123, 4, 3.94091, 0.0487525, 2.44949, 0.0590937, 0.0487523, 0.0487601, 0.0487569, 0.228256, 0.052814, 0.048871, 0.0511102, 0.38559, 0.0674463, 0.362262, 0.0488036, 0.0487809, 0.0725099, 0.0505692, 0.847751, 0.0487527, 2.11554, 0.0487525, 0.0487525, 0.194374
0.989011, 8, 3.91291, 0.0497593, 3.16228, 4.08709, 0.0497591, 0.0497669, 0.0497638, 0.229306, 0.0538218, 0.0498778, 0.0521176, 0.33127, 0.068453, 0.363344, 0.0498097, 0.0497845, 0.0775272, 0.0517045, 0.968933, 0.0497596, 1.98522, 0.0497593, 0.0497593, 0.228601
0.996899, 6, 3.87868, 0.0507835, 2.82843, 2.12132, 0.0507832, 0.0507911, 0.0507879, 0.230357, 0.0548466, 0.050902, 0.0531421, 0.289144, 0.0694761, 0.364413, 0.0508341, 0.0508061, 0.0831271, 0.0528302, 1.08684, 0.0507837, 1.83353, 0.0507835, 0.0507835, 0.268611
1.00479, 6, 3.83918, 0.0518219, 2.82843, 2.16082, 0.0518214, 0.0518294, 0.0518263, 0.231412, 0.0558854, 0.0519404, 0.0541807, 0.258076, 0.070513, 0.365476, 0.0518736, 0.0518427, 0.0894809, 0.0539385, 1.19603, 0.0518221, 1.6678, 0.0518219, 0.0518219, 0.3144
1.01268, 2, 3.79482, 0.052871, 2, -1.79482, 0.0528704, 0.0528786, 0.0528755, 0.232471, 0.0569347, 0.0529896, 0.05523, 0.236592, 0.0715608, 0.366536, 0.0529252, 0.052891, 0.0968909, 0.0550225, 1.29101, 0.0528713, 1.49548, 0.052871, 0.052871, 0.365601
1.02056, 6, 3.74565, 0.0539275, 2.82843, 2.25435, 0.0539266, 0.0539351, 0.053932, 0.233533, 0.0579914, 0.0540461, 0.0562865, 0.22303, 0.0726159, 0.367592, 0.0539856, 0.0539478, 0.10588, 0.0560774, 1.3667, 0.0539277, 1.32358, 0.0539275, 0.0539275, 0.421435
1.02845, 4, 3.6916, 0.0549879, 2.44949, 0.3084, 0.0549867, 0.0549955, 0.0549923, 0.234596, 0.0590518, 0.0551064, 0.057347, 0.215672, 0.0736752, 0.368642, 0.0550517, 0.0550097, 0.117327, 0.0571004, 1.41889, 0.0549881, 1.15828, 0.0549879, 0.0549879, 0.48068
