   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_49.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.446968, 0, 2.45275e-08, 6.33227e-29, 1.41421, -2.45275e-08, 0, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 6.33227e-29, 4.50585e-12, 6.33227e-29, 2.06813e-12, 6.33227e-29, 2.45209e-08, 6.33227e-29, 6.33227e-29, 6.33227e-29
0.454873, 0, 3.53602e-08, 2.83309e-28, 1.41421, -3.53602e-08, 0, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 2.83309e-28, 7.37341e-12, 2.83309e-28, 3.36746e-12, 2.83309e-28, 3.53494e-08, 2.83309e-28, 2.83309e-28, 2.83309e-28
0.462779, 0, 5.06014e-08, 1.20979e-27, 1.41421, -5.06014e-08, 0, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20979e-27, 1.20455e-11, 1.20979e-27, 5.47404e-12, 1.20979e-27, 5.05839e-08, 1.20979e-27, 1.20979e-27, 1.20979e-27
0.470684, 0, 7.18842e-08, 4.92944e-27, 1.41421, -7.18842e-08, 0, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 4.92944e-27, 1.9635e-11, 4.92944e-27, 8.87981e-12, 4.92944e-27, 7.18557e-08, 4.92944e-27, 4.92944e-27, 4.92944e-27
0.478589, 0, 1.01384e-07, 1.91811e-26, 1.41421, -1.01384e-07, 0, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.00308e-12, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.91811e-26, 1.91811e-26, 3.19188e-11, 1.91811e-26, 1.43667e-11, 1.91811e-26, 1.01336e-07, 1.91811e-26, 1.91811e-26, 1.91811e-26
0.486495, 0, 1.41971e-07, 7.1391e-26, 1.41421, -1.41971e-07, 0, 7.1391e-26, 7.1391e-26, 7.1391e-26, 7.1391e-26, 7.1391e-26, 7.1391e-26, 3.50315e-12, 7.1391e-26, 7.1391e-26, 7.1391e-26, 7.1391e-26, 7.1391e-26, 5.17166e-11, 7.1391e-26, 2.31686e-11, 7.1391e-26, 1.41893e-07, 7.1391e-26, 7.1391e-26, 7.1391e-26
0.4944, 0, 1.9741e-07, 2.55677e-25, 1.41421, -1.9741e-07, 0, 2.55677e-25, 2.55677e-25, 2.55677e-25, 2.55677e-25, 2.55677e-25, 2.55677e-25, 9.52657e-12, 2.55677e-25, 2.55677e-25, 2.55677e-25, 2.55677e-25, 2.55677e-25, 8.34715e-11, 2.55677e-25, 3.72182e-11, 2.55677e-25, 1.9728e-07, 2.55677e-25, 2.55677e-25, 2.55677e-25
0.502305, 0, 2.74194e-07, 1.26773e-10, 1.41421, -2.74194e-07, 1.26773e-10, 1.26809e-10, 1.26775e-10, 6.17907e-10, 1.38881e-10, 1.34123e-10, 1.31007e-10, 1.97915e-10, 1.51024e-10, 1.28193e-10, 9.63062e-10, 1.27985e-10, 1.29065e-10, 2.60908e-10, 1.26773e-10, 1.86289e-10, 1.26775e-10, 2.72534e-07, 1.26773e-10, 1.26773e-10, 1.41655e-10
0.51021, 0, 3.79392e-07, 4.38508e-10, 1.41421, -3.79392e-07, 4.38508e-10, 4.38633e-10, 4.38515e-10, 2.14391e-09, 4.80553e-10, 4.64031e-10, 4.53209e-10, 6.59271e-10, 5.22716e-10, 4.43439e-10, 3.34242e-09, 4.42715e-10, 4.46468e-10, 6.53028e-10, 4.38508e-10, 5.33187e-10, 4.38514e-10, 3.74017e-07, 4.38508e-10, 4.38508e-10, 4.90186e-10
0.518116, 0, 5.24323e-07, 1.18406e-09, 1.41421, -5.24323e-07, 1.18406e-09, 1.1844e-09, 1.18408e-09, 5.79788e-09, 1.29781e-09, 1.25311e-09, 1.22383e-09, 1.75763e-09, 1.41188e-09, 1.1974e-09, 9.04035e-09, 1.19544e-09, 1.2056e-09, 1.52531e-09, 1.18406e-09, 1.3338e-09, 1.18408e-09, 5.10152e-07, 1.18406e-09, 1.18406e-09, 1.32387e-09
