   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_138.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Ni_K, Fe_K, Mn_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.378524, 0, 1.23789e-09, 5.01596e-36, 1.41421, -1.23789e-09, 0, 5.01596e-36, 5.01596e-36, 5.01596e-36, 5.01596e-36, 5.01596e-36, 5.01596e-36, 5.01596e-36, 5.01596e-36, 3.63526e-11, 5.01596e-36, 5.01596e-36, 2.1089e-13, 5.01596e-36, 1.20133e-09, 5.01596e-36, 5.01596e-36, 5.01596e-36
0.386411, 0, 1.90808e-09, 4.00034e-35, 1.41421, -1.90808e-09, 0, 4.00034e-35, 4.00034e-35, 4.00034e-35, 4.00034e-35, 4.00034e-35, 4.00034e-35, 4.00034e-35, 4.00034e-35, 5.60901e-11, 4.00034e-35, 4.00034e-35, 3.47918e-13, 4.00034e-35, 1.85164e-09, 4.00034e-35, 4.00034e-35, 4.00034e-35
0.394298, 0, 2.91806e-09, 2.93881e-34, 1.41421, -2.91806e-09, 0, 2.93881e-34, 2.93881e-34, 2.93881e-34, 2.93881e-34, 2.93881e-34, 2.93881e-34, 2.93881e-34, 2.93881e-34, 8.58846e-11, 2.93881e-34, 2.93881e-34, 5.7261e-13, 2.93881e-34, 2.83161e-09, 2.93881e-34, 2.93881e-34, 2.93881e-34
0.402184, 0, 4.42814e-09, 5.01848e-33, 1.41421, -4.42814e-09, 0, 5.01848e-33, 5.01848e-33, 5.01848e-33, 5.01848e-33, 5.01848e-33, 5.01848e-33, 5.01848e-33, 5.01848e-33, 1.30524e-10, 5.01848e-33, 5.01848e-33, 9.41931e-13, 5.01848e-33, 4.29667e-09, 5.01848e-33, 5.01848e-33, 5.01848e-33
0.410071, 0, 6.66736e-09, 3.04544e-32, 1.41421, -6.66736e-09, 0, 3.04544e-32, 3.04544e-32, 3.04544e-32, 3.04544e-32, 3.04544e-32, 3.04544e-32, 3.04544e-32, 3.04544e-32, 1.96876e-10, 3.04544e-32, 3.04544e-32, 1.54466e-12, 3.04544e-32, 6.46894e-09, 3.04544e-32, 3.04544e-32, 3.04544e-32
0.417957, 0, 9.96197e-09, 1.6587e-31, 1.41421, -9.96197e-09, 0, 1.6587e-31, 1.6587e-31, 1.6587e-31, 1.6587e-31, 1.6587e-31, 1.6587e-31, 1.6587e-31, 1.6587e-31, 2.94784e-10, 1.6587e-31, 1.6587e-31, 2.52987e-12, 1.6587e-31, 9.66466e-09, 1.6587e-31, 1.6587e-31, 1.6587e-31
0.425844, 0, 1.47714e-08, 8.79577e-31, 1.41421, -1.47714e-08, 0, 8.79577e-31, 8.79577e-31, 8.79577e-31, 8.79577e-31, 8.79577e-31, 8.79577e-31, 8.79577e-31, 8.79577e-31, 4.38197e-10, 8.79577e-31, 8.79577e-31, 4.13911e-12, 8.79577e-31, 1.4329e-08, 8.79577e-31, 8.79577e-31, 8.79577e-31
0.433731, 0, 2.17374e-08, 4.44164e-30, 1.41421, -2.17374e-08, 0, 4.44164e-30, 4.44164e-30, 4.44164e-30, 4.44164e-30, 4.44164e-30, 4.44164e-30, 4.44164e-30, 4.44164e-30, 6.46761e-10, 4.44164e-30, 4.44164e-30, 6.76568e-12, 4.44164e-30, 2.10839e-08, 4.44164e-30, 4.44164e-30, 4.44164e-30
0.441617, 0, 3.17497e-08, 2.12075e-29, 1.41421, -3.17497e-08, 0, 2.12075e-29, 2.12075e-29, 2.12075e-29, 2.12075e-29, 2.12075e-29, 2.12075e-29, 2.12075e-29, 2.12075e-29, 9.47947e-10, 2.12075e-29, 2.12075e-29, 1.10485e-11, 2.12075e-29, 3.07907e-08, 2.12075e-29, 2.12075e-29, 2.12075e-29
0.449504, 0, 4.60303e-08, 9.7563e-29, 1.41421, -4.60303e-08, 0, 9.7563e-29, 9.7563e-29, 9.7563e-29, 9.7563e-29, 9.7563e-29, 9.7563e-29, 9.7563e-29, 9.7563e-29, 1.37989e-09, 9.7563e-29, 9.7563e-29, 1.80224e-11, 9.7563e-29, 4.46324e-08, 9.7563e-29, 9.7563e-29, 9.7563e-29
0.45739, 0, 6.62454e-08, 4.29779e-28, 1.41421, -6.62454e-08, 0, 4.29779e-28, 4.29779e-28, 4.29779e-28, 4.29779e-28, 4.29779e-28, 4.29779e-28, 4.29779e-28, 4.29779e-28, 1.99523e-09, 4.29779e-28, 4.29779e-28, 2.9358e-11, 4.29779e-28, 6.42208e-08, 4.29779e-28, 4.29779e-28, 4.29779e-28
0.465277, 0, 9.46469e-08, 1.80502e-27, 1.41421, -9.46469e-08, 0, 1.80502e-27, 1.80502e-27, 1.80502e-27, 1.80502e-27, 1.80502e-27, 1.80502e-27, 1.80502e-27, 1.80502e-27, 2.86607e-09, 1.80502e-27, 1.80502e-27, 4.77382e-11, 1.80502e-27, 9.1733e-08, 1.80502e-27, 1.80502e-27, 1.80502e-27
0.473164, 0, 1.34256e-07, 7.23583e-27, 1.41421, -1.34256e-07, 0, 7.23583e-27, 7.23583e-27, 7.23583e-27, 7.23583e-27, 7.23583e-27, 7.23583e-27, 7.23583e-27, 7.23583e-27, 4.09064e-09, 7.23583e-27, 7.23583e-27, 7.74492e-11, 7.23583e-27, 1.30088e-07, 7.23583e-27, 7.23583e-27, 7.23583e-27
0.48105, 0, 1.89093e-07, 2.77155e-26, 1.41421, -1.89093e-07, 0, 2.77155e-26, 2.77155e-26, 2.77155e-26, 2.77155e-26, 2.77155e-26, 8.11715e-13, 2.77155e-26, 2.77155e-26, 5.80191e-09, 2.77155e-26, 2.77155e-26, 1.25293e-10, 2.77155e-26, 1.83165e-07, 2.77155e-26, 2.77155e-26, 2.77155e-26
0.488937, 0, 2.64463e-07, 1.01607e-25, 1.41421, -2.64463e-07, 0, 1.01607e-25, 1.01607e-25, 1.01607e-25, 1.01607e-25, 1.01607e-25, 2.81902e-12, 1.01607e-25, 1.01607e-25, 8.17876e-09, 1.01607e-25, 1.01607e-25, 2.01984e-10, 1.01607e-25, 2.5608e-07, 1.01607e-25, 1.01607e-25, 1.01607e-25
0.496823, 0, 3.6732e-07, 3.59515e-25, 1.41421, -3.6732e-07, 0, 3.59515e-25, 3.59515e-25, 3.59515e-25, 3.59515e-25, 3.59515e-25, 7.62262e-12, 3.59515e-25, 3.59515e-25, 1.14605e-08, 3.59515e-25, 3.59515e-25, 3.24266e-10, 3.59515e-25, 3.55528e-07, 3.59515e-25, 3.59515e-25, 3.59515e-25
0.50471, 0, 5.08869e-07, 1.20938e-10, 1.41421, -5.08869e-07, 1.20938e-10, 1.20987e-10, 1.20954e-10, 6.63523e-10, 1.48361e-10, 1.28029e-10, 1.77871e-10, 4.74162e-10, 1.12448e-09, 1.60865e-08, 1.23424e-10, 1.20938e-10, 6.39006e-10, 1.20939e-10, 4.90376e-07, 1.20938e-10, 1.20938e-10, 1.37185e-10
0.512597, 0, 7.01758e-07, 4.19717e-10, 1.41421, -7.01758e-07, 4.19717e-10, 4.19884e-10, 4.19771e-10, 2.29393e-09, 5.1444e-10, 4.4421e-10, 5.95576e-10, 1.63983e-09, 3.88619e-09, 2.25342e-08, 4.28303e-10, 4.19717e-10, 1.24289e-09, 4.1972e-10, 6.719e-07, 4.19717e-10, 4.19717e-10, 4.75836e-10
0.520483, 0, 9.65247e-07, 1.13419e-09, 1.41421, -9.65247e-07, 1.13419e-09, 1.13464e-09, 1.13434e-09, 6.1778e-09, 1.3891e-09, 1.2001e-09, 1.5888e-09, 4.41759e-09, 1.04626e-08, 3.15943e-08, 1.1573e-09, 1.13419e-09, 2.43415e-09, 1.1342e-09, 9.14881e-07, 1.13419e-09, 1.13419e-09, 1.28521e-09
0.52837, 0, 1.32771e-06, 2.79397e-09, 1.41421, -1.32771e-06, 2.79397e-09, 2.79507e-09, 2.79433e-09, 1.51791e-08, 3.41992e-09, 2.95582e-09, 3.88529e-09, 1.08567e-08, 2.57009e-08, 4.45185e-08, 2.85071e-09, 2.79397e-09, 4.83314e-09, 2.79399e-09, 1.23828e-06, 2.79397e-09, 2.79397e-09, 3.16481e-09
0.536256, 0, 1.8336e-06, 6.5483e-09, 1.41421, -1.8336e-06, 6.5483e-09, 6.55087e-09, 6.54912e-09, 3.5508e-08, 8.01192e-09, 6.92675e-09, 9.05748e-09, 2.54011e-08, 6.01111e-08, 6.33935e-08, 6.68095e-09, 6.5483e-09, 9.72389e-09, 6.54833e-09, 1.66685e-06, 6.5483e-09, 6.5483e-09, 7.41543e-09
0.544143, 0, 2.5563e-06, 1.48266e-08, 1.41421, -2.5563e-06, 1.48266e-08, 1.48325e-08, 1.48285e-08, 8.02821e-08, 1.81348e-08, 1.5682e-08, 2.04991e-08, 5.74382e-08, 1.3589e-07, 9.18586e-08, 1.51265e-08, 1.48266e-08, 1.97399e-08, 1.48267e-08, 2.23312e-06, 1.48266e-08, 1.48266e-08, 1.67865e-08
0.55203, 0, 3.62312e-06, 3.26318e-08, 1.41421, -3.62312e-06, 3.26318e-08, 3.26446e-08, 3.26359e-08, 1.76489e-07, 3.99023e-08, 3.45117e-08, 4.58263e-08, 1.26283e-07, 2.98704e-07, 1.36468e-07, 3.32908e-08, 3.26318e-08, 4.01676e-08, 3.2632e-08, 2.98084e-06, 3.26318e-08, 3.26318e-08, 3.69392e-08
0.559916, 0, 5.26727e-06, 6.99979e-08, 1.41421, -5.26727e-06, 6.99979e-08, 7.00253e-08, 7.00067e-08, 3.78204e-07, 8.55746e-08, 7.40256e-08, 1.07029e-07, 2.7064e-07, 6.40043e-07, 2.09235e-07, 7.14097e-08, 6.99979e-08, 8.14611e-08, 6.99983e-08, 3.97036e-06, 6.99979e-08, 6.99979e-08, 7.92264e-08
0.567803, 0, 7.89967e-06, 1.46529e-07, 1.41421, -7.89967e-06, 1.46529e-07, 1.46586e-07, 1.46547e-07, 7.90964e-07, 1.79099e-07, 1.5495e-07, 2.35898e-07, 5.66057e-07, 1.33845e-06, 3.32271e-07, 1.49481e-07, 1.46529e-07, 1.6382e-07, 1.4653e-07, 5.28807e-06, 1.46529e-07, 1.46529e-07, 1.65825e-07
0.575689, 0, 1.22721e-05, 2.99534e-07, 1.41421, -1.22721e-05, 2.99534e-07, 2.99651e-07, 2.99571e-07, 1.61539e-06, 3.66037e-07, 3.16729e-07, 5.01607e-07, 1.15616e-06, 2.73328e-06, 5.46051e-07, 3.05561e-07, 2.99534e-07, 3.25397e-07, 2.99535e-07, 7.06217e-06, 2.99534e-07, 2.99534e-07, 3.38934e-07
0.583576, 0, 1.97383e-05, 5.98164e-07, 1.41421, -1.97383e-05, 5.98164e-07, 5.98398e-07, 5.98239e-07, 3.22284e-06, 7.30815e-07, 6.32464e-07, 1.03761e-06, 2.30683e-06, 5.45266e-06, 9.23699e-07, 6.10187e-07, 5.98164e-07, 6.36524e-07, 5.98167e-07, 9.4893e-06, 5.98164e-07, 5.98164e-07, 6.76754e-07
0.591463, 0, 3.27017e-05, 1.16724e-06, 1.41421, -3.27017e-05, 1.16724e-06, 1.16769e-06, 1.16738e-06, 6.28268e-06, 1.42577e-06, 1.23408e-06, 2.096e-06, 4.4974e-06, 1.06286e-05, 1.59501e-06, 1.19067e-06, 1.16724e-06, 1.22366e-06, 1.16724e-06, 1.28793e-05, 1.16724e-06, 1.16724e-06, 1.32041e-06
0.599349, 0, 5.53543e-05, 2.22615e-06, 1.41421, -5.53543e-05, 2.22615e-06, 2.22702e-06, 2.22643e-06, 1.19697e-05, 2.71859e-06, 2.35348e-06, 4.14601e-06, 8.56924e-06, 2.02475e-05, 2.78559e-06, 2.27078e-06, 2.22615e-06, 2.30849e-06, 2.22616e-06, 1.77274e-05, 2.22615e-06, 2.22615e-06, 2.5179e-06
0.607236, 0, 9.48629e-05, 4.15041e-06, 1.41421, -9.48629e-05, 4.15041e-06, 4.15203e-06, 4.15093e-06, 2.22912e-05, 5.06725e-06, 4.38748e-06, 8.05093e-06, 1.59601e-05, 3.77029e-05, 4.87869e-06, 4.23351e-06, 4.15041e-06, 4.26966e-06, 4.15043e-06, 2.48295e-05, 4.15041e-06, 4.15041e-06, 4.6936e-06
0.615122, 0, 0.000163193, 7.56567e-06, 1.41421, -0.000163193, 7.56567e-06, 7.56861e-06, 7.56661e-06, 4.05853e-05, 9.23448e-06, 7.99717e-06, 1.53526e-05, 2.90615e-05, 6.86375e-05, 8.50964e-06, 7.71692e-06, 7.56567e-06, 7.73716e-06, 7.56571e-06, 3.54586e-05, 7.56567e-06, 7.56567e-06, 8.55436e-06
0.623009, 0, 0.000279863, 1.34866e-05, 1.41421, -0.000279863, 1.34866e-05, 1.34918e-05, 1.34882e-05, 7.22544e-05, 1.64567e-05, 1.42545e-05, 2.87581e-05, 5.17445e-05, 0.000122181, 1.47052e-05, 1.37557e-05, 1.34866e-05, 1.37316e-05, 1.34866e-05, 5.16336e-05, 1.34866e-05, 1.34866e-05, 1.52462e-05
0.630896, 0, 0.000475943, 2.35144e-05, 1.41421, -0.000475943, 2.35144e-05, 2.35235e-05, 2.35173e-05, 0.000125804, 2.86841e-05, 2.48511e-05, 5.29278e-05, 9.01054e-05, 0.000212706, 2.50816e-05, 2.39829e-05, 2.35144e-05, 2.38627e-05, 2.35145e-05, 7.64914e-05, 2.35144e-05, 2.35144e-05, 2.65772e-05
0.638782, 0, 0.000799684, 4.01072e-05, 1.41421, -0.000799684, 4.01072e-05, 4.01227e-05, 4.01121e-05, 0.000214259, 4.89088e-05, 4.2383e-05, 9.5725e-05, 0.00015348, 0.000362211, 4.21161e-05, 4.09049e-05, 4.01072e-05, 4.05998e-05, 4.01074e-05, 0.000114825, 4.01072e-05, 4.01072e-05, 4.53217e-05
0.646669, 0, 0.00132419, 6.69355e-05, 1.41421, -0.00132419, 6.69355e-05, 6.69613e-05, 6.69438e-05, 0.000357007, 8.15957e-05, 7.07262e-05, 0.000170153, 0.000255772, 0.000603439, 6.95027e-05, 6.82642e-05, 6.69355e-05, 6.76294e-05, 6.69358e-05, 0.000173797, 6.69355e-05, 6.69355e-05, 7.5621e-05
