   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_290.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.284137, 0, 1.02094e-12, 0, 1.41421, -1.02094e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22643e-14, 0, 5.71262e-17, 0, 0, 1.00862e-12, 0, 0, 0
0.292018, 0, 1.80522e-12, 0, 1.41421, -1.80522e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.16861e-14, 0, 1.0353e-16, 0, 0, 1.78343e-12, 0, 0, 0
0.2999, 0, 3.16262e-12, 0, 1.41421, -3.16262e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.79939e-14, 0, 1.86129e-16, 0, 0, 3.12444e-12, 0, 0, 0
0.307782, 0, 5.49013e-12, 0, 1.41421, -5.49013e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.59582e-14, 0, 3.32042e-16, 0, 0, 5.42384e-12, 0, 0, 0
0.315663, 0, 9.44409e-12, 0, 1.41421, -9.44409e-12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13468e-13, 0, 5.8794e-16, 0, 0, 9.33003e-12, 0, 0, 0
0.323545, 0, 1.60992e-11, 0, 1.41421, -1.60992e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.93445e-13, 0, 1.03365e-15, 0, 0, 1.59047e-11, 0, 0, 0
0.331427, 0, 2.71982e-11, 1.34525e-43, 1.41421, -2.71982e-11, 0, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 1.34525e-43, 3.26849e-13, 1.34525e-43, 1.80501e-15, 1.34525e-43, 1.34525e-43, 2.68696e-11, 1.34525e-43, 1.34525e-43, 1.34525e-43
0.339309, 0, 4.55397e-11, 2.40042e-42, 1.41421, -4.55397e-11, 0, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 2.40042e-42, 5.47353e-13, 2.40042e-42, 3.13205e-15, 2.40042e-42, 2.40042e-42, 4.49893e-11, 2.40042e-42, 2.40042e-42, 2.40042e-42
0.34719, 0, 7.55749e-11, 3.54402e-41, 1.41421, -7.55749e-11, 0, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 3.54402e-41, 9.08547e-13, 3.54402e-41, 5.40286e-15, 3.54402e-41, 3.54402e-41, 7.46609e-11, 3.54402e-41, 3.54402e-41, 3.54402e-41
0.355072, 0, 1.24315e-10, 4.62675e-40, 1.41421, -1.24315e-10, 0, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 4.62675e-40, 1.49491e-12, 4.62675e-40, 9.27014e-15, 4.62675e-40, 4.62675e-40, 1.22811e-10, 4.62675e-40, 4.62675e-40, 4.62675e-40
