   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_103.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Mn_K, Ca_K, K_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.424281, 0, 4.55512e-08, 2.02222e-30, 1.41421, -4.55512e-08, 0, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.02222e-30, 2.01026e-10, 2.02222e-30, 2.02222e-30, 6.60558e-12, 1.53548e-11, 2.02222e-30, 4.53282e-08, 2.02222e-30, 2.02222e-30, 2.02222e-30
0.432176, 0, 6.59299e-08, 2.10219e-29, 1.41421, -6.59299e-08, 0, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.10219e-29, 2.92022e-10, 2.10219e-29, 2.10219e-29, 1.07077e-11, 2.4778e-11, 2.10219e-29, 6.56024e-08, 2.10219e-29, 2.10219e-29, 2.10219e-29
0.440072, 0, 9.4751e-08, 9.73342e-29, 1.41421, -9.4751e-08, 0, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 9.73342e-29, 4.21446e-10, 9.73342e-29, 9.73342e-29, 1.73246e-11, 3.98969e-11, 9.73342e-29, 9.42723e-08, 9.73342e-29, 9.73342e-29, 9.73342e-29
0.447967, 0, 1.3522e-07, 4.31583e-28, 1.41421, -1.3522e-07, 0, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 4.31583e-28, 6.04375e-10, 4.31583e-28, 4.31583e-28, 2.79973e-11, 6.41423e-11, 4.31583e-28, 1.34524e-07, 4.31583e-28, 4.31583e-28, 4.31583e-28
0.455862, 0, 1.91641e-07, 1.82517e-27, 1.41421, -1.91641e-07, 0, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 1.82517e-27, 8.61328e-10, 1.82517e-27, 1.82517e-27, 4.5173e-11, 1.0293e-10, 1.82517e-27, 1.90632e-07, 1.82517e-27, 1.82517e-27, 1.82517e-27
0.463758, 0, 2.69747e-07, 7.36093e-27, 1.41421, -2.69747e-07, 0, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 7.36093e-27, 1.22008e-09, 7.36093e-27, 7.36093e-27, 7.27355e-11, 1.64797e-10, 7.36093e-27, 2.68289e-07, 7.36093e-27, 7.36093e-27, 7.36093e-27
0.471653, 0, 3.77126e-07, 2.83444e-26, 1.41421, -3.77126e-07, 0, 2.83444e-26, 2.83444e-26, 2.83444e-26, 2.83444e-26, 2.83444e-26, 2.83444e-26, 2.83444e-26, 6.49935e-12, 2.83444e-26, 2.83444e-26, 2.83444e-26, 1.718e-09, 2.83444e-26, 2.83444e-26, 1.16815e-10, 2.6312e-10, 2.83444e-26, 3.75022e-07, 2.83444e-26, 2.83444e-26, 2.83444e-26
0.479548, 0, 5.23734e-07, 1.044e-25, 1.41421, -5.23734e-07, 0, 1.044e-25, 1.044e-25, 1.044e-25, 1.044e-25, 1.044e-25, 1.044e-25, 1.044e-25, 2.22791e-11, 1.044e-25, 1.044e-25, 1.044e-25, 2.40512e-09, 1.044e-25, 1.044e-25, 1.87028e-10, 4.18716e-10, 1.044e-25, 5.20701e-07, 1.044e-25, 1.044e-25, 1.044e-25
0.487444, 0, 7.22544e-07, 3.70368e-25, 1.41421, -7.22544e-07, 0, 3.70368e-25, 3.70368e-25, 3.70368e-25, 3.70368e-25, 3.70368e-25, 3.70368e-25, 3.70368e-25, 5.94095e-11, 3.70368e-25, 3.70368e-25, 3.70368e-25, 3.34798e-09, 3.70368e-25, 3.70368e-25, 2.98363e-10, 6.63734e-10, 3.70368e-25, 7.18174e-07, 3.70368e-25, 3.70368e-25, 3.70368e-25
0.495339, 0, 9.92183e-07, 2.1209e-10, 1.41421, -9.92183e-07, 2.1209e-10, 2.12104e-10, 2.12212e-10, 2.1212e-10, 5.76585e-10, 2.14999e-10, 2.23432e-10, 2.13065e-10, 6.58647e-10, 2.68416e-10, 2.19825e-10, 9.30709e-10, 4.84685e-09, 2.23756e-10, 2.14035e-10, 6.86111e-10, 1.25951e-09, 2.12092e-10, 9.8437e-07, 2.1209e-10, 2.1209e-10, 2.45913e-10
0.503234, 0, 1.35498e-06, 7.19476e-10, 1.41421, -1.35498e-06, 7.19476e-10, 7.19523e-10, 7.1989e-10, 7.19579e-10, 1.96247e-09, 7.29396e-10, 7.58153e-10, 7.228e-10, 2.08418e-09, 9.11556e-10, 7.45851e-10, 3.17009e-09, 7.10081e-09, 7.59258e-10, 7.26107e-10, 1.4692e-09, 2.36402e-09, 7.19481e-10, 1.34071e-06, 7.19476e-10, 7.19476e-10, 8.34816e-10
0.51113, 0, 1.84209e-06, 1.90405e-09, 1.41421, -1.84209e-06, 1.90405e-09, 1.90417e-09, 1.90514e-09, 1.90432e-09, 5.20355e-09, 1.93038e-09, 2.00671e-09, 1.91287e-09, 5.38771e-09, 2.41392e-09, 1.97406e-09, 8.40916e-09, 1.06435e-08, 2.00965e-09, 1.92165e-09, 3.08388e-09, 4.47158e-09, 1.90406e-09, 1.81517e-06, 1.90405e-09, 1.90405e-09, 2.21021e-09
0.519025, 0, 2.49589e-06, 4.6022e-09, 1.41421, -2.49589e-06, 4.6022e-09, 4.6025e-09, 4.60486e-09, 4.60286e-09, 1.25929e-08, 4.66597e-09, 4.85084e-09, 4.62357e-09, 1.2857e-08, 5.83701e-09, 4.77175e-09, 2.03563e-08, 1.65087e-08, 4.85794e-09, 4.64483e-09, 6.44889e-09, 8.58598e-09, 4.60223e-09, 2.44337e-06, 4.6022e-09, 4.6022e-09, 5.34367e-09
0.52692, 0, 3.37661e-06, 1.06026e-08, 1.41421, -3.37661e-06, 1.06026e-08, 1.06033e-08, 1.06088e-08, 1.06042e-08, 2.90362e-08, 1.07498e-08, 1.11762e-08, 1.06519e-08, 2.93417e-08, 1.34512e-08, 1.09938e-08, 4.69453e-08, 2.67405e-08, 1.11926e-08, 1.0701e-08, 1.34765e-08, 1.6743e-08, 1.06027e-08, 3.27153e-06, 1.06026e-08, 1.06026e-08, 1.23131e-08
0.534816, 0, 4.57393e-06, 2.36343e-08, 1.41421, -4.57393e-06, 2.36343e-08, 2.36359e-08, 2.3648e-08, 2.36377e-08, 6.47661e-08, 2.39626e-08, 2.49142e-08, 2.37443e-08, 6.55289e-08, 2.99904e-08, 2.45071e-08, 1.04727e-07, 4.53964e-08, 2.49507e-08, 2.38537e-08, 2.80797e-08, 3.3041e-08, 2.36345e-08, 4.35987e-06, 2.36343e-08, 2.36343e-08, 2.7451e-08
0.542711, 0, 6.23204e-06, 5.12824e-08, 1.41421, -6.23204e-06, 5.12824e-08, 5.12858e-08, 5.13121e-08, 5.12898e-08, 1.40602e-07, 5.19952e-08, 5.40617e-08, 5.15212e-08, 1.48147e-07, 6.5085e-08, 5.31776e-08, 2.2738e-07, 8.04817e-08, 5.4141e-08, 5.17589e-08, 5.81152e-08, 6.55785e-08, 5.12828e-08, 5.78833e-06, 5.12824e-08, 5.12824e-08, 5.95705e-08
0.550607, 0, 8.6345e-06, 1.08589e-07, 1.41421, -8.6345e-06, 1.08589e-07, 1.08596e-07, 1.08652e-07, 1.08605e-07, 2.9785e-07, 1.101e-07, 1.14478e-07, 1.09095e-07, 3.78185e-07, 1.37836e-07, 1.12605e-07, 4.81725e-07, 1.47573e-07, 1.14646e-07, 1.09599e-07, 1.19023e-07, 1.3015e-07, 1.0859e-07, 7.66564e-06, 1.08589e-07, 1.08589e-07, 1.26151e-07
0.558502, 0, 1.21893e-05, 2.24642e-07, 1.41421, -1.21893e-05, 2.24642e-07, 2.24656e-07, 2.24772e-07, 2.24674e-07, 6.16421e-07, 2.27768e-07, 2.36832e-07, 2.25689e-07, 8.69118e-07, 2.85183e-07, 2.32955e-07, 9.97053e-07, 2.76433e-07, 2.3718e-07, 2.26732e-07, 2.40468e-07, 2.56905e-07, 2.24643e-07, 1.01444e-05, 2.24642e-07, 2.24642e-07, 2.60996e-07
