   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_26.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Na_K, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.494358, 0, 1.05301e-06, 9.9583e-10, 1.41421, -1.05301e-06, 9.9583e-10, 9.96003e-10, 9.96107e-10, 1.56585e-09, 1.00118e-09, 9.98392e-10, 1.01775e-09, 1.49567e-09, 1.30789e-09, 7.66668e-09, 1.71032e-08, 9.99597e-10, 1.35499e-09, 9.96714e-10, 9.95837e-10, 1.02836e-06, 9.9583e-10, 9.9583e-10, 1.08881e-09
0.502273, 0, 1.4243e-06, 2.58379e-09, 1.41421, -1.4243e-06, 2.58379e-09, 2.58424e-09, 2.58451e-09, 4.06694e-09, 2.5977e-09, 2.59046e-09, 2.64084e-09, 3.8368e-09, 3.39574e-09, 1.99408e-08, 2.4448e-08, 2.59359e-09, 3.14257e-09, 2.58682e-09, 2.58381e-09, 1.38064e-06, 2.58379e-09, 2.58379e-09, 2.82571e-09
0.510187, 0, 1.92462e-06, 6.11511e-09, 1.41421, -1.92462e-06, 6.11511e-09, 6.11617e-09, 6.11682e-09, 9.63315e-09, 6.14811e-09, 6.13092e-09, 6.25042e-09, 9.02706e-09, 8.04106e-09, 4.7286e-08, 3.5647e-08, 6.13835e-09, 6.97997e-09, 6.1233e-09, 6.11515e-09, 1.8439e-06, 6.11511e-09, 6.11511e-09, 6.68895e-09
0.518102, 0, 2.60571e-06, 1.37955e-08, 1.41421, -2.60571e-06, 1.37955e-08, 1.37979e-08, 1.37994e-08, 2.17441e-08, 1.38701e-08, 1.38313e-08, 1.41012e-08, 2.02772e-08, 1.8147e-08, 1.06816e-07, 5.34903e-08, 1.3848e-08, 1.51268e-08, 1.38155e-08, 1.37956e-08, 2.45109e-06, 1.37955e-08, 1.37955e-08, 1.5092e-08
0.526016, 0, 3.5491e-06, 3.01307e-08, 1.41421, -3.5491e-06, 3.01307e-08, 3.0136e-08, 3.01392e-08, 4.75099e-08, 3.02938e-08, 3.02089e-08, 3.07992e-08, 4.4369e-08, 3.96449e-08, 2.33515e-07, 8.32298e-08, 3.02456e-08, 3.21682e-08, 3.01769e-08, 3.01309e-08, 3.24553e-06, 3.01307e-08, 3.01307e-08, 3.29655e-08
0.533931, 0, 4.89062e-06, 6.41103e-08, 1.41421, -4.89062e-06, 6.41103e-08, 6.41215e-08, 6.41283e-08, 1.0112e-07, 6.44574e-08, 6.42766e-08, 6.55338e-08, 9.6718e-08, 8.43711e-08, 4.97225e-07, 1.34803e-07, 6.43548e-08, 6.72096e-08, 6.42128e-08, 6.41107e-08, 4.28549e-06, 6.41103e-08, 6.41103e-08, 7.0147e-08
0.541845, 0, 6.87945e-06, 1.33248e-07, 1.41421, -6.87945e-06, 1.33248e-07, 1.33271e-07, 1.33285e-07, 2.10225e-07, 1.3397e-07, 1.33594e-07, 1.36209e-07, 2.25358e-07, 1.75389e-07, 1.0341e-06, 2.26921e-07, 1.33757e-07, 1.37933e-07, 1.33469e-07, 1.33249e-07, 5.65164e-06, 1.33248e-07, 1.33248e-07, 1.45804e-07
0.54976, 0, 9.91972e-06, 2.70862e-07, 1.41421, -9.91972e-06, 2.70862e-07, 2.70909e-07, 2.70938e-07, 4.27444e-07, 2.72331e-07, 2.71565e-07, 2.76884e-07, 4.90255e-07, 3.56582e-07, 2.10331e-06, 3.94407e-07, 2.71896e-07, 2.77899e-07, 2.71325e-07, 2.70863e-07, 7.45964e-06, 2.70862e-07, 2.70862e-07, 2.96402e-07
0.557674, 0, 1.47409e-05, 5.38833e-07, 1.41421, -1.47409e-05, 5.38833e-07, 5.38927e-07, 5.38984e-07, 8.5053e-07, 5.41757e-07, 5.40234e-07, 5.50821e-07, 1.02546e-06, 7.09472e-07, 4.18656e-06, 7.01026e-07, 5.40892e-07, 5.4934e-07, 5.39783e-07, 5.38836e-07, 9.8811e-06, 5.38833e-07, 5.38833e-07, 5.89675e-07
0.565589, 0, 2.26271e-05, 1.04938e-06, 1.41421, -2.26271e-05, 1.04938e-06, 1.04957e-06, 1.04968e-06, 1.65682e-06, 1.05508e-06, 1.05211e-06, 1.07275e-06, 2.08458e-06, 1.38193e-06, 8.15813e-06, 1.26135e-06, 1.0534e-06, 1.06496e-06, 1.05129e-06, 1.04939e-06, 1.31783e-05, 1.04938e-06, 1.04938e-06, 1.14847e-06
0.573503, 0, 3.58292e-05, 2.00116e-06, 1.41421, -3.58292e-05, 2.00116e-06, 2.00151e-06, 2.00172e-06, 3.16033e-06, 2.01203e-06, 2.00636e-06, 2.04574e-06, 4.14844e-06, 2.63574e-06, 1.55667e-05, 2.27692e-06, 2.00881e-06, 2.0241e-06, 2.0049e-06, 2.00117e-06, 1.77618e-05, 2.00116e-06, 2.00116e-06, 2.19023e-06
0.581418, 0, 5.82087e-05, 3.73745e-06, 1.41421, -5.82087e-05, 3.73745e-06, 3.73811e-06, 3.7385e-06, 5.90394e-06, 3.75777e-06, 3.74719e-06, 3.82078e-06, 8.07682e-06, 4.92349e-06, 2.90914e-05, 4.09466e-06, 3.75177e-06, 3.77104e-06, 3.74466e-06, 3.73748e-06, 2.4282e-05, 3.73745e-06, 3.73745e-06, 4.09083e-06
0.589332, 0, 9.63628e-05, 6.83722e-06, 1.41421, -9.63628e-05, 6.83722e-06, 6.83842e-06, 6.83914e-06, 1.08036e-05, 6.87442e-06, 6.85504e-06, 6.98977e-06, 1.54646e-05, 9.00859e-06, 5.32544e-05, 7.29797e-06, 6.86342e-06, 6.88605e-06, 6.85082e-06, 6.83726e-06, 3.37734e-05, 6.83722e-06, 6.83722e-06, 7.48418e-06
0.597247, 0, 0.000161281, 1.22533e-05, 1.41421, -0.000161281, 1.22533e-05, 1.22554e-05, 1.22567e-05, 1.93672e-05, 1.232e-05, 1.22853e-05, 1.25269e-05, 2.91253e-05, 1.61478e-05, 9.55064e-05, 1.28452e-05, 1.23003e-05, 1.23238e-05, 1.22784e-05, 1.22534e-05, 4.78747e-05, 1.22533e-05, 1.22533e-05, 1.34137e-05
0.605161, 0, 0.000270959, 2.15159e-05, 1.41421, -0.000270959, 2.15159e-05, 2.15197e-05, 2.15219e-05, 3.40181e-05, 2.16331e-05, 2.15721e-05, 2.19967e-05, 5.39656e-05, 2.83602e-05, 0.000167827, 2.22734e-05, 2.15985e-05, 2.16172e-05, 2.15615e-05, 2.1516e-05, 6.9161e-05, 2.15159e-05, 2.15159e-05, 2.35551e-05
0.613076, 0, 0.000454253, 3.70215e-05, 1.41421, -0.000454253, 3.70215e-05, 3.70281e-05, 3.7032e-05, 5.85531e-05, 3.72235e-05, 3.71183e-05, 3.78497e-05, 9.83853e-05, 4.8809e-05, 0.000289001, 3.79875e-05, 3.71638e-05, 3.71662e-05, 3.71025e-05, 3.70218e-05, 0.000101601, 3.70215e-05, 3.70215e-05, 4.05336e-05
