   PIQUANT 0.0.0-main  ps__0293_0692986818_000rfs_shot_259.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Fe_K, Mn_K, Ti_K, Ca_K, Cl_K, S_K, Si_K, Br_L, Mg_K, Zn_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.441546, 0, 3.73065e-08, 2.17399e-30, 1.41421, -3.73065e-08, 0, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 2.17399e-30, 8.1687e-11, 2.17399e-30, 3.03683e-12, 2.17399e-30, 3.72217e-08, 2.17399e-30, 2.17399e-30, 2.17399e-30
0.449429, 0, 5.54049e-08, 1.10425e-29, 1.41421, -5.54049e-08, 0, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.10425e-29, 1.2173e-10, 1.10425e-29, 5.07658e-12, 1.10425e-29, 5.52781e-08, 1.10425e-29, 1.10425e-29, 1.10425e-29
0.457313, 0, 8.16246e-08, 5.30125e-29, 1.41421, -8.16246e-08, 0, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 5.30125e-29, 1.80058e-10, 5.30125e-29, 8.4753e-12, 5.30125e-29, 8.14361e-08, 5.30125e-29, 5.30125e-29, 5.30125e-29
0.465196, 0, 1.19299e-07, 2.44801e-28, 1.41421, -1.19299e-07, 0, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.44801e-28, 2.64402e-10, 2.44801e-28, 1.41246e-11, 2.44801e-28, 1.19021e-07, 2.44801e-28, 2.44801e-28, 2.44801e-28
0.47308, 0, 1.72998e-07, 1.84996e-27, 1.41421, -1.72998e-07, 0, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 1.84996e-27, 3.85507e-10, 1.84996e-27, 2.35004e-11, 1.84996e-27, 1.72589e-07, 1.84996e-27, 1.84996e-27, 1.84996e-27
0.480963, 0, 2.48917e-07, 7.4718e-27, 1.41421, -2.48917e-07, 0, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 7.4718e-27, 5.58171e-10, 7.4718e-27, 3.89597e-11, 7.4718e-27, 2.4832e-07, 7.4718e-27, 7.4718e-27, 7.4718e-27
0.488846, 0, 3.55408e-07, 2.88386e-26, 1.41421, -3.55408e-07, 0, 2.88386e-26, 2.88386e-26, 2.88386e-26, 2.88386e-26, 2.88386e-26, 2.88386e-26, 1.16019e-12, 2.88386e-26, 2.88386e-26, 8.02698e-10, 2.88386e-26, 6.43641e-11, 2.88386e-26, 3.5454e-07, 2.88386e-26, 2.88386e-26, 2.88386e-26
0.49673, 0, 5.03614e-07, 1.06558e-25, 1.41421, -5.03614e-07, 0, 1.06558e-25, 1.06558e-25, 1.06558e-25, 1.06558e-25, 1.06558e-25, 1.06558e-25, 4.14145e-12, 1.06558e-25, 1.06558e-25, 1.14672e-09, 1.06558e-25, 1.059e-10, 1.06558e-25, 5.02358e-07, 1.06558e-25, 1.06558e-25, 1.06558e-25
0.504613, 0, 7.08285e-07, 3.79828e-25, 1.41421, -7.08285e-07, 0, 3.79828e-25, 3.79828e-25, 3.79828e-25, 3.79828e-25, 3.79828e-25, 3.79828e-25, 1.15352e-11, 3.79828e-25, 3.79828e-25, 1.62762e-09, 3.79828e-25, 1.73428e-10, 3.79828e-25, 7.06472e-07, 3.79828e-25, 3.79828e-25, 3.79828e-25
0.512497, 0, 9.9043e-07, 1.40436e-10, 1.41421, -9.9043e-07, 1.40436e-10, 1.40442e-10, 1.40507e-10, 4.80624e-10, 1.50231e-10, 1.4108e-10, 1.65291e-10, 2.24756e-10, 3.61452e-10, 8.81267e-10, 2.43612e-09, 1.41868e-10, 4.22969e-10, 1.40437e-10, 9.86409e-07, 1.40436e-10, 1.40436e-10, 1.60031e-10
0.52038, 0, 1.37616e-06, 4.96896e-10, 1.41421, -1.37616e-06, 4.96896e-10, 4.96918e-10, 4.97151e-10, 1.70415e-09, 5.31658e-10, 4.99183e-10, 5.85104e-10, 7.63015e-10, 1.28124e-09, 3.12595e-09, 3.71492e-09, 5.0198e-10, 9.546e-10, 4.969e-10, 1.36739e-06, 4.96896e-10, 4.96896e-10, 5.66438e-10
0.528264, 0, 1.90185e-06, 1.37306e-09, 1.41421, -1.90185e-06, 1.37306e-09, 1.37312e-09, 1.37377e-09, 4.71791e-09, 1.46938e-09, 1.3794e-09, 1.61746e-09, 2.07954e-09, 3.54617e-09, 8.65717e-09, 5.85681e-09, 1.38715e-09, 2.10999e-09, 1.37307e-09, 1.88257e-06, 1.37306e-09, 1.37306e-09, 1.56574e-09
0.536147, 0, 2.6176e-06, 3.46829e-09, 1.41421, -2.6176e-06, 3.46829e-09, 3.46845e-09, 3.47008e-09, 1.19312e-08, 3.71197e-09, 3.48433e-09, 4.08663e-09, 5.21234e-09, 8.96653e-09, 2.1898e-08, 9.67868e-09, 3.50393e-09, 4.64703e-09, 3.46832e-09, 2.57467e-06, 3.46829e-09, 3.46829e-09, 3.95578e-09
0.54403, 0, 3.59541e-06, 8.34435e-09, 1.41421, -3.59541e-06, 8.34435e-09, 8.34472e-09, 8.34865e-09, 2.87279e-08, 8.93128e-09, 8.38297e-09, 9.83368e-09, 1.24679e-08, 2.15873e-08, 5.27339e-08, 1.68963e-08, 8.43019e-09, 1.02169e-08, 8.34442e-09, 3.49946e-06, 8.34435e-09, 8.34435e-09, 9.5185e-09
0.551914, 0, 4.9436e-06, 1.93931e-08, 1.41421, -4.9436e-06, 1.93931e-08, 1.9394e-08, 1.94031e-08, 6.68057e-08, 2.07583e-08, 1.94829e-08, 2.28573e-08, 2.89536e-08, 5.01966e-08, 1.22644e-07, 3.11019e-08, 1.95928e-08, 2.23468e-08, 1.93933e-08, 4.73005e-06, 1.93931e-08, 1.93931e-08, 2.21242e-08
0.559797, 0, 6.83464e-06, 4.37754e-08, 1.41421, -6.83464e-06, 4.37754e-08, 4.37773e-08, 4.3798e-08, 1.5087e-07, 4.68591e-08, 4.39783e-08, 5.16003e-08, 6.63725e-08, 1.13354e-07, 2.76997e-07, 5.97157e-08, 4.42264e-08, 4.84001e-08, 4.37757e-08, 6.36383e-06, 4.37754e-08, 4.37754e-08, 4.99444e-08
0.567681, 0, 9.56488e-06, 9.61858e-08, 1.41421, -9.56488e-06, 9.61858e-08, 9.61901e-08, 9.62355e-08, 3.31645e-07, 1.02966e-07, 9.66319e-08, 1.1339e-07, 1.58383e-07, 2.49162e-07, 6.08949e-07, 1.17765e-07, 9.71774e-08, 1.03373e-07, 9.61866e-08, 8.53368e-06, 9.61858e-08, 9.61858e-08, 1.09749e-07
0.575564, 0, 1.36321e-05, 2.05937e-07, 1.41421, -1.36321e-05, 2.05937e-07, 2.05947e-07, 2.06044e-07, 7.10362e-07, 2.20462e-07, 2.06893e-07, 2.42793e-07, 3.56697e-07, 5.33656e-07, 1.30443e-06, 2.3499e-07, 2.08062e-07, 2.17022e-07, 2.05939e-07, 1.1427e-05, 2.05937e-07, 2.05937e-07, 2.34994e-07
