   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_117.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.489036, 0, 3.7011e-07, 3.20191e-25, 1.41421, -3.7011e-07, 3.20191e-25, 0, 3.20191e-25, 3.20191e-25, 3.20191e-25, 3.20191e-25, 3.20191e-25, 3.20191e-25, 7.97794e-13, 3.20191e-25, 3.20191e-25, 3.20191e-25, 1.99963e-09, 3.20191e-25, 3.20191e-25, 4.28293e-11, 1.20089e-07, 3.20191e-25, 2.47978e-07, 3.20191e-25, 3.20191e-25, 3.20191e-25
0.496923, 0, 5.29505e-07, 6.86603e-10, 1.41421, -5.29505e-07, 6.93275e-10, 6.86603e-10, 6.86622e-10, 6.86641e-10, 6.99069e-10, 6.86832e-10, 6.87502e-10, 6.87087e-10, 6.92693e-10, 6.99304e-10, 6.93295e-10, 1.89953e-09, 3.43424e-09, 6.87705e-10, 6.8669e-10, 7.53979e-10, 1.88314e-07, 6.86604e-10, 3.37785e-07, 6.86603e-10, 6.86603e-10, 7.03472e-10
0.504811, 0, 7.57449e-07, 2.27851e-09, 1.41421, -7.57449e-07, 2.30072e-09, 2.27851e-09, 2.27857e-09, 2.27863e-09, 2.32002e-09, 2.27927e-09, 2.2815e-09, 2.28012e-09, 2.29676e-09, 2.3208e-09, 2.30079e-09, 6.31708e-09, 6.03468e-09, 2.28218e-09, 2.2788e-09, 2.38402e-09, 2.93886e-07, 2.27851e-09, 4.57729e-07, 2.27851e-09, 2.27851e-09, 2.33468e-09
0.512698, 0, 1.08455e-06, 5.888e-09, 1.41421, -1.08455e-06, 5.9455e-09, 5.888e-09, 5.88817e-09, 5.88832e-09, 5.99544e-09, 5.88998e-09, 5.89574e-09, 5.89218e-09, 5.9335e-09, 5.99747e-09, 5.94568e-09, 1.63422e-08, 1.09972e-08, 5.8975e-09, 5.88875e-09, 6.05238e-09, 4.56481e-07, 5.88801e-09, 6.17677e-07, 5.888e-09, 5.888e-09, 6.03339e-09
0.520585, 0, 1.55599e-06, 1.38858e-08, 1.41421, -1.55599e-06, 1.40216e-08, 1.38858e-08, 1.38862e-08, 1.38866e-08, 1.41395e-08, 1.38905e-08, 1.39041e-08, 1.38957e-08, 1.39911e-08, 1.41442e-08, 1.4022e-08, 3.85659e-08, 2.08011e-08, 1.39082e-08, 1.38876e-08, 1.41406e-08, 7.05783e-07, 1.38858e-08, 8.30948e-07, 1.38858e-08, 1.38858e-08, 1.42291e-08
0.528473, 0, 2.23983e-06, 3.12093e-08, 1.41421, -2.23983e-06, 3.15147e-08, 3.12093e-08, 3.12102e-08, 3.12111e-08, 3.17799e-08, 3.12198e-08, 3.12505e-08, 3.12315e-08, 3.14425e-08, 3.17906e-08, 3.15156e-08, 8.67217e-08, 4.05236e-08, 3.12598e-08, 3.12133e-08, 3.16018e-08, 1.08651e-06, 3.12094e-08, 1.11641e-06, 3.12093e-08, 3.12093e-08, 3.19814e-08
0.53636, 0, 3.2426e-06, 6.79101e-08, 1.41421, -3.2426e-06, 6.85749e-08, 6.79101e-08, 6.79121e-08, 6.79139e-08, 6.91523e-08, 6.7933e-08, 6.79997e-08, 6.79584e-08, 6.84523e-08, 6.91756e-08, 6.85769e-08, 1.88766e-07, 8.03953e-08, 6.802e-08, 6.79188e-08, 6.85112e-08, 1.66843e-06, 6.79103e-08, 1.50179e-06, 6.79101e-08, 6.79101e-08, 6.9591e-08
0.544248, 0, 4.7246e-06, 1.43958e-07, 1.41421, -4.7246e-06, 1.45368e-07, 1.43958e-07, 1.43962e-07, 1.43966e-07, 1.46592e-07, 1.44006e-07, 1.44148e-07, 1.4406e-07, 1.45185e-07, 1.46642e-07, 1.45372e-07, 4.0026e-07, 1.60614e-07, 1.44191e-07, 1.43976e-07, 1.44873e-07, 2.55148e-06, 1.43958e-07, 2.02966e-06, 1.43958e-07, 1.43958e-07, 1.47523e-07
0.552135, 0, 6.94576e-06, 2.98096e-07, 1.41421, -6.94576e-06, 3.01017e-07, 2.98096e-07, 2.98105e-07, 2.98113e-07, 3.03553e-07, 2.98197e-07, 2.9849e-07, 2.98308e-07, 3.0155e-07, 3.03656e-07, 3.01026e-07, 8.29017e-07, 3.20211e-07, 2.98579e-07, 2.98134e-07, 2.9948e-07, 3.8925e-06, 2.98097e-07, 2.76798e-06, 2.98096e-07, 2.98096e-07, 3.0548e-07
0.560022, 0, 1.03211e-05, 6.03715e-07, 1.41421, -1.03211e-05, 6.09632e-07, 6.03715e-07, 6.03733e-07, 6.03749e-07, 6.1477e-07, 6.03919e-07, 6.04512e-07, 6.04145e-07, 6.11921e-07, 6.14978e-07, 6.0965e-07, 1.67932e-06, 6.32941e-07, 6.04693e-07, 6.03793e-07, 6.05794e-07, 5.92938e-06, 6.03717e-07, 3.82867e-06, 6.03715e-07, 6.03715e-07, 6.18675e-07
0.56791, 0, 1.55247e-05, 1.19654e-06, 1.41421, -1.55247e-05, 1.20827e-06, 1.19654e-06, 1.19657e-06, 1.19661e-06, 1.21846e-06, 1.19694e-06, 1.19812e-06, 1.19739e-06, 1.2147e-06, 1.21887e-06, 1.2083e-06, 3.32906e-06, 1.23498e-06, 1.19848e-06, 1.19669e-06, 1.19964e-06, 9.02706e-06, 1.19654e-06, 5.39951e-06, 1.19654e-06, 1.19654e-06, 1.2262e-06
