   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_185.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.498369, 0, 3.61729e-05, 6.48869e-07, 1.41421, -3.61729e-05, 6.48869e-07, 6.48876e-07, 6.48891e-07, 6.4893e-07, 6.48888e-07, 6.51143e-07, 6.49265e-07, 6.58328e-07, 7.24636e-07, 6.49193e-07, 6.48885e-07, 6.55744e-07, 8.00004e-07, 6.4887e-07, 3.58961e-05, 6.48869e-07, 6.79315e-07
0.50615, 0, 4.7249e-05, 1.34872e-06, 1.41421, -4.7249e-05, 1.34872e-06, 1.34874e-06, 1.34877e-06, 1.34885e-06, 1.34876e-06, 1.35345e-06, 1.34954e-06, 1.3684e-06, 1.44802e-06, 1.34939e-06, 1.34875e-06, 1.35895e-06, 1.56868e-06, 1.34872e-06, 4.683e-05, 1.34872e-06, 1.41206e-06
0.513931, 0, 6.18079e-05, 2.73345e-06, 1.41421, -6.18079e-05, 2.73345e-06, 2.73348e-06, 2.73354e-06, 2.7337e-06, 2.73353e-06, 2.74304e-06, 2.73512e-06, 2.77335e-06, 2.86306e-06, 2.73481e-06, 2.73351e-06, 2.74857e-06, 3.05151e-06, 2.73345e-06, 6.11636e-05, 2.73345e-06, 2.86189e-06
0.521712, 0, 8.11943e-05, 5.41942e-06, 1.41421, -8.11943e-05, 5.41942e-06, 5.41948e-06, 5.4196e-06, 5.41993e-06, 5.41958e-06, 5.43845e-06, 5.42273e-06, 5.49858e-06, 5.58791e-06, 5.42213e-06, 5.41955e-06, 5.44165e-06, 5.87641e-06, 5.41942e-06, 8.01866e-05, 5.41942e-06, 5.67422e-06
0.529493, 0, 0.000107475, 1.05282e-05, 1.41421, -0.000107475, 1.05282e-05, 1.05283e-05, 1.05286e-05, 1.05292e-05, 1.05285e-05, 1.05652e-05, 1.05346e-05, 1.06821e-05, 1.07464e-05, 1.05335e-05, 1.05285e-05, 1.05607e-05, 1.11806e-05, 1.05282e-05, 0.000105872, 1.05282e-05, 1.10234e-05
0.537274, 0, 0.00014391, 2.00664e-05, 1.41421, -0.00014391, 2.00664e-05, 2.00667e-05, 2.00671e-05, 2.00683e-05, 2.0067e-05, 2.0137e-05, 2.00787e-05, 2.03598e-05, 2.03478e-05, 2.00765e-05, 2.00669e-05, 2.01137e-05, 2.09919e-05, 2.00664e-05, 0.000141322, 2.00664e-05, 2.10108e-05
0.545054, 0, 0.000195655, 3.74985e-05, 1.41421, -0.000195655, 3.74985e-05, 3.7499e-05, 3.74998e-05, 3.75021e-05, 3.74997e-05, 3.76304e-05, 3.75215e-05, 3.80471e-05, 3.78599e-05, 3.75173e-05, 3.74995e-05, 3.75667e-05, 3.8803e-05, 3.74986e-05, 0.000191426, 3.74985e-05, 3.92641e-05
0.552835, 0, 0.000271035, 6.87792e-05, 1.41421, -0.000271035, 6.87792e-05, 6.878e-05, 6.87816e-05, 6.87857e-05, 6.87813e-05, 6.90212e-05, 6.88213e-05, 6.97857e-05, 6.92416e-05, 6.88136e-05, 6.87809e-05, 6.88771e-05, 7.06063e-05, 6.87793e-05, 0.00026407, 6.87792e-05, 7.2019e-05
0.560616, 0, 0.000383362, 0.000123845, 1.41421, -0.000383362, 0.000123845, 0.000123846, 0.000123849, 0.000123856, 0.000123848, 0.000124281, 0.000123921, 0.000125658, 0.000124434, 0.000123907, 0.000123848, 0.000123984, 0.000126388, 0.000123845, 0.000371842, 0.000123845, 0.000129681
0.568397, 0, 0.000553793, 0.000218951, 1.41421, -0.000553793, 0.000218951, 0.000218953, 0.000218958, 0.000218971, 0.000218957, 0.000219722, 0.000219085, 0.000222158, 0.000219699, 0.00021906, 0.000218956, 0.000219149, 0.00022247, 0.000218951, 0.000534739, 0.000218951, 0.000229274
0.576178, 0, 0.000815624, 0.000380125, 1.41421, -0.000815624, 0.000380125, 0.000380129, 0.000380138, 0.000380161, 0.000380136, 0.000381464, 0.000380358, 0.000385696, 0.000381072, 0.000380316, 0.000380135, 0.000380404, 0.000384968, 0.000380125, 0.000784216, 0.000380125, 0.000398057
0.583959, 0, 0.00122029, 0.000648169, 1.41421, -0.00122029, 0.000648169, 0.000648176, 0.000648191, 0.00064823, 0.000648188, 0.000650454, 0.000648567, 0.000657673, 0.000649363, 0.000648494, 0.000648185, 0.000648561, 0.000654797, 0.000648169, 0.00116884, 0.000648169, 0.000678761
0.59174, 0, 0.00184611, 0.00108565, 1.41421, -0.00184611, 0.00108565, 0.00108566, 0.00108569, 0.00108575, 0.00108568, 0.00108948, 0.00108632, 0.00110158, 0.00108715, 0.0010862, 0.00108568, 0.0010862, 0.00109468, 0.00108565, 0.00176258, 0.00108565, 0.00113692
0.599521, 0, 0.00281017, 0.0017865, 1.41421, -0.00281017, 0.0017865, 0.00178652, 0.00178656, 0.00178667, 0.00178656, 0.00179281, 0.0017876, 0.00181273, 0.00178838, 0.0017874, 0.00178655, 0.00178726, 0.00179875, 0.0017865, 0.00267599, 0.0017865, 0.00187092
0.607302, 0, 0.00428408, 0.00288863, 1.41421, -0.00428408, 0.00288863, 0.00288866, 0.00288873, 0.0028889, 0.00288872, 0.00289883, 0.00289041, 0.00293106, 0.00289098, 0.00289008, 0.0028887, 0.00288968, 0.00290519, 0.00288863, 0.00407112, 0.00288863, 0.00302521
0.615083, 0, 0.00651436, 0.00459009, 1.41421, -0.00651436, 0.00459009, 0.00459014, 0.00459024, 0.00459052, 0.00459023, 0.00460631, 0.00459291, 0.00465756, 0.00459302, 0.0045924, 0.0045902, 0.00459153, 0.00461239, 0.00459009, 0.00618079, 0.00459009, 0.00480726
0.622864, 0, 0.00984796, 0.00716907, 1.41421, -0.00984796, 0.00716907, 0.00716915, 0.00716931, 0.00716975, 0.00716928, 0.00719442, 0.00717348, 0.00727452, 0.00717271, 0.00717267, 0.00716925, 0.00717103, 0.00719903, 0.00716907, 0.00933272, 0.00716907, 0.00750851
