   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_181.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, S_K, Si_K, Br_L, Al_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.611048, 0, 0.00815887, 0.00637024, 1.41421, -0.00815887, 0.00638667, 0.00637024, 0.00637033, 0.0063705, 0.00637112, 0.00638062, 0.0064193, 0.00637718, 0.00637126, 0.00637382, 0.00642761, 0.00637024, 0.00761667, 0.00637024, 0.00676641
0.6191, 0, 0.0125265, 0.00996879, 1.41421, -0.0125265, 0.00999452, 0.00996879, 0.00996893, 0.00996919, 0.00997017, 0.00998505, 0.0100456, 0.00997743, 0.00997038, 0.0099737, 0.0100452, 0.0099688, 0.0116937, 0.00996879, 0.0105893
0.627153, 0, 0.0189779, 0.0153109, 1.41421, -0.0189779, 0.0153504, 0.0153109, 0.0153111, 0.0153115, 0.015313, 0.0153359, 0.015429, 0.0153216, 0.0153133, 0.0153176, 0.0154124, 0.0153109, 0.0177169, 0.0153109, 0.0162648
0.635205, 0, 0.0283406, 0.0230868, 1.41421, -0.0283406, 0.0231465, 0.0230868, 0.0230871, 0.0230877, 0.02309, 0.0231245, 0.0232651, 0.0231, 0.0230905, 0.0230959, 0.0232214, 0.0230868, 0.0264599, 0.0230868, 0.0245266
0.643257, 0, 0.0416887, 0.0341881, 1.41421, -0.0416887, 0.0342766, 0.0341881, 0.0341886, 0.0341895, 0.0341928, 0.034244, 0.0344524, 0.0342045, 0.0341936, 0.0342005, 0.0343662, 0.0341881, 0.0389266, 0.0341881, 0.0363225
0.651309, 0, 0.0603811, 0.0497357, 1.41421, -0.0603811, 0.0498646, 0.0497357, 0.0497364, 0.0497378, 0.0497427, 0.0498172, 0.0501206, 0.0497559, 0.0497437, 0.0497524, 0.0499706, 0.0497358, 0.0563878, 0.0497357, 0.0528443
0.659361, 0, 0.0860959, 0.0711026, 1.41421, -0.0860959, 0.071287, 0.0711026, 0.0711036, 0.0711055, 0.0711125, 0.0712192, 0.0716534, 0.0711274, 0.071114, 0.071125, 0.0714114, 0.0711026, 0.0804131, 0.0711026, 0.0755521
0.667413, 0, 0.120852, 0.0999225, 1.41421, -0.120852, 0.100182, 0.0999225, 0.0999239, 0.0999266, 0.0999365, 0.100087, 0.100698, 0.099953, 0.0999386, 0.0999527, 0.100327, 0.0999226, 0.112892, 0.0999225, 0.106184
0.675466, 0.973932, 0.167018, 0.138084, 1.72451, 0.806914, 0.138444, 0.138084, 0.138086, 0.13809, 0.138104, 0.138311, 0.139157, 0.138122, 0.138107, 0.138125, 0.138612, 0.138085, 0.15604, 0.138084, 0.14675
0.683518, 1.02607, 0.227293, 0.187702, 1.73956, 0.798775, 0.18819, 0.187702, 0.187704, 0.187709, 0.187728, 0.188011, 0.189161, 0.187747, 0.187732, 0.187755, 0.188385, 0.187702, 0.212388, 0.187702, 0.1995
