   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_79.msa
Energy (keV), meas, calc, bkg, sigma, residual, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Pileup, Rh_L_coh_Lb1
0.522466, 0, 9.24224e-09, 7.91547e-29, 1.41421, -9.24224e-09, 0, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 7.91547e-29, 8.69873e-11, 7.91547e-29, 7.91547e-29, 4.38392e-13, 1.70696e-12, 7.91547e-29, 9.15311e-09, 7.91547e-29, 7.91547e-29, 7.91547e-29
0.530335, 0, 1.52438e-08, 3.54691e-28, 1.41421, -1.52438e-08, 0, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 3.54691e-28, 1.44085e-10, 3.54691e-28, 3.54691e-28, 8.42139e-13, 3.13072e-12, 3.54691e-28, 1.50957e-08, 3.54691e-28, 3.54691e-28, 3.54691e-28
0.538204, 0, 2.48353e-08, 1.51326e-27, 1.41421, -2.48353e-08, 0, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 1.51326e-27, 2.35981e-10, 1.51326e-27, 1.51326e-27, 1.61266e-12, 5.7658e-12, 1.51326e-27, 2.4592e-08, 1.51326e-27, 1.51326e-27, 1.51326e-27
0.546074, 0, 3.99726e-08, 6.16434e-27, 1.41421, -3.99726e-08, 0, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 6.16434e-27, 3.82252e-10, 6.16434e-27, 6.16434e-27, 3.0742e-12, 1.06699e-11, 6.16434e-27, 3.95766e-08, 6.16434e-27, 6.16434e-27, 6.16434e-27
0.553943, 0, 6.35665e-08, 2.404e-26, 1.41421, -6.35665e-08, 0, 2.404e-26, 2.404e-26, 2.404e-26, 2.404e-26, 2.404e-26, 2.404e-26, 2.404e-26, 1.60076e-13, 2.404e-26, 2.404e-26, 2.404e-26, 6.12578e-10, 2.404e-26, 2.404e-26, 5.82527e-12, 1.98383e-11, 2.404e-26, 6.29281e-08, 2.404e-26, 2.404e-26, 2.404e-26
0.561813, 0, 9.98908e-08, 8.99814e-26, 1.41421, -9.98908e-08, 0, 8.99814e-26, 8.99814e-26, 8.99814e-26, 8.99814e-26, 8.99814e-26, 8.99814e-26, 8.99814e-26, 6.76857e-13, 8.99814e-26, 8.99814e-26, 8.99814e-26, 9.71493e-10, 8.99814e-26, 8.99814e-26, 1.09566e-11, 3.70268e-11, 8.99814e-26, 9.88706e-08, 8.99814e-26, 8.99814e-26, 8.99814e-26
0.569682, 0, 1.5514e-07, 3.2552e-25, 1.41421, -1.5514e-07, 0, 3.2552e-25, 3.2552e-25, 3.2552e-25, 3.2552e-25, 3.2552e-25, 3.2552e-25, 3.2552e-25, 2.2733e-12, 3.2552e-25, 3.2552e-25, 3.2552e-25, 1.52516e-09, 3.2552e-25, 3.2552e-25, 2.04289e-11, 6.92655e-11, 3.2552e-25, 1.53523e-07, 3.2552e-25, 3.2552e-25, 3.2552e-25
0.577552, 0, 2.39719e-07, 4.1582e-10, 1.41421, -2.39719e-07, 4.1582e-10, 4.15835e-10, 4.15853e-10, 4.15842e-10, 4.16283e-10, 4.15926e-10, 4.16206e-10, 4.1643e-10, 4.3004e-10, 4.23358e-10, 4.20749e-10, 1.49007e-09, 2.78675e-09, 4.17524e-10, 4.15876e-10, 4.53536e-10, 5.4542e-10, 4.15821e-10, 2.36066e-07, 4.1582e-10, 4.1582e-10, 4.25895e-10
0.585421, 0, 3.68013e-07, 1.74972e-09, 1.41421, -3.68013e-07, 1.74972e-09, 1.74978e-09, 1.74986e-09, 1.74981e-09, 1.75167e-09, 1.75017e-09, 1.75135e-09, 1.75229e-09, 1.80059e-09, 1.78148e-09, 1.77049e-09, 6.27616e-09, 5.40026e-09, 1.7569e-09, 1.74996e-09, 1.81862e-09, 1.99169e-09, 1.74973e-09, 3.59365e-07, 1.74972e-09, 1.74972e-09, 1.79217e-09
0.593291, 0, 5.64427e-07, 5.85627e-09, 1.41421, -5.64427e-07, 5.85627e-09, 5.85648e-09, 5.85673e-09, 5.85658e-09, 5.86281e-09, 5.85777e-09, 5.86172e-09, 5.86488e-09, 6.01538e-09, 5.96265e-09, 5.92583e-09, 2.10178e-08, 1.14248e-08, 5.88033e-09, 5.85706e-09, 5.98067e-09, 6.30598e-09, 5.85629e-09, 5.42598e-07, 5.85627e-09, 5.85627e-09, 5.99847e-09
0.60116, 0, 8.72657e-07, 1.7995e-08, 1.41421, -8.72657e-07, 1.7995e-08, 1.79956e-08, 1.79964e-08, 1.7996e-08, 1.80151e-08, 1.79996e-08, 1.80117e-08, 1.80214e-08, 1.8462e-08, 1.83221e-08, 1.82088e-08, 6.46081e-08, 2.64118e-08, 1.8069e-08, 1.79974e-08, 1.82169e-08, 1.8825e-08, 1.7995e-08, 8.14982e-07, 1.7995e-08, 1.7995e-08, 1.84322e-08
