   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_132.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Zn_K, Ni_K, Fe_K, Cr_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Al_K, Mg_K, Zn_L, Na_K, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.572303, 0, 1.73766e-08, 1.60233e-27, 1.41421, -1.73766e-08, 1.60233e-27, 0, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 1.60233e-27, 7.21994e-13, 1.60233e-27, 4.33761e-12, 1.60233e-27, 1.73715e-08, 1.60233e-27, 1.60233e-27
0.580195, 0, 3.08185e-08, 6.99499e-27, 1.41421, -3.08185e-08, 6.99499e-27, 0, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 6.99499e-27, 1.54932e-12, 6.99499e-27, 8.48916e-12, 6.99499e-27, 3.08085e-08, 6.99499e-27, 6.99499e-27
0.588087, 0, 5.37184e-08, 2.92266e-26, 1.41421, -5.37184e-08, 2.92266e-26, 0, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.20548e-13, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.92266e-26, 2.92266e-26, 3.3053e-12, 2.92266e-26, 1.6666e-11, 2.92266e-26, 5.36982e-08, 2.92266e-26, 2.92266e-26
0.59598, 0, 9.20454e-08, 1.17165e-25, 1.41421, -9.20454e-08, 1.17165e-25, 0, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.0971e-12, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.17165e-25, 1.17165e-25, 6.98962e-12, 1.17165e-25, 3.29121e-11, 1.17165e-25, 9.20044e-08, 1.17165e-25, 1.17165e-25
0.603872, 0, 1.55083e-07, 4.51989e-25, 1.41421, -1.55083e-07, 4.51989e-25, 0, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.36981e-12, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.51989e-25, 4.51989e-25, 1.46097e-11, 4.51989e-25, 6.54895e-11, 4.51989e-25, 1.54999e-07, 4.51989e-25, 4.51989e-25
0.611764, 0, 2.58712e-07, 1.68627e-24, 1.41421, -2.58712e-07, 1.76423e-12, 0, 5.31598e-14, 7.4549e-14, 7.95138e-13, 3.74843e-12, 4.02124e-13, 8.8225e-13, 2.75473e-11, 1.14515e-11, 5.96307e-12, 1.61695e-09, 1.96463e-12, 8.69766e-14, 3.01094e-11, 5.92204e-14, 1.3133e-10, 2.24753e-15, 2.56863e-07, 1.68627e-24, 1.62577e-11
0.619657, 0, 4.28139e-07, 6.42689e-10, 1.41421, -4.28139e-07, 6.51421e-10, 6.42689e-10, 6.42952e-10, 6.43057e-10, 6.46624e-10, 6.61243e-10, 6.44679e-10, 6.47056e-10, 7.54551e-10, 6.99372e-10, 6.72205e-10, 8.64634e-09, 6.52413e-10, 6.43119e-10, 7.03759e-10, 6.43725e-10, 9.07748e-10, 6.427e-10, 4.19481e-07, 6.42689e-10, 7.23162e-10
0.627549, 0, 7.09167e-07, 3.17761e-09, 1.41421, -7.09167e-07, 3.21224e-09, 3.17761e-09, 3.17865e-09, 3.17907e-09, 3.19322e-09, 3.25119e-09, 3.1855e-09, 3.19493e-09, 3.58065e-09, 3.40241e-09, 3.29467e-09, 3.49202e-08, 3.21618e-09, 3.17932e-09, 3.29931e-09, 3.18285e-09, 3.71449e-09, 3.17765e-09, 6.75505e-07, 3.17761e-09, 3.49677e-09
0.635441, 0, 1.19661e-06, 1.25868e-08, 1.41421, -1.19661e-06, 1.27122e-08, 1.25868e-08, 1.25905e-08, 1.25921e-08, 1.26433e-08, 1.28533e-08, 1.26154e-08, 1.26495e-08, 1.39454e-08, 1.3401e-08, 1.30108e-08, 1.27563e-07, 1.27265e-08, 1.25929e-08, 1.28248e-08, 1.26079e-08, 1.36741e-08, 1.25869e-08, 1.07583e-06, 1.25868e-08, 1.37428e-08
0.643334, 0, 2.11193e-06, 4.55398e-08, 1.41421, -2.11193e-06, 4.59658e-08, 4.55398e-08, 4.55527e-08, 4.55578e-08, 4.57318e-08, 4.6445e-08, 4.56369e-08, 4.57529e-08, 4.9879e-08, 4.83051e-08, 4.69798e-08, 4.36002e-07, 4.60142e-08, 4.55608e-08, 4.59965e-08, 4.56168e-08, 4.77333e-08, 4.55404e-08, 1.70391e-06, 4.55398e-08, 4.94657e-08
0.651226, 0, 4.01408e-06, 1.54486e-07, 1.41421, -4.01408e-06, 1.55851e-07, 1.54486e-07, 1.54527e-07, 1.54543e-07, 1.55101e-07, 1.57387e-07, 1.54797e-07, 1.55168e-07, 1.6766e-07, 1.63348e-07, 1.59101e-07, 1.40593e-06, 1.56006e-07, 1.54553e-07, 1.55345e-07, 1.54748e-07, 1.5888e-07, 1.54487e-07, 2.71033e-06, 1.54486e-07, 1.67068e-07
0.659118, 0, 8.34293e-06, 4.94611e-07, 1.41421, -8.34293e-06, 4.98749e-07, 4.94611e-07, 4.94735e-07, 4.94785e-07, 4.96476e-07, 5.03403e-07, 4.95554e-07, 4.9668e-07, 5.32901e-07, 5.21472e-07, 5.08598e-07, 4.28742e-06, 4.99219e-07, 4.94815e-07, 4.96198e-07, 4.95452e-07, 5.03321e-07, 4.94616e-07, 4.39879e-06, 4.94611e-07, 5.32746e-07
0.667011, 0, 1.87373e-05, 1.49754e-06, 1.41421, -1.87373e-05, 1.50941e-06, 1.49754e-06, 1.4979e-06, 1.49804e-06, 1.50289e-06, 1.52276e-06, 1.50024e-06, 1.50347e-06, 1.60402e-06, 1.57458e-06, 1.53766e-06, 1.23762e-05, 1.51076e-06, 1.49812e-06, 1.50042e-06, 1.5001e-06, 1.51457e-06, 1.49755e-06, 7.43741e-06, 1.49754e-06, 1.60692e-06
0.674903, 0, 4.40227e-05, 4.29121e-06, 1.41421, -4.40227e-05, 4.32344e-06, 4.29121e-06, 4.29218e-06, 4.29257e-06, 4.30573e-06, 4.3597e-06, 4.29855e-06, 4.30733e-06, 4.57472e-06, 4.50044e-06, 4.40016e-06, 3.38354e-05, 4.3271e-06, 4.2928e-06, 4.29635e-06, 4.29858e-06, 4.32404e-06, 4.29125e-06, 1.33558e-05, 4.29121e-06, 4.58826e-06
