   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_97.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Ti_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.487106, 0, 2.9869e-07, 2.07304e-25, 1.41421, -2.9869e-07, 2.07304e-25, 0, 2.07304e-25, 2.07304e-25, 2.07304e-25, 2.07304e-25, 2.07304e-25, 2.07304e-25, 8.04062e-13, 2.07304e-25, 2.07304e-25, 2.07304e-25, 2.42829e-09, 2.07304e-25, 2.07304e-25, 3.87112e-11, 1.33987e-08, 2.07304e-25, 2.82823e-07, 2.07304e-25, 2.07304e-25
0.495003, 0, 4.1198e-07, 6.69399e-10, 1.41421, -4.1198e-07, 6.71402e-10, 6.69399e-10, 6.69424e-10, 6.69439e-10, 6.70899e-10, 6.70303e-10, 6.69951e-10, 6.70881e-10, 6.75555e-10, 6.80868e-10, 6.74764e-10, 2.45662e-09, 4.01028e-09, 6.7171e-10, 6.69486e-10, 7.3049e-10, 2.16397e-08, 6.69401e-10, 3.85771e-07, 6.69399e-10, 6.87403e-10
0.5029, 0, 5.66831e-07, 2.24917e-09, 1.41421, -5.66831e-07, 2.2559e-09, 2.24917e-09, 2.24926e-09, 2.24931e-09, 2.25421e-09, 2.25221e-09, 2.25103e-09, 2.25415e-09, 2.26777e-09, 2.28771e-09, 2.2672e-09, 8.2544e-09, 6.82142e-09, 2.25694e-09, 2.24947e-09, 2.34515e-09, 3.49007e-08, 2.24918e-09, 5.2334e-07, 2.24917e-09, 2.30967e-09
0.510798, 0, 7.79824e-07, 5.87359e-09, 1.41421, -7.79824e-07, 5.89117e-09, 5.87359e-09, 5.87381e-09, 5.87393e-09, 5.88675e-09, 5.88152e-09, 5.87843e-09, 5.88659e-09, 5.92037e-09, 5.97424e-09, 5.92067e-09, 2.15581e-08, 1.20987e-08, 5.89387e-09, 5.87435e-09, 6.0236e-09, 5.64244e-08, 5.87361e-09, 7.06783e-07, 5.87359e-09, 6.03159e-09
0.518695, 0, 1.07602e-06, 1.39832e-08, 1.41421, -1.07602e-06, 1.40251e-08, 1.39832e-08, 1.39837e-08, 1.3984e-08, 1.40146e-08, 1.40021e-08, 1.39948e-08, 1.40142e-08, 1.40923e-08, 1.42229e-08, 1.40953e-08, 5.13295e-08, 2.24157e-08, 1.40315e-08, 1.3985e-08, 1.42164e-08, 9.1761e-08, 1.39833e-08, 9.51208e-07, 1.39832e-08, 1.43594e-08
0.526592, 0, 1.49545e-06, 3.16994e-08, 1.41421, -1.49545e-06, 3.17944e-08, 3.16994e-08, 3.17006e-08, 3.17013e-08, 3.17705e-08, 3.17423e-08, 3.17256e-08, 3.17697e-08, 3.1943e-08, 3.22429e-08, 3.19536e-08, 1.16382e-07, 4.30647e-08, 3.18089e-08, 3.17036e-08, 3.20599e-08, 1.50583e-07, 3.16995e-08, 1.27784e-06, 3.16994e-08, 3.25525e-08
0.53449, 0, 2.10491e-06, 6.9522e-08, 1.41421, -2.10491e-06, 6.97302e-08, 6.9522e-08, 6.95246e-08, 6.95261e-08, 6.96778e-08, 6.9616e-08, 6.95794e-08, 6.9676e-08, 7.00584e-08, 7.0714e-08, 7.00796e-08, 2.55277e-07, 8.47644e-08, 6.97622e-08, 6.9531e-08, 7.00758e-08, 2.5017e-07, 6.95222e-08, 1.71763e-06, 6.9522e-08, 7.13932e-08
0.542387, 0, 3.01878e-06, 1.48441e-07, 1.41421, -3.01878e-06, 1.48885e-07, 1.48441e-07, 1.48446e-07, 1.4845e-07, 1.48774e-07, 1.48641e-07, 1.48563e-07, 1.4877e-07, 1.49669e-07, 1.50986e-07, 1.49631e-07, 5.45113e-07, 1.68783e-07, 1.48954e-07, 1.4846e-07, 1.49286e-07, 4.20776e-07, 1.48441e-07, 2.31764e-06, 1.48441e-07, 1.52437e-07
0.550284, 0, 4.43895e-06, 3.0941e-07, 1.41421, -4.43895e-06, 3.10337e-07, 3.0941e-07, 3.09422e-07, 3.09428e-07, 3.10104e-07, 3.09828e-07, 3.09666e-07, 3.10096e-07, 3.12859e-07, 3.14717e-07, 3.11892e-07, 1.13633e-06, 3.36427e-07, 3.10479e-07, 3.0945e-07, 3.10693e-07, 7.1688e-07, 3.09411e-07, 3.15258e-06, 3.0941e-07, 3.1774e-07
0.558181, 0, 6.72191e-06, 6.30396e-07, 1.41421, -6.72191e-06, 6.32285e-07, 6.30396e-07, 6.3042e-07, 6.30434e-07, 6.3181e-07, 6.31249e-07, 6.30917e-07, 6.31794e-07, 6.38604e-07, 6.41209e-07, 6.35454e-07, 2.31534e-06, 6.66106e-07, 6.32575e-07, 6.30479e-07, 6.32329e-07, 1.23542e-06, 6.30398e-07, 4.34485e-06, 6.30396e-07, 6.4737e-07
0.566079, 0, 1.04992e-05, 1.25624e-06, 1.41421, -1.04992e-05, 1.26e-06, 1.25624e-06, 1.25628e-06, 1.25631e-06, 1.25906e-06, 1.25794e-06, 1.25728e-06, 1.25902e-06, 1.27445e-06, 1.27779e-06, 1.26632e-06, 4.61427e-06, 1.30321e-06, 1.26058e-06, 1.2564e-06, 1.25913e-06, 2.14772e-06, 1.25624e-06, 6.09936e-06, 1.25624e-06, 1.29007e-06
0.573976, 0, 1.68784e-05, 2.44937e-06, 1.41421, -1.68784e-05, 2.45671e-06, 2.44937e-06, 2.44947e-06, 2.44952e-06, 2.45487e-06, 2.45269e-06, 2.4514e-06, 2.4548e-06, 2.48816e-06, 2.49139e-06, 2.46903e-06, 8.99742e-06, 2.51088e-06, 2.45784e-06, 2.44969e-06, 2.45368e-06, 3.75295e-06, 2.44938e-06, 8.76188e-06, 2.44937e-06, 2.51534e-06
0.581873, 0, 2.7777e-05, 4.67381e-06, 1.41421, -2.7777e-05, 4.68781e-06, 4.67381e-06, 4.67398e-06, 4.67408e-06, 4.68429e-06, 4.68013e-06, 4.67767e-06, 4.68417e-06, 4.75436e-06, 4.754e-06, 4.71132e-06, 1.71699e-05, 4.75397e-06, 4.68997e-06, 4.67442e-06, 4.68017e-06, 6.56573e-06, 4.67382e-06, 1.29161e-05, 4.67381e-06, 4.79969e-06
