   PIQUANT 0.0.0-main  ps__0097_0675553164_000rfs_shot_113.msa
Energy (keV), meas, calc, bkg, sigma, residual, Ar_K, DetCE, Br_K, Zn_K, Ni_K, Fe_K, Cr_K, Ca_K, Cl_K, S_K, P_K, Si_K, Br_L, Al_K, Mg_K, Zn_L, Ni_L, Rh_K_coh, Rh_L_coh, Rh_K_inc, Rh_L_coh_Lb1
0.456611, 0, 1.49211e-07, 1.35601e-26, 1.41421, -1.49211e-07, 1.35601e-26, 0, 1.35601e-26, 1.35601e-26, 1.35601e-26, 1.35601e-26, 1.35601e-26, 1.35601e-26, 5.33329e-14, 1.35601e-26, 1.35601e-26, 1.35601e-26, 1.05868e-09, 1.35601e-26, 1.35601e-26, 1.11071e-11, 3.24894e-08, 1.35601e-26, 1.15652e-07, 1.35601e-26, 1.35601e-26
0.464502, 0, 2.09746e-07, 4.92762e-26, 1.41421, -2.09746e-07, 4.92762e-26, 0, 4.92762e-26, 4.92762e-26, 4.92762e-26, 4.92762e-26, 4.92762e-26, 4.92762e-26, 1.76466e-13, 4.92762e-26, 4.92762e-26, 4.92762e-26, 1.45742e-09, 4.92762e-26, 4.92762e-26, 1.73836e-11, 5.03549e-08, 4.92762e-26, 1.57916e-07, 4.92762e-26, 4.92762e-26
0.472394, 0, 2.94126e-07, 1.72576e-25, 1.41421, -2.94126e-07, 1.72576e-25, 0, 1.72576e-25, 1.72576e-25, 1.72576e-25, 1.72576e-25, 1.72576e-25, 1.72576e-25, 4.53254e-13, 1.72576e-25, 1.72576e-25, 1.72576e-25, 1.99626e-09, 1.72576e-25, 1.72576e-25, 2.71203e-11, 7.77526e-08, 1.72576e-25, 2.14349e-07, 1.72576e-25, 1.72576e-25
0.480285, 0, 4.1298e-07, 4.95159e-10, 1.41421, -4.1298e-07, 5.00709e-10, 4.95159e-10, 4.95174e-10, 4.95177e-10, 5.00827e-10, 4.95275e-10, 4.98083e-10, 4.95322e-10, 4.98667e-10, 5.01449e-10, 4.97124e-10, 1.35458e-09, 3.2161e-09, 4.95766e-10, 4.95194e-10, 5.37317e-10, 1.20048e-07, 4.95161e-10, 2.89769e-07, 4.95159e-10, 5.04796e-10
0.488177, 0, 5.79447e-07, 1.62927e-09, 1.41421, -5.79447e-07, 1.64755e-09, 1.62927e-09, 1.62931e-09, 1.62933e-09, 1.64794e-09, 1.62965e-09, 1.6389e-09, 1.6298e-09, 1.6397e-09, 1.64999e-09, 1.63574e-09, 4.46072e-09, 5.3201e-09, 1.63127e-09, 1.62938e-09, 1.69454e-09, 1.84598e-07, 1.62927e-09, 3.89771e-07, 1.62927e-09, 1.66102e-09
0.496069, 0, 8.13313e-07, 4.16625e-09, 1.41421, -8.13313e-07, 4.21304e-09, 4.16625e-09, 4.16637e-09, 4.1664e-09, 4.21404e-09, 4.16723e-09, 4.1909e-09, 4.16762e-09, 4.192e-09, 4.21928e-09, 4.18281e-09, 1.14128e-08, 9.149e-09, 4.17137e-09, 4.16655e-09, 4.26686e-09, 2.82756e-07, 4.16626e-09, 5.2209e-07, 4.16625e-09, 4.2475e-09
0.50396, 0, 1.14332e-06, 9.71573e-09, 1.41421, -1.14332e-06, 9.82493e-09, 9.71573e-09, 9.71601e-09, 9.71608e-09, 9.82725e-09, 9.71801e-09, 9.77326e-09, 9.71893e-09, 9.77465e-09, 9.83949e-09, 9.75438e-09, 2.66274e-08, 1.64113e-08, 9.72767e-09, 9.71642e-09, 9.87007e-09, 4.31539e-07, 9.71575e-09, 6.97027e-07, 9.71573e-09, 9.90536e-09
0.511852, 0, 1.61217e-06, 2.16031e-08, 1.41421, -1.61217e-06, 2.1846e-08, 2.16031e-08, 2.16037e-08, 2.16039e-08, 2.18512e-08, 2.16082e-08, 2.17311e-08, 2.16102e-08, 2.17323e-08, 2.18784e-08, 2.16891e-08, 5.92235e-08, 3.05591e-08, 2.16297e-08, 2.16047e-08, 2.18387e-08, 6.56521e-07, 2.16032e-08, 9.28872e-07, 2.16031e-08, 2.2025e-08
0.519743, 0, 2.28546e-06, 4.65371e-08, 1.41421, -2.28546e-06, 4.70605e-08, 4.65371e-08, 4.65384e-08, 4.65388e-08, 4.70716e-08, 4.6548e-08, 4.68129e-08, 4.65524e-08, 4.68173e-08, 4.71303e-08, 4.67224e-08, 1.27603e-07, 5.84623e-08, 4.65943e-08, 4.65404e-08, 4.68946e-08, 9.97151e-07, 4.65372e-08, 1.23811e-06, 4.65371e-08, 4.74461e-08
0.527635, 0, 3.26229e-06, 9.77591e-08, 1.41421, -3.26229e-06, 9.88589e-08, 9.77591e-08, 9.77619e-08, 9.77626e-08, 9.88823e-08, 9.77821e-08, 9.83386e-08, 9.77913e-08, 9.83953e-08, 9.90055e-08, 9.81484e-08, 2.68089e-07, 1.13567e-07, 9.78793e-08, 9.7766e-08, 9.82988e-08, 1.51084e-06, 9.77593e-08, 1.65536e-06, 9.77591e-08, 9.9669e-08
0.535527, 0, 4.70149e-06, 2.00827e-07, 1.41421, -4.70149e-06, 2.03086e-07, 2.00827e-07, 2.00832e-07, 2.00834e-07, 2.03134e-07, 2.00874e-07, 2.02017e-07, 2.00893e-07, 2.02654e-07, 2.03388e-07, 2.01626e-07, 5.50801e-07, 2.21688e-07, 2.01074e-07, 2.00841e-07, 2.01636e-07, 2.28715e-06, 2.00827e-07, 2.22826e-06, 2.00827e-07, 2.04751e-07
0.543418, 0, 6.85663e-06, 4.0398e-07, 1.41421, -6.85663e-06, 4.08527e-07, 4.0398e-07, 4.03992e-07, 4.03995e-07, 4.08623e-07, 4.04075e-07, 4.06375e-07, 4.04113e-07, 4.08329e-07, 4.09133e-07, 4.05589e-07, 1.1081e-06, 4.3139e-07, 4.04477e-07, 4.04009e-07, 4.05188e-07, 3.46299e-06, 4.03981e-07, 3.03351e-06, 4.0398e-07, 4.11875e-07
0.55131, 0, 1.01398e-05, 7.96261e-07, 1.41421, -1.01398e-05, 8.05224e-07, 7.96261e-07, 7.96284e-07, 7.9629e-07, 8.05415e-07, 7.96449e-07, 8.00984e-07, 7.96524e-07, 8.05856e-07, 8.06419e-07, 7.99434e-07, 2.18435e-06, 8.32117e-07, 7.97241e-07, 7.96318e-07, 7.98053e-07, 5.24998e-06, 7.96263e-07, 4.1975e-06, 7.96261e-07, 8.11826e-07
0.559201, 0, 1.52245e-05, 1.53836e-06, 1.41421, -1.52245e-05, 1.55568e-06, 1.53836e-06, 1.5384e-06, 1.53842e-06, 1.55605e-06, 1.53872e-06, 1.54748e-06, 1.53887e-06, 1.55863e-06, 1.55799e-06, 1.54449e-06, 4.22058e-06, 1.58506e-06, 1.54025e-06, 1.53847e-06, 1.541e-06, 7.97699e-06, 1.53836e-06, 5.93108e-06, 1.53836e-06, 1.56843e-06
0.567093, 0, 2.32126e-05, 2.91378e-06, 1.41421, -2.32126e-05, 2.94659e-06, 2.91378e-06, 2.91387e-06, 2.91389e-06, 2.94729e-06, 2.91447e-06, 2.93107e-06, 2.91475e-06, 2.9554e-06, 2.95097e-06, 2.9254e-06, 7.99503e-06, 2.97436e-06, 2.91737e-06, 2.91399e-06, 2.91765e-06, 1.21569e-05, 2.91379e-06, 8.58719e-06, 2.91378e-06, 2.97076e-06
0.574984, 0, 3.59003e-05, 5.41159e-06, 1.41421, -3.59003e-05, 5.47254e-06, 5.41159e-06, 5.41175e-06, 5.41179e-06, 5.47383e-06, 5.41286e-06, 5.4437e-06, 5.41338e-06, 5.49504e-06, 5.48066e-06, 5.43316e-06, 1.48504e-05, 5.48982e-06, 5.41825e-06, 5.41197e-06, 5.41721e-06, 1.859e-05, 5.4116e-06, 1.27534e-05, 5.41159e-06, 5.51743e-06
0.582876, 0, 5.61911e-05, 9.85625e-06, 1.41421, -5.61911e-05, 9.96727e-06, 9.85625e-06, 9.85653e-06, 9.85661e-06, 9.96963e-06, 9.85857e-06, 9.91475e-06, 9.8595e-06, 1.0021e-05, 9.98208e-06, 9.89555e-06, 2.70506e-05, 9.95688e-06, 9.86839e-06, 9.85695e-06, 9.86438e-06, 2.85216e-05, 9.85628e-06, 1.93979e-05, 9.85625e-06, 1.0049e-05
